,query,title,company,location,link
0,Android,Software Engineer - Android,Nextdoor,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-android-at-nextdoor-3484434252?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=lklFbjvPD168J5sngk5Fow%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Android,"Android Developer (Remote, Freelance)",Hire Digital,"Los Angeles, CA",https://www.linkedin.com/jobs/view/android-developer-remote-freelance-at-hire-digital-3408023243?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=F8HegRaLdhFzdeN6sJBcDw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Android,Android Software Engineer,Tinder,"Los Angeles, CA",https://www.linkedin.com/jobs/view/android-software-engineer-at-tinder-3435732456?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=dCrp6%2FU%2FoTZhbTWaFu6NbQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Android,Software Engineer - Android,STRIVR,"Santa Clara, CA",https://www.linkedin.com/jobs/view/software-engineer-android-at-strivr-3427899402?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=KH1qaKB0pmJIbgWHIrgpVA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Android,Android Developer,CIONIC,"San Francisco, CA",https://www.linkedin.com/jobs/view/android-developer-at-cionic-3478186059?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=lWIYWKo6WLYZVo6NSzE85Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Android,Android Engineer,Miles,"Redwood City, CA",https://www.linkedin.com/jobs/view/android-engineer-at-miles-3425031796?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=OgY%2F2WWJDF%2Fn2TeN7qqyMQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Android,Android Developer,SpanIdea Systems,"Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-spanidea-systems-3428232358?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=uzm0ci9dAuwHBSLSRZpu4A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Android,Android Developer,E-IT,"Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-e-it-3479860696?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=RAWZ%2F9vfCpD9BWBbI3cxfg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Android,Senior Android Engineer & Technical Lead,Universal Tennis,"Palo Alto, CA",https://www.linkedin.com/jobs/view/senior-android-engineer-technical-lead-at-universal-tennis-3446019905?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=mroRDYPxNbRbmzsZfZPnVQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Android,Android Developer,Tekshapers,"Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-tekshapers-3477149564?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=0OpQ0Z0pWGPtPKJFlRuT3A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Android,Android Developer,Stealth,San Francisco Bay Area,https://www.linkedin.com/jobs/view/android-developer-at-stealth-3460663674?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=2CQ%2B0OpGh4w2JOI1otmYag%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Android,Android Developer,TBD Advertising,"San Francisco, CA",https://www.linkedin.com/jobs/view/android-developer-at-tbd-advertising-3459075742?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=ojjzGKivI%2BveEbTmurp0Bw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Android,Android Developer,LTIMindtree,"Los Angeles, CA",https://www.linkedin.com/jobs/view/android-developer-at-ltimindtree-3481643607?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=wHS1SMVg7EEHJGOEFJW0Dw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Android,Android Developer,Info Way Solutions,"Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-info-way-solutions-3415218813?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=eFr3%2FqQp4dJhb%2BkqfrE%2FIA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Android,Android Developer,"Infinity, Stamford Technology Solutions","Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-infinity-stamford-technology-solutions-3485918119?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=I3%2FV9hTbUouDoH1utMe4IQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Android,Android Engineer,Jobox.ai,"Palo Alto, CA",https://www.linkedin.com/jobs/view/android-engineer-at-jobox-ai-3474209677?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=Xbg3xkK025cFN7cQcBim8g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Android,Android Developer,EA Team Inc,"Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-ea-team-inc-3485815489?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=Bf8oXb38jQ4l0iZtLDZ3dg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Android,Android Developer,LTIMindtree,"Los Angeles, CA",https://www.linkedin.com/jobs/view/android-developer-at-ltimindtree-3439997411?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=f1j9Mu7i8xhfVrqQ4o5gJQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Android,Android Software Engineer,Ongo Labs,"San Francisco, CA",https://www.linkedin.com/jobs/view/android-software-engineer-at-ongo-labs-3465368887?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=ONJxhww2MOYm4zVuRZpDJA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
19,Android,Android Engineer,Movemedical,"California, United States",https://www.linkedin.com/jobs/view/android-engineer-at-movemedical-3459453904?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=bZLdoa%2FS2ZpUzSPkPlO53w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Android,Android Engineer,ŌURA,"San Francisco, CA",https://www.linkedin.com/jobs/view/android-engineer-at-%C5%8Dura-3452091467?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=L2KhlYR9uEw6V8zD6bOAKA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Android,Android Developer,Brain Bee LLC,"Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-brain-bee-llc-3485832687?refId=oOPzMVEaDf2E1VAKFOaC4Q%3D%3D&trackingId=dtezIGhmlvFbILp%2BeYv1bA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Android,android developer,Info Way Solutions,"Fremont, CA",https://www.linkedin.com/jobs/view/android-developer-at-info-way-solutions-3460326530?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=dbPEUUBOf9x7FHQC0amDDQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
23,Android,Android Developer,"Ascii Group, LLC","San Francisco, CA",https://www.linkedin.com/jobs/view/android-developer-at-ascii-group-llc-3481673460?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=Q%2FR3VxXvdFhqKu6Tls3wfg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
24,Android,Android Developer,Capgemini,"San Francisco, CA",https://www.linkedin.com/jobs/view/android-developer-at-capgemini-3448396593?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=M6ADusz97N3mXbyqXAN%2Few%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
25,Android,"Senior Software Engineer, Android",BMW Group,"Silicon Valley, CA",https://www.linkedin.com/jobs/view/senior-software-engineer-android-at-bmw-group-3473505502?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=2qN9KMEAQnDFKIgP2vCcrA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
26,Android,Android Developer,eTeam,"San Jose, CA",https://www.linkedin.com/jobs/view/android-developer-at-eteam-3297430814?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=WSRZBotDxEcVs4E%2B9OeBGQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
27,Android,"Software Engineer, Android",Abbott,"Alameda, CA",https://www.linkedin.com/jobs/view/software-engineer-android-at-abbott-3485194127?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=otC2fw4Zhg4iMjRWUaH88g%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
28,Android,Android Developer,Diverse Lynx,"California, United States",https://www.linkedin.com/jobs/view/android-developer-at-diverse-lynx-3475435352?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=98RU31uivHBsBdcITW1x8w%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
29,Android,Mobile Software Engineer (All levels - Android and iOS),Uber,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/mobile-software-engineer-all-levels-android-and-ios-at-uber-3342887469?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=dROWRihjs5COmAXJvhJ3kQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
30,Android,ANDROID DEVELOPER,Believe Resourcing Group,"San Francisco, CA",https://www.linkedin.com/jobs/view/android-developer-at-believe-resourcing-group-3474265363?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=2n7V7vDk0rxT60sOVvaeAg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
31,Android,Android developer,ExaTech Inc,"Pleasanton, CA",https://www.linkedin.com/jobs/view/android-developer-at-exatech-inc-3318019519?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=OYwGybZJStAayGuL1XBL7g%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
32,Android,Android Engineer,XP Health,"Palo Alto, CA",https://www.linkedin.com/jobs/view/android-engineer-at-xp-health-3412441310?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=1kUmq7a6symidDrcm1nTdQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
33,Android,Android Developer,HexaQuEST Global,"San Francisco, CA",https://www.linkedin.com/jobs/view/android-developer-at-hexaquest-global-3464814298?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=PnyvHAdFgjxxmuGaNdTfIg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
34,Android,Android Engineer,Robinhood,"Menlo Park, CA",https://www.linkedin.com/jobs/view/android-engineer-at-robinhood-3456813394?refId=wT3pj4Ce13Kh12DI1QxVpw%3D%3D&trackingId=IhaJ4NufBM1%2BqkkDytK%2Fgw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
