,query,title,company,location,link
0,Cloud Engineer,Cloud Engineer (Infrastructure),Experfy,"Riverside, CA",https://www.linkedin.com/jobs/view/cloud-engineer-infrastructure-at-experfy-3486587196?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=ZKEp7JYGdhJXXhS8qeWVYg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Cloud Engineer,Cloud Engineer (Infrastructure),Experfy,"San Francisco, CA",https://www.linkedin.com/jobs/view/cloud-engineer-infrastructure-at-experfy-3486580749?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=rJ2L2tFLuiMS8s9d%2B%2Fl7HQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Cloud Engineer,Senior Cloud Engineer (Remote),Drata,"San Diego, CA",https://www.linkedin.com/jobs/view/senior-cloud-engineer-remote-at-drata-3476815279?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=JvrOxHWxZJnWllvnYpqMfQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Cloud Engineer,Cloud Engineer (Infrastructure),Experfy,"Los Angeles, CA",https://www.linkedin.com/jobs/view/cloud-engineer-infrastructure-at-experfy-3486584309?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=fYZ9Se2Nv%2BXmaM17IzYNfA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Cloud Engineer,Cloud Engineer (AWS),Robert Half,"Irvine, CA",https://www.linkedin.com/jobs/view/cloud-engineer-aws-at-robert-half-3467850897?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=gG6Cx29%2FTSUABtTKksQZYg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Cloud Engineer,Cloud Engineer,Cequence Security,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/cloud-engineer-at-cequence-security-3473563397?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=O2ZKlyuae5zpToVKpBlVaw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Cloud Engineer,Intern - Cloud Engineer,NetApp,"San Jose, CA",https://www.linkedin.com/jobs/view/intern-cloud-engineer-at-netapp-3466548961?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=ZuqV3YzQnnUw5JqR3vWtqA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Cloud Engineer,Cloud Engineer,UpRecruit,"Lake Forest, CA",https://www.linkedin.com/jobs/view/cloud-engineer-at-uprecruit-3474088171?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=qbezCJn0E2lbVrQ%2FBw%2FCWg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Cloud Engineer,Security Software Engineer (L4) - Cloud Security,Netflix,"California, United States",https://www.linkedin.com/jobs/view/security-software-engineer-l4-cloud-security-at-netflix-3441486638?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=u%2FQoSEThzNovE73V3OhqKQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Cloud Engineer,Cloud Architect - Principal Cloud Engineer,Nextdoor,"San Francisco, CA",https://www.linkedin.com/jobs/view/cloud-architect-principal-cloud-engineer-at-nextdoor-3405215236?refId=Y2yP6uGo51cdQE25%2BpuHMA%3D%3D&trackingId=F1NAhRYS%2BaX6C8rN2jNivg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
