,query,title,company,location,link
0,Data Analyst,"Data Analyst, Global Public Policy",Netflix,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-global-public-policy-at-netflix-3383206112?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=RDzROoiv0lWUlpFDdVwt5Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Analyst,"Data Analyst, Corporate Strategy, Planning & Analysis",Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/data-analyst-corporate-strategy-planning-analysis-at-netflix-3462267602?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=LIjSlfhCLGCIVz%2B6NbSN9g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Analyst,Data Analyst,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-analyst-at-tesla-3320804255?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=OwHcgyVgoNwxr3m6wBtOvA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Analyst,Jr. Data Analyst,Synergis,"Mountain View, CA",https://www.linkedin.com/jobs/view/jr-data-analyst-at-synergis-3475290138?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=WgVQrF3ED%2Btb%2BVbY38NLcw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Analyst,Jr. Data Analyst,Xoriant,San Francisco Bay Area,https://www.linkedin.com/jobs/view/jr-data-analyst-at-xoriant-3478187330?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=%2Bvqd5Yis1BHMKXSw8xx37g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Analyst,Data Analyst,Irvine Technology Corporation,Los Angeles Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-irvine-technology-corporation-3467019434?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=Rz2pdxhn8bR%2Bee0e7QIWQw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Analyst,Data Analyst,Apex Systems,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-analyst-at-apex-systems-3464960840?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=zU%2BdfB0kiy4phS99nIa8xA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Analyst,"Data Analyst, Supply Chain Data Analytics",Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-analyst-supply-chain-data-analytics-at-tesla-3461287089?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=RhOVSeOUhH99nd5oPulmPg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Analyst,Data Analyst,Virgin Galactic,"Tustin, CA",https://www.linkedin.com/jobs/view/data-analyst-at-virgin-galactic-3461168993?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=MTLHVK%2BvPFw%2BiWzV7iwZew%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Analyst,Data Analyst,"FocusKPI, Inc.","San Jose, CA",https://www.linkedin.com/jobs/view/data-analyst-at-focuskpi-inc-3488076952?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=wsKX1hCPEol1N%2FzHMaVGTw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Analyst,Data Analyst,USDA,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-at-usda-3477843253?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=pOxSoOckkZeXEXr3lM8qYg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Analyst,Data Analyst,OPN Healthcare,"Glendale, CA",https://www.linkedin.com/jobs/view/data-analyst-at-opn-healthcare-3477272583?refId=4ASOfrnqTcrYoHkXojCvpQ%3D%3D&trackingId=A1PWElRuwqsTOBx0dqQhyg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
