,query,title,company,location,link
0,Data Engineer,Data Engineer (L5),Netflix,"California, United States",https://www.linkedin.com/jobs/view/data-engineer-l5-at-netflix-3441491106?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=I1JFuvuD9kkxNihkUddU0g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Engineer,Data Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-engineer-at-tesla-3270141676?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=5f6Spfn%2B9qGaXTxN6vAaMA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Engineer,Data Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-engineer-at-tesla-3232113654?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=PIkCMDbRriXsKMe22cF90g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Engineer,Data Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-engineer-at-tesla-3311962420?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=me4Fim2XRbgN%2FnNUC2Eupg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Engineer,Data Engineer 4 - Platform,Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/data-engineer-4-platform-at-netflix-3392006765?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=pVeUUMbGGD2i8lUz2xYv4Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Engineer,Data Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-engineer-at-tesla-3360982619?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=mbSK%2FjdCMWNPnDw%2FUdonJw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Engineer,Data Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-engineer-at-tesla-3353557265?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=KaAw%2FY6nUXTV3q883d4itg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Engineer,Data Engineer (Fleet Analytics),Tesla,"Palo Alto, CA",https://www.linkedin.com/jobs/view/data-engineer-fleet-analytics-at-tesla-3337865308?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=y6jhlC%2F%2Bv2qzUIOa3WjriQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Engineer,"Data Engineer L5, Playback",Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/data-engineer-l5-playback-at-netflix-3384719776?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=hi%2FVZp7yjTy6GwpXDKCozA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Engineer,Data Engineer 5 - Platform,Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/data-engineer-5-platform-at-netflix-3392011197?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=Wqae11KbaFwV8CIT8jufBg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Engineer,Data Engineer,Zoox,"Foster City, CA",https://www.linkedin.com/jobs/view/data-engineer-at-zoox-2938046886?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=bJ7q4IgGgj12cRBElQQq9w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Engineer,Data Science and Visualization Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/data-science-and-visualization-software-engineer-at-apple-3447597693?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=FoTPYrme6MQd5sprKOJCJw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Engineer,Data Engineer,Twitch,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-at-twitch-3472640576?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=mdPdjNcfJH21OnAJkhZCtw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Data Engineer,Data Engineer – Field Reliability,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/data-engineer-%E2%80%93-field-reliability-at-tesla-3232115482?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=%2BSg0ITb03LTe4gQ3gvMj4g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Data Engineer,Data Engineer,Fresh Gravity,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-engineer-at-fresh-gravity-3473656230?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=myrOwTWPl2OdQxPioB3MRg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Data Engineer,Senior Data Engineer,Asana,"San Francisco, CA",https://www.linkedin.com/jobs/view/senior-data-engineer-at-asana-3238803715?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=J%2BoAnliGjaPEBRTPAO8gjg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Data Engineer,Fullstack Data Visualization Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/fullstack-data-visualization-software-engineer-at-apple-3113851957?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=JVQ3%2BMuU5jB7AAMtygnoZA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Data Engineer,Data Engineer,UpTogether,"Oakland, CA",https://www.linkedin.com/jobs/view/data-engineer-at-uptogether-3453936786?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=NHiPhKZKaZXkumTEjHj2Ww%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Data Engineer,Computer Vision Data Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/computer-vision-data-engineer-at-apple-3227508518?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=5UtLS0hypQHfVwGx8aYKuQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,Data Engineer,Data Engineer,Currance,"Irvine, CA",https://www.linkedin.com/jobs/view/data-engineer-at-currance-3486695584?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=v36T0YtNarT%2BR8iGsj4tNw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Data Engineer,Data Engineer,Manufacturers Bank,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-engineer-at-manufacturers-bank-3333769978?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=VS%2BsNRY9PzY3Foiakcayvg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Data Engineer,Sr. Data Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/sr-data-engineer-at-tesla-3270143568?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=fMkHTupK3vt7RehKiT9%2FsQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Data Engineer,Data Engineer,Snowflake,"Dublin, CA",https://www.linkedin.com/jobs/view/data-engineer-at-snowflake-3462809128?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=nBXH90NKVZ8VvJEjjHLd8w%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Data Engineer,"Data Scientist/Software Engineer, Reliability Engineering",Tesla,"Palo Alto, CA",https://www.linkedin.com/jobs/view/data-scientist-software-engineer-reliability-engineering-at-tesla-3244334239?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=z9z9xXzFv8V9jzjlD0X7AA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,Data Engineer,Biomedical Data Engineer - Health Technologies,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/biomedical-data-engineer-health-technologies-at-apple-3181502419?refId=QRoLLqSRjcdHbVK78pQIUg%3D%3D&trackingId=0iQ7ZibNd3Xr9hjEk3hDrw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
