,query,title,company,location,link
0,Developer,"Software Engineer L6, Mobile Developer Productivity",Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/software-engineer-l6-mobile-developer-productivity-at-netflix-3356608813?refId=j7mp1YLcDNN%2FKmjg%2FfdGPA%3D%3D&trackingId=VS6dQvr4NjbSgK69jo9%2BfQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
1,Developer,Junior Python developer,Diverse Lynx,"Irvine, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485743470?refId=VBWpgESwyNVBaDjSdiMGqw%3D%3D&trackingId=ORgJ9xKyQ9qK8T5N8Qd4TQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
2,Developer,Junior Python Developer,Diverse Lynx,"Mountain View, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485701099?refId=VBWpgESwyNVBaDjSdiMGqw%3D%3D&trackingId=CsY2IJUmZO3RoEZede%2Bv9g%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
3,Developer,Junior Python Developer,Diverse Lynx,"Irvine, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485742451?refId=VBWpgESwyNVBaDjSdiMGqw%3D%3D&trackingId=iT4Vvu089eU66ayTFp8hgA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
4,Developer,Junior Python Developer,Diverse Lynx,"Mountain View, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485695664?refId=VBWpgESwyNVBaDjSdiMGqw%3D%3D&trackingId=nA2AzmEU6AKu0A3fArxTcQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
5,Developer,Junior Python Developer,Diverse Lynx,"Mountain View, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485699475?refId=VBWpgESwyNVBaDjSdiMGqw%3D%3D&trackingId=yWcGnucsouDSAGvqVBVpKw%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
6,Developer,Python Developer,Extend Information Systems Inc.,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/python-developer-at-extend-information-systems-inc-3485891803?refId=DgPSYQoVC%2B594wQ3fPpqHA%3D%3D&trackingId=%2BKp13Kz32JszpL742q5uTw%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
7,Developer,Web Software Developer - Full Stack - Front/Back End,Castilleja School,"Palo Alto, CA",https://www.linkedin.com/jobs/view/web-software-developer-full-stack-front-back-end-at-castilleja-school-3481296136?refId=zDbMGWVb7BNxlFydp2Q0rg%3D%3D&trackingId=%2BAwc2u6N%2BXJy5Zh5h7TkUg%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card
8,Developer,Software Developer I (Entry-Level)*,San Bernardino County HR,"San Bernardino, CA",https://www.linkedin.com/jobs/view/software-developer-i-entry-level-at-san-bernardino-county-hr-3478868887?refId=zDbMGWVb7BNxlFydp2Q0rg%3D%3D&trackingId=kI%2Bol66x%2BpOaON9y9eAZWA%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card
9,Developer,Software Developer Intern,"Mercedes-Benz Research & Development North America, Inc.","Sunnyvale, CA",https://www.linkedin.com/jobs/view/software-developer-intern-at-mercedes-benz-research-development-north-america-inc-3486758504?refId=zDbMGWVb7BNxlFydp2Q0rg%3D%3D&trackingId=305gX4ThMlAHb3T34UZ%2BJA%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card
