,query,title,company,location,link
0,Ios,iOS Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/ios-software-engineer-at-apple-3472391773?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=0rE%2Fr4NYAhtS9Gn12xa7UA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Ios,Senior iOS Engineer,Glorify,"Los Angeles, CA",https://www.linkedin.com/jobs/view/senior-ios-engineer-at-glorify-3453629019?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=BM%2F4W7ATDcnbJMD%2B5shzww%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Ios,Software Engineer - iOS - Ads,Nextdoor,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-ios-ads-at-nextdoor-3484433586?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=Hy12B0Inn06P4QFG1p2DZA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Ios,Sr. iOS Engineer,"Adroit Resources, Inc.","San Francisco, CA",https://www.linkedin.com/jobs/view/sr-ios-engineer-at-adroit-resources-inc-3485498345?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=6PZAbajXXnZtk1taZ59ggA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Ios,iOS Home Application Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/ios-home-application-engineer-at-apple-3394250070?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=QMtf8dIYMUdkCuYvBV%2FMZg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Ios,Software Engineer - iOS,Nextdoor,"California, United States",https://www.linkedin.com/jobs/view/software-engineer-ios-at-nextdoor-3484434253?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=eJ6w9iF94jhkmWGCo9LO0Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Ios,iOS Engineer,Givingli,"Los Angeles, CA",https://www.linkedin.com/jobs/view/ios-engineer-at-givingli-3474177268?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=vJGp1yCm2WgHUfycfch4Hw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Ios,iOS Developer,Herewith,"San Francisco, CA",https://www.linkedin.com/jobs/view/ios-developer-at-herewith-3481028732?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=%2FZSmyEpdbkNuzqkgzX8V%2BA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Ios,iOS Developer,TBD Advertising,"San Francisco, CA",https://www.linkedin.com/jobs/view/ios-developer-at-tbd-advertising-3464895140?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=uRB%2FxCu%2F4hf280kLIGwQlA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Ios,iOS for a Health and Wellness Platform,BEON.tech,"Santa Monica, CA",https://www.linkedin.com/jobs/view/ios-for-a-health-and-wellness-platform-at-beon-tech-3486587078?refId=M6zdun3rAXm7coXcvEvnpg%3D%3D&trackingId=rQZnN2rr03qeGxFdP1mTpA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
