,query,title,company,location,link
0,Java,Java Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/java-software-engineer-at-apple-3395677269?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=%2FNC2pRUTtzwWwi3ydakvDA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Java,Full Stack Java Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/full-stack-java-software-engineer-at-apple-3432343894?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=yyNbRfjs%2BTtvGr6hO01tkQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Java,Java Developer Recent Graduates - Entry Level Positions,COGENT Infotech,"San Jose, CA",https://www.linkedin.com/jobs/view/java-developer-recent-graduates-entry-level-positions-at-cogent-infotech-3468599265?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=LqMII0hxJLHmP85%2FVmp3Uw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Java,JAVA DEVOLPER,Believe Resourcing Group,"Los Angeles, CA",https://www.linkedin.com/jobs/view/java-devolper-at-believe-resourcing-group-3474262616?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=DANCBCHybnirG5r7dap7Sg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Java,Jr. Java Engineer,Commercial Bank of California,"Orange, CA",https://www.linkedin.com/jobs/view/jr-java-engineer-at-commercial-bank-of-california-3461093790?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=dcDqUFFInrrRSTDkcVHR6Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Java,Java Developer - CA,"Horizon Health Care, Inc","Anaheim, CA",https://www.linkedin.com/jobs/view/java-developer-ca-at-horizon-health-care-inc-3408027615?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=Z9m%2BwrdOp3Y9aGATnKvBPQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Java,Junior Java Developer,SynergisticIT,"Los Angeles, CA",https://www.linkedin.com/jobs/view/junior-java-developer-at-synergisticit-3415230722?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=QFKi%2Fh7mv25EDUSngllhrQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Java,"Java Backend Engineer, Universal Media",Apple,"San Diego, CA",https://www.linkedin.com/jobs/view/java-backend-engineer-universal-media-at-apple-3468542890?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=SVQwkD5r9RF%2Bs%2BQry8SE7Q%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Java,Java Full Stack Developer,Stebr,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/java-full-stack-developer-at-stebr-3452096483?refId=3KakQyuaZBvM%2Fnp1LnhelA%3D%3D&trackingId=dX8LRlxZ9yKSCLUiZs85NA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Java,Java Backend Engineer,Calypso Way,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/java-backend-engineer-at-calypso-way-3296829247?refId=Xq4l6PXdROrEnMWa9SLmDw%3D%3D&trackingId=zX6DczFd0giRfGlxPkVm9g%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
10,Java,Java Backend Developer,Danta Technologies,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/java-backend-developer-at-danta-technologies-3472387929?refId=Xq4l6PXdROrEnMWa9SLmDw%3D%3D&trackingId=T8Z44gQVmQRAi81%2F8IANzA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
