,query,title,company,location,link
0,Kotlin,Kotlin Software Engineer,Revel,"San Francisco, CA",https://www.linkedin.com/jobs/view/kotlin-software-engineer-at-revel-3384219759?refId=Ri5nPFWabz5I8jRXW1mJuw%3D%3D&trackingId=wMU9zFRAe5tPsTEJNmTgqQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Kotlin,Kotlin Software Engineer 2,Revel,"San Francisco, CA",https://www.linkedin.com/jobs/view/kotlin-software-engineer-2-at-revel-3384224023?refId=Ri5nPFWabz5I8jRXW1mJuw%3D%3D&trackingId=2XhLqoWukMW%2Bl0FL5TXkGg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Kotlin,"Full-Stack Engineer (React, Swift or Kotlin frontend)",Flowly,"Pasadena, CA",https://www.linkedin.com/jobs/view/full-stack-engineer-react-swift-or-kotlin-frontend-at-flowly-3481029475?refId=hNB3puKGhkq%2BLp6ggn3RSQ%3D%3D&trackingId=GRDlQYCgKPt827BylsbwqA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
3,Kotlin,"Full-Stack Engineer (React, Swift or Kotlin frontend)",Flowly,"Pasadena, CA",https://www.linkedin.com/jobs/view/full-stack-engineer-react-swift-or-kotlin-frontend-at-flowly-3481029475?refId=BUgfFTcjbqnjEWu8QvSCsQ%3D%3D&trackingId=RmV2B8VMfOfEkqoTeQFCEA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
4,Kotlin,"Senior Android Developer (Kotlin, Android, MVVM -Principle or staff level developer preferred)",Compunnel Inc.,San Francisco Bay Area,https://www.linkedin.com/jobs/view/senior-android-developer-kotlin-android-mvvm-principle-or-staff-level-developer-preferred-at-compunnel-inc-3485931810?refId=XQ6v4g9moVjbswnpPf0l0A%3D%3D&trackingId=mSqbEQd7bCSDsIqjKTMG2Q%3D%3D&position=18&pageNum=8&trk=public_jobs_jserp-result_search-card
5,Kotlin,Sr. Kotlin Developer(Android),Tranzeal Incorporated,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/sr-kotlin-developer-android-at-tranzeal-incorporated-3405647758?refId=AI1LG4dwTPIt%2BKHrb5%2F1yg%3D%3D&trackingId=lPfGji6K9OpqUFIN3z6%2F0g%3D%3D&position=1&pageNum=9&trk=public_jobs_jserp-result_search-card
6,Kotlin,RM -- Kotlin Sr. Android Developer,eTeam,"San Francisco, CA",https://www.linkedin.com/jobs/view/rm-kotlin-sr-android-developer-at-eteam-2990190677?refId=L053Jg%2FiZfdmHtrK%2BBAivw%3D%3D&trackingId=INV03EIlaUML8M6nl9B4ew%3D%3D&position=24&pageNum=25&trk=public_jobs_jserp-result_search-card
7,Kotlin,Principal Software Engineer - Java / Kotlin / AWS,"FILD Search, LLC","California, United States",https://www.linkedin.com/jobs/view/principal-software-engineer-java-kotlin-aws-at-fild-search-llc-3433287945?refId=RHuLu90EGzmUAWnA%2FdTj4A%3D%3D&trackingId=BX1d%2FoMM0UJahAxRYmyVUA%3D%3D&position=12&pageNum=29&trk=public_jobs_jserp-result_search-card
8,Kotlin,"Senior Java Developer / FinTech / Springboot, CI/CD, Kotlin",Motion Recruitment,"Los Angeles, CA",https://www.linkedin.com/jobs/view/senior-java-developer-fintech-springboot-ci-cd-kotlin-at-motion-recruitment-3407567885?refId=RHuLu90EGzmUAWnA%2FdTj4A%3D%3D&trackingId=BvU8bf6Ui3cNL2JpVqUdYA%3D%3D&position=16&pageNum=29&trk=public_jobs_jserp-result_search-card
9,Kotlin,Principal Software Engineer - Java / Kotlin / AWS,"FILD Search, LLC","Los Angeles, CA",https://www.linkedin.com/jobs/view/principal-software-engineer-java-kotlin-aws-at-fild-search-llc-3433295501?refId=IQlukVQR2X2R9jVYgfSY%2Bg%3D%3D&trackingId=dMeYx7zTpc4%2FMVA%2Fwoodpg%3D%3D&position=21&pageNum=30&trk=public_jobs_jserp-result_search-card
