,query,title,company,location,link
0,Python,Junior Python developer,Diverse Lynx,"Irvine, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485743470?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=EiBGvL8SFBqHvbA%2BxeFLFw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Python,Junior Python Developer,Diverse Lynx,"Mountain View, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485701099?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=TTMX7bF%2FJLv5%2B85j29J5DA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Python,Junior Python Developer,Diverse Lynx,"Irvine, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485742451?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=Sk7Cb1oomf%2FGXZ6XP6DimQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Python,Junior Python Developer,Diverse Lynx,"Mountain View, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485695664?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=m%2B6il1Pe3YCcJoiwWTFKdQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Python,Junior Python Developer,Diverse Lynx,"Mountain View, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485699475?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=F%2BWgVuFWebxCPuaB8ZUPDw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Python,Python Developer,Extend Information Systems Inc.,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/python-developer-at-extend-information-systems-inc-3485891803?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=zkD0p8xWj6uWWfab%2FuL4RA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Python,Python Developer,Extend Information Systems Inc.,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/python-developer-at-extend-information-systems-inc-3485823907?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=i0lzJZovGhRrUY3X4CXpgQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Python,Entry Level Python Developer,SynergisticIT,"Fremont, CA",https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3479651241?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=%2BEZE5P1mkBgP%2Fm%2BmzniDWA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Python,Entry Level Python Developer,SynergisticIT,"San Diego, CA",https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3472272259?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=shyZVDo%2BTRcIQP%2BimNiN2g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Python,Python developer,Info Way Solutions,"Fremont, CA",https://www.linkedin.com/jobs/view/python-developer-at-info-way-solutions-3415218772?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=vitD5mAMyjsGfPPzSjyIrA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Python,Junior Python Developer,Diverse Lynx,"Mountain View, CA",https://www.linkedin.com/jobs/view/junior-python-developer-at-diverse-lynx-3485696525?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=JD0v%2FNsXufkQFHWi3WifdA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Python,Python Developer,Sky Castle Studios,"Santa Monica, CA",https://www.linkedin.com/jobs/view/python-developer-at-sky-castle-studios-3466363658?refId=kHXBJJ%2FBDKR8smLkN0D9zw%3D%3D&trackingId=MOC0skgRqu0OztsjNucCkw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
