,query,title,company,location,link
0,Software Developer,Jr. Software Developer (C/C++),Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/jr-software-developer-c-c%2B%2B-at-apple-2995935448?refId=q48FFKwqhY8y3StqQZfaKg%3D%3D&trackingId=vKsdNbWSJyXzRiMOjsbtaA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Software Developer,Software Engineer - Software Developer Platform,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-software-developer-platform-at-apple-3383593960?refId=q48FFKwqhY8y3StqQZfaKg%3D%3D&trackingId=bMyXLOz9k1fEHwdnDWMZCA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Software Developer,Software Developer - Internship,Chipotle Mexican Grill,"Newport Beach, CA",https://www.linkedin.com/jobs/view/software-developer-internship-at-chipotle-mexican-grill-3437566153?refId=X%2B2LHV6Asr8Qhk63BH6LzA%3D%3D&trackingId=8aygOPgTWWYxAJJKz1Vy3Q%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
3,Software Developer,Jr. Software Developer,Amazon,"San Luis Obispo, CA",https://www.linkedin.com/jobs/view/jr-software-developer-at-amazon-3345892367?refId=X%2B2LHV6Asr8Qhk63BH6LzA%3D%3D&trackingId=xUWljU%2B3Sh1XrJmootHJ1Q%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
4,Software Developer,Junior Software Developer,STL Digital,"Fremont, CA",https://www.linkedin.com/jobs/view/junior-software-developer-at-stl-digital-3441038138?refId=QxTqhaBz2MuwjX6sCy39nQ%3D%3D&trackingId=zSuuZLCSTyuz7BlPUJ3OQw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
5,Software Developer,Software Developer,AERMOR,"San Diego, CA",https://www.linkedin.com/jobs/view/software-developer-at-aermor-3463895935?refId=QxTqhaBz2MuwjX6sCy39nQ%3D%3D&trackingId=3DQfzS7zwr9TyeEhDbQjrQ%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
6,Software Developer,Software Developer,Tubi,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-developer-at-tubi-3459772857?refId=QxTqhaBz2MuwjX6sCy39nQ%3D%3D&trackingId=zIHhTHRbvHQlp4HKuXh6Dg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
7,Software Developer,"Software Developer in Test, File Systems",Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-developer-in-test-file-systems-at-apple-3443324073?refId=QxTqhaBz2MuwjX6sCy39nQ%3D%3D&trackingId=xuV83K02B2W0UNKjP9hh8Q%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
8,Software Developer,"Software Engineer L6, Mobile Developer Productivity",Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/software-engineer-l6-mobile-developer-productivity-at-netflix-3356608813?refId=QxTqhaBz2MuwjX6sCy39nQ%3D%3D&trackingId=X3Do3JaoH4dker7P1YamTw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
9,Software Developer,Software Developer Intern,"Mercedes-Benz Research & Development North America, Inc.","Sunnyvale, CA",https://www.linkedin.com/jobs/view/software-developer-intern-at-mercedes-benz-research-development-north-america-inc-3486758504?refId=XOuWh0oci%2BnrOXx5YQ9DgQ%3D%3D&trackingId=uFmNKvIF7NC2bv3PeKEMNw%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
