,query,title,company,location,link
0,Software Engineer,Software Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/software-engineer-at-tesla-3242397839?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=FO9UzEyY45EiIVGDf5KZXQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Software Engineer,Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-at-apple-3357548326?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=bZfW3QGt1gna6N15fwFNOQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Software Engineer,Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-at-apple-3337050766?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=UWfoY49GnFpGVGPNkO25aQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Software Engineer,Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-at-apple-3379811806?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=g6l3VzPTmJJ6e3oyQeq%2Fjg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Software Engineer,Frontend Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/frontend-software-engineer-at-apple-3358664388?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=1%2FlcaqWNmFQu%2FP7EowGiyQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Software Engineer,Software Engineer,Tesla,"Palo Alto, CA",https://www.linkedin.com/jobs/view/software-engineer-at-tesla-3434213312?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=vY7RThtPsFBmM2XtcXUKRQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Software Engineer,Software Engineer,Tesla,"Fremont, CA",https://www.linkedin.com/jobs/view/software-engineer-at-tesla-3382827499?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=pfALxj4epk6%2BQcaUqk9nOw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Software Engineer,Software Engineer,Apple,"San Diego, CA",https://www.linkedin.com/jobs/view/software-engineer-at-apple-3432350066?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=JFdQm73Wq8XYd73RUrGJDQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Software Engineer,"Software Engineer, New Grad",IXL Learning,"San Mateo, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-ixl-learning-3428087338?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=sA2XDLz8zq5Jy%2BOwJnJzTg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Software Engineer,Frontend Software Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/frontend-software-engineer-at-apple-3452932785?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=swUjjtEVvXvgYB24LJsbcw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Software Engineer,Software Engineer I (Full Time) United States,Cisco,"San Jose, CA",https://www.linkedin.com/jobs/view/software-engineer-i-full-time-united-states-at-cisco-3480665480?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=mTlWbzCs8pj1mFMku2ORzw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Software Engineer,Software Development Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-development-engineer-at-apple-3381816908?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=%2FsL07bRrY23VCq%2FoZzVUzg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Software Engineer,Software Engineer - Software Developer Platform,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-software-developer-platform-at-apple-3383593960?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=GVBis7fbbif%2BBH0PNn0riw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Software Engineer,Software Engineer I (Full Time) United States,Cisco,"San Jose, CA",https://www.linkedin.com/jobs/view/software-engineer-i-full-time-united-states-at-cisco-3427893305?refId=OB3DA7FWOLR7UaDsIYe26Q%3D%3D&trackingId=aHaDxLB5qlN8k7ihnwSoWA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
