,query,title,company,location,link
0,Systems Engineer,Systems Engineer,AERMOR,"San Diego, CA",https://www.linkedin.com/jobs/view/systems-engineer-at-aermor-3463896596?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=%2Bm1VVSXslmSL25NVfmOA5A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Systems Engineer,IT Systems Engineer (Staff),Lockheed Martin,"Palmdale, CA",https://www.linkedin.com/jobs/view/it-systems-engineer-staff-at-lockheed-martin-3485668184?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=r9m7ca%2Bzp%2BgVcOhP1BcgEQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Systems Engineer,Systems Engineer,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/systems-engineer-at-apple-3327129912?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=f9EpWnQtTqEUWhabDr4yHQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Systems Engineer,Operations Systems Engineer I,NASA Jet Propulsion Laboratory,"Pasadena, CA",https://www.linkedin.com/jobs/view/operations-systems-engineer-i-at-nasa-jet-propulsion-laboratory-3378349166?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=sqAuxeQQFF6ZrkYB4CJjsQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Systems Engineer,IT Systems Engineer - San Francisco (Remote),Interlaced.io,"San Francisco, CA",https://www.linkedin.com/jobs/view/it-systems-engineer-san-francisco-remote-at-interlaced-io-3486147499?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=XZNRjT%2FWwkfa6wuWonerCA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Systems Engineer,Systems Engineer - Early Career,Lockheed Martin,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/systems-engineer-early-career-at-lockheed-martin-3479610538?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=aRcXPaOJbCAIt8KlRcDscg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Systems Engineer,Systems Engineer,Albireo Energy,"Anaheim, CA",https://www.linkedin.com/jobs/view/systems-engineer-at-albireo-energy-3473877021?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=2O4sQN2ncUZOKyap9MSXeQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Systems Engineer,Data Center Systems Engineer,Meta,"Fremont, CA",https://www.linkedin.com/jobs/view/data-center-systems-engineer-at-meta-3478532051?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=ZNkUh35FRF1VXRItuHvE5g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Systems Engineer,Systems Engineer,Lockheed Martin,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/systems-engineer-at-lockheed-martin-3478569652?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=usZUxjZMlnfJjdcbM2m0qA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Systems Engineer,Systems Engineer - Calibration,Apple,"Cupertino, CA",https://www.linkedin.com/jobs/view/systems-engineer-calibration-at-apple-3396857631?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=qOfbI50dE0CitJ6gfL3dsg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Systems Engineer,Systems Engineer,CCS Global Tech,"San Diego, CA",https://www.linkedin.com/jobs/view/systems-engineer-at-ccs-global-tech-3485892010?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=%2Blf0FxUTq0dJs0LjfD0k%2Fw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Systems Engineer,Systems Infrastructure Engineer,California Coast Credit Union,"San Diego, CA",https://www.linkedin.com/jobs/view/systems-infrastructure-engineer-at-california-coast-credit-union-3467047305?refId=mnT7%2F%2Fz6StfLeBV%2Bxia00A%3D%3D&trackingId=MKc7nbIec%2BDOZJEhtoL8lA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
