,query,title,company,location,link
0,Cloud Architect,Cloud Architect,System Soft Technologies,"Tampa, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-system-soft-technologies-3476782139?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=UjVFtMr3aVj5gXPOKktcuQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Cloud Architect,Sr. Cloud Architect,Diverse Lynx,"Bay Lake, FL",https://www.linkedin.com/jobs/view/sr-cloud-architect-at-diverse-lynx-3485757454?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=qZlRorTXfcUk%2FczpwCWJFQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Cloud Architect,Cloud Architect,Brooksource,"Orlando, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-brooksource-3430520982?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=00q%2FgZMgphpXliYVF7xyjg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Cloud Architect,Cloud Architect,LTK (formerly rewardStyle & LIKEtoKNOW.it),"Miami, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-ltk-formerly-rewardstyle-liketoknow-it-3393078681?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=bKwgpHl8dhuqn1Br9p5HAw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Cloud Architect,AWS Cloud Architect,Diverse Lynx,"Jupiter, FL",https://www.linkedin.com/jobs/view/aws-cloud-architect-at-diverse-lynx-3484154378?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=NgzGAX%2BLEvaEkk%2FyyTAlew%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Cloud Architect,Cloud Architect,Robert Half,"Lake Mary, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-robert-half-3477192084?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=rtHu8Om6yphzfgAC1e%2BloQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Cloud Architect,Cloud Architect,Robert Half,"Melbourne, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-robert-half-3477189452?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=mvw%2FwanUQRTI1fulAd7xSQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Cloud Architect,Enterprise Kubernetes and Cloud Solutions Architect,"No Limit Technology, Inc.","Tampa, FL",https://www.linkedin.com/jobs/view/enterprise-kubernetes-and-cloud-solutions-architect-at-no-limit-technology-inc-3488337795?refId=j1KQ20155SNtOvIjT0hngg%3D%3D&trackingId=bX%2BzOskeMOeW4X%2FSjaAQNg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Cloud Architect,Cloud Architect,Robert Half,"Orlando, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-robert-half-3463919506?refId=F85H7EnDICMDo0kqymDivA%3D%3D&trackingId=ukDpzhiUqiaE4JXg1ZdNSQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
9,Cloud Architect,Azure Cloud Architect (Tampa),Suncoast Drivers,"Tampa, FL",https://www.linkedin.com/jobs/view/azure-cloud-architect-tampa-at-suncoast-drivers-3478231088?refId=F85H7EnDICMDo0kqymDivA%3D%3D&trackingId=gbgOalHHrhweV4ITBYJF2w%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
10,Cloud Architect,Cloud Architect,Robert Half,"Orlando, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-robert-half-3423088371?refId=F85H7EnDICMDo0kqymDivA%3D%3D&trackingId=Wkvv4yrxkzYnfIZghlUTnA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
11,Cloud Architect,Cloud Architect (REMOTE),Foot Locker,"Tampa, FL",https://www.linkedin.com/jobs/view/cloud-architect-remote-at-foot-locker-3460683864?refId=F85H7EnDICMDo0kqymDivA%3D%3D&trackingId=RenStDc99IdaqL5xzAO8Gw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
12,Cloud Architect,Cloud Architect (Remote),Koch Industries,"Palm Beach Gardens, FL",https://www.linkedin.com/jobs/view/cloud-architect-remote-at-koch-industries-3341727954?refId=F85H7EnDICMDo0kqymDivA%3D%3D&trackingId=qAqHAnlzKQNOAoSJyrm1Zw%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Cloud Architect,Cloud Architect,NeedleFinder Recruiting,"Melbourne, FL",https://www.linkedin.com/jobs/view/cloud-architect-at-needlefinder-recruiting-3459689332?refId=F85H7EnDICMDo0kqymDivA%3D%3D&trackingId=htLWpCxfPj%2F%2BBdYnWPwqpQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Cloud Architect,Cloud Architect,DApp360 Workforce,"Florida, United States",https://www.linkedin.com/jobs/view/cloud-architect-at-dapp360-workforce-3465336774?refId=ShvTJchH6KEGGgYNcJuZRA%3D%3D&trackingId=5KKJSjx4HUmosKQJiD%2FefQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
15,Cloud Architect,Lead Cloud Architect (DDC),DApp360 Workforce,"Florida, United States",https://www.linkedin.com/jobs/view/lead-cloud-architect-ddc-at-dapp360-workforce-3463361852?refId=ShvTJchH6KEGGgYNcJuZRA%3D%3D&trackingId=dcjXZkE4lcERnM1p7F5vVw%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
16,Cloud Architect,Cloud Data Architect,Jabil,"St Petersburg, FL",https://www.linkedin.com/jobs/view/cloud-data-architect-at-jabil-3430511504?refId=ShvTJchH6KEGGgYNcJuZRA%3D%3D&trackingId=oFZzu2Lqve%2B4Ko0wwgg2Gg%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
17,Cloud Architect,Senior Cloud Architect,Diverse Lynx,"Lake Buena Vista, FL",https://www.linkedin.com/jobs/view/senior-cloud-architect-at-diverse-lynx-3485752939?refId=ShvTJchH6KEGGgYNcJuZRA%3D%3D&trackingId=Y%2B%2Bu53TsgZSHN1nMplCwTA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
