,query,title,company,location,link
0,Data Analyst,DATA ANALYST,Lending Science DM,"Florida, United States",https://www.linkedin.com/jobs/view/data-analyst-at-lending-science-dm-3408965911?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=Nwq0uct6s1KSldysy%2Bk08Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Analyst,Data Analyst,Currency Exchange International,"Florida, United States",https://www.linkedin.com/jobs/view/data-analyst-at-currency-exchange-international-3427730208?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=%2BAwDQo%2BaHPMzLDeVQQ2GLg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Analyst,Data Analyst,Kavaliro,"Florida, United States",https://www.linkedin.com/jobs/view/data-analyst-at-kavaliro-3460473169?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=P7g9%2FZ3JYf%2B02833t9BSbA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Analyst,Data Analyst,Robert Half,"Orlando, FL",https://www.linkedin.com/jobs/view/data-analyst-at-robert-half-3440846561?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=lXSRH9xNMHKhOVpVcmQGhw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Analyst,Data Analyst,AssistRx,"Orlando, FL",https://www.linkedin.com/jobs/view/data-analyst-at-assistrx-3453992359?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=tn3AmGtIkhz7w82YA5rMlw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Analyst,Data Analyst,Venture Personnel,"South Miami, FL",https://www.linkedin.com/jobs/view/data-analyst-at-venture-personnel-3486195414?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=mbgWefUmACscB1HQMZal7A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Analyst,DATA ANALYST,Lakeview,"Fort Lauderdale, FL",https://www.linkedin.com/jobs/view/data-analyst-at-lakeview-3483456025?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=Hw3yWxb%2BydeYutwR9Wuleg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Analyst,Data Analyst (Looker),Fortress Information Security,Greater Orlando,https://www.linkedin.com/jobs/view/data-analyst-looker-at-fortress-information-security-3420282267?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=jeS5Q%2FnPlnOOlMOEIm5vYA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Analyst,Jr Data Analyst,Linder Industrial Machinery,"Plant City, FL",https://www.linkedin.com/jobs/view/jr-data-analyst-at-linder-industrial-machinery-3477366873?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=J7npXcM7EF5eRFDuwfA6rA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Analyst,Data Analyst,Citi,"Tampa, FL",https://www.linkedin.com/jobs/view/data-analyst-at-citi-3381710858?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=P35WtxLecwgWbRpl9vq7Ww%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Analyst,Data Analyst,University of Florida,"Sumter County, FL",https://www.linkedin.com/jobs/view/data-analyst-at-university-of-florida-3482663358?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=vqt%2FnR0ZDkUM1uyw10Vl8A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Analyst,Data Analyst,Rise Technical Recruitment,"Jacksonville, FL",https://www.linkedin.com/jobs/view/data-analyst-at-rise-technical-recruitment-3473339141?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=MyqcrZe17r5qga1gsBjjvg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Analyst,Data Analyst,Altamira Technologies Corporation,"Tampa, FL",https://www.linkedin.com/jobs/view/data-analyst-at-altamira-technologies-corporation-3467896711?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=8G8knPXNoxNmWiCztdko4g%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Data Analyst,"Analyst, Data Analytics",Spirit Airlines,"Miramar, FL",https://www.linkedin.com/jobs/view/analyst-data-analytics-at-spirit-airlines-3470789482?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=VY%2BvZ3GqDFr0v5PiGPW13w%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Data Analyst,Data Analyst – 2023 Campus Recruiting,Chewy,"Plantation, FL",https://www.linkedin.com/jobs/view/data-analyst-%E2%80%93-2023-campus-recruiting-at-chewy-3486634168?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=Cx%2Bc%2FZWMNE5Yn%2BHCkMDVVg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Data Analyst,Data Analyst,Seacoast Bank,"Florida, United States",https://www.linkedin.com/jobs/view/data-analyst-at-seacoast-bank-3481535568?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=k1rNYAfYgSVvaAmkBQTEWA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Data Analyst,Business Data Analyst,The Intersect Group,"Tampa, FL",https://www.linkedin.com/jobs/view/business-data-analyst-at-the-intersect-group-3450853181?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=HvbD16M9zYhg%2FDnq1l9vyQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Data Analyst,8264 Data Analyst,Interactive Resources - iR,"Florida, United States",https://www.linkedin.com/jobs/view/8264-data-analyst-at-interactive-resources-ir-3476246407?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=%2BXMy%2BN1uk%2BqJRLqAyjkLMw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Data Analyst,Data Analyst,Caliber Sourcing,"Hialeah, FL",https://www.linkedin.com/jobs/view/data-analyst-at-caliber-sourcing-3481081279?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=G9pyrmRXVAzCUp%2B5sF6CZw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,Data Analyst,Junior Data Analyst,"ValuTeachers, Inc.","Ponte Vedra Beach, FL",https://www.linkedin.com/jobs/view/junior-data-analyst-at-valuteachers-inc-3486154758?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=9%2FapZ2OF4RtW70BHn8lrSA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Data Analyst,Junior Data Analyst,SynergisticIT,"Orlando, FL",https://www.linkedin.com/jobs/view/junior-data-analyst-at-synergisticit-3415229866?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=6QPVZL43Vl09qx1mkzs%2BJg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Data Analyst,Junior Data Analyst,SynergisticIT,"Orlando, FL",https://www.linkedin.com/jobs/view/junior-data-analyst-at-synergisticit-3415227788?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=iyU2KhHmi8UNb%2BMwajK7Rw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Data Analyst,Data Analyst - Remote | WFH,Get It Recruit - Information Technology,"Tampa, FL",https://www.linkedin.com/jobs/view/data-analyst-remote-wfh-at-get-it-recruit-information-technology-3477534839?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=73Z3qfuAgAJScAeYCYYmzA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Data Analyst,Data Analyst,SGS Technologie,"Jacksonville, FL",https://www.linkedin.com/jobs/view/data-analyst-at-sgs-technologie-3485188453?refId=FEfEkxChsYHC6Qi0Mo5xbQ%3D%3D&trackingId=6f%2B9ZAhKbUtvpepY8l0w7A%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
