,query,title,company,location,link
0,Data Engineer,Junior Data Engineer,Small Batch Standard,"Ponte Vedra, FL",https://www.linkedin.com/jobs/view/junior-data-engineer-at-small-batch-standard-3460742638?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=B4NTWYGz%2FSdstOANks8%2BSQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Engineer,Data Engineer,Orbis,"Florida, United States",https://www.linkedin.com/jobs/view/data-engineer-at-orbis-3467422632?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=o0B0wdrlhgZr%2FmR5Y%2ByVNA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Engineer,Data Engineer,STEMBoard,"Tampa, FL",https://www.linkedin.com/jobs/view/data-engineer-at-stemboard-3464048606?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=Vfec65l%2FHtmURXzksT9KpQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Engineer,Data Engineer,Hilton Software,"Coral Springs, FL",https://www.linkedin.com/jobs/view/data-engineer-at-hilton-software-3379469015?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=RHucFWFmx%2BVlfX0PhsT6Fw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Engineer,Data Engineer,Miami HEAT,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-at-miami-heat-3443386843?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=nZmyUASppsOpp%2BKiNSdAkw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Engineer,Data Engineer,ttg Talent Solutions,"Aventura, FL",https://www.linkedin.com/jobs/view/data-engineer-at-ttg-talent-solutions-3473209025?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=aluGtLs9sKqB%2BKmiL3RbOA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Engineer,Data Engineer,Fresh Talent Sources Inc.,"Orlando, FL",https://www.linkedin.com/jobs/view/data-engineer-at-fresh-talent-sources-inc-3408035297?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=YjL8X%2Bbf35dd9IfxMEsq%2BQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Engineer,Data Engineer,Motion Recruitment,"Sunrise, FL",https://www.linkedin.com/jobs/view/data-engineer-at-motion-recruitment-3475078261?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=35s%2FpHxk64qnVoMl1yJBkQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Engineer,Data Engineer,Podium,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-at-podium-3461206761?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=ppc%2FGSoX6cb5aFszqlR%2FBg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Engineer,Data Engineer,Elsdon Consulting ltd,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-at-elsdon-consulting-ltd-3475039508?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=q7sxar1Q%2BU1I7ScyJbBpCg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Engineer,"Data Engineer, Database Engineering",Experfy,"Hollywood, FL",https://www.linkedin.com/jobs/view/data-engineer-database-engineering-at-experfy-3374495848?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=aZoSM9p2VoyrZeqqBEAbsA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Engineer,Data Engineer (Remote),TurningPoint Healthcare Solutions,"Lake Mary, FL",https://www.linkedin.com/jobs/view/data-engineer-remote-at-turningpoint-healthcare-solutions-3485402545?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=%2B1iAJ9BoxU%2BdgSDCL6E4JA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Engineer,Data Engineer,Chewy,"Hollywood, FL",https://www.linkedin.com/jobs/view/data-engineer-at-chewy-3466548141?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=fH%2FpyUyAlkN0lJTNOFuADw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Data Engineer,Data Engineer,Florida Panthers,"Fort Lauderdale, FL",https://www.linkedin.com/jobs/view/data-engineer-at-florida-panthers-3421280817?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=30cGtJE7RAsMV26XZbN0NA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Data Engineer,Junior Data Scientist/Database Engineer - Technology,"Arena Investors, LP","Jacksonville, FL",https://www.linkedin.com/jobs/view/junior-data-scientist-database-engineer-technology-at-arena-investors-lp-3421184221?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=cxvT%2FMUxYoyyfx8pcYwILA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Data Engineer,Data Engineer,Silent Eight,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-at-silent-eight-3459000881?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=08%2F25D6wphrZIby0ooKBQg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Data Engineer,Data Engineer,Leeds Professional Resources,"Tampa, FL",https://www.linkedin.com/jobs/view/data-engineer-at-leeds-professional-resources-3453921418?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=MYDN3SNWUsw%2Fd1ZJo%2Ff4GA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Data Engineer,Data Engineer,Elsdon Consulting ltd,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-at-elsdon-consulting-ltd-3444957743?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=cPFBtAosJmqGAr0sBM%2F7dg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Data Engineer,"Data Engineer (SQL, Python & AWS) (Remote)",Conexess Group,"Orlando, FL",https://www.linkedin.com/jobs/view/data-engineer-sql-python-aws-remote-at-conexess-group-3019457902?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=ebJreb%2BksGraGGHgn02w1A%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,Data Engineer,Data Engineer,LHH,"Florida, United States",https://www.linkedin.com/jobs/view/data-engineer-at-lhh-3456098070?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=e%2FwQQul6mtpfNED3sFjcTA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Data Engineer,Data Engineer - Pyspark,Hertz,"Estero, FL",https://www.linkedin.com/jobs/view/data-engineer-pyspark-at-hertz-3481902407?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=JPWuE3OnSQbXCVUm5hHGUw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Data Engineer,Data Engineer (remote),Renuity,"Fort Lauderdale, FL",https://www.linkedin.com/jobs/view/data-engineer-remote-at-renuity-3483977861?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=ICMJNaCSeqGe3G9BtDlW4Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Data Engineer,Data Engineer,Diverse Lynx,"Boca Raton, FL",https://www.linkedin.com/jobs/view/data-engineer-at-diverse-lynx-3485743537?refId=nt%2FU8dincdgKKfmrR7jfiA%3D%3D&trackingId=YFhpjDkbJCBnjWjfRA7rMA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Data Engineer,Data Engineer - Cloud & Data Services,American Express,"Florida, United States",https://www.linkedin.com/jobs/view/data-engineer-cloud-data-services-at-american-express-3479616478?refId=cArc5U07IG6K%2FgiWzWDpRg%3D%3D&trackingId=D5Zu5XBcwORgkv%2Fa%2BE8P1w%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
24,Data Engineer,Sr. Data Engineer,PetDesk,"Orlando, FL",https://www.linkedin.com/jobs/view/sr-data-engineer-at-petdesk-3477738253?refId=cArc5U07IG6K%2FgiWzWDpRg%3D%3D&trackingId=RlP6132VESOF%2B9WIUKt3%2Bw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
25,Data Engineer,data Engineer,Beacon Hill Staffing Group,"Boca Raton, FL",https://www.linkedin.com/jobs/view/data-engineer-at-beacon-hill-staffing-group-3483450732?refId=cArc5U07IG6K%2FgiWzWDpRg%3D%3D&trackingId=sfe0D%2FiydhEcUvrXpIql0g%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
26,Data Engineer,Data engineer,Blankfactor,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-at-blankfactor-3423825669?refId=cArc5U07IG6K%2FgiWzWDpRg%3D%3D&trackingId=ZH0jEDgdBA3nuSARySmBGg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
27,Data Engineer,Data Engineer,Diverse Lynx,"Bradenton, FL",https://www.linkedin.com/jobs/view/data-engineer-at-diverse-lynx-3485764241?refId=cArc5U07IG6K%2FgiWzWDpRg%3D%3D&trackingId=vmdx15GLEfMYDMrwg6rj4w%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
28,Data Engineer,Data Engineer,Diverse Lynx,"Lake Mary, FL",https://www.linkedin.com/jobs/view/data-engineer-at-diverse-lynx-3484130591?refId=cArc5U07IG6K%2FgiWzWDpRg%3D%3D&trackingId=5ufCL7sLGXiuQYeWOKa5ew%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
