,query,title,company,location,link
0,Data Scientist,Data Scientist,STEMBoard,"Tampa, FL",https://www.linkedin.com/jobs/view/data-scientist-at-stemboard-3473871651?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=selRxhF3ADB%2BKp7saQrNLQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Scientist,Data Scientist,Grammarly,"Florida, United States",https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384152945?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=36yL%2FONuvMAD7tlxItasmQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Scientist,"Data Scientist, Jr.",Altamira Technologies Corporation,"Tampa, FL",https://www.linkedin.com/jobs/view/data-scientist-jr-at-altamira-technologies-corporation-3467899524?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=7T7UnNGRGS26gAnT5H0Bqg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Scientist,Data Scientist,Pool Centurion,"Naples, FL",https://www.linkedin.com/jobs/view/data-scientist-at-pool-centurion-3464143484?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=yPAF1iUWtN1ZP9V90IeBqA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Scientist,"Data Scientist, Jr.",Altamira Technologies Corporation,"Hurlburt Field, FL",https://www.linkedin.com/jobs/view/data-scientist-jr-at-altamira-technologies-corporation-3467894846?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=sk0zA42cAzmCH8ykbTjxXg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Scientist,"REMOTE Data Scientist (Python, Modeling, Presenting)",CyberCoders,"Orlando, FL",https://www.linkedin.com/jobs/view/remote-data-scientist-python-modeling-presenting-at-cybercoders-3449895311?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=hYjEy4z54Sim6yL%2F%2BJRo2w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Scientist,Data Scientist I,Navy Federal Credit Union,"Pensacola, FL",https://www.linkedin.com/jobs/view/data-scientist-i-at-navy-federal-credit-union-3478589364?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=Z5NQDX7HSGCoabLQPCpHjg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Scientist,Entry Level Data Scientist (Remote),SynergisticIT,"Orlando, FL",https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3465473277?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=aga0frqTMHPAblSxeyccuw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Scientist,Jr. Data Scientist OR Data Analytics,Diverse Lynx,"Jacksonville, FL",https://www.linkedin.com/jobs/view/jr-data-scientist-or-data-analytics-at-diverse-lynx-3484135042?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=2SYPs%2BifeolgSmAzak3o%2FA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Scientist,Data Scientist (REMOTE),Foot Locker,"Tampa, FL",https://www.linkedin.com/jobs/view/data-scientist-remote-at-foot-locker-3464466016?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=%2FY7JsjoNibBjnLg%2BwvPtRA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Scientist,Data Scientist II,Chewy,"Hollywood, FL",https://www.linkedin.com/jobs/view/data-scientist-ii-at-chewy-3481928789?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=k%2F43u2NQFnEcDk8TGQU2GA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Scientist,Data Scientist,Hertz,"Estero, FL",https://www.linkedin.com/jobs/view/data-scientist-at-hertz-3481881683?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=VP3FpidO2F4voxpbrnwXng%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Scientist,Data Scientist,BluePearl Specialty + Emergency Pet Hospital,"Florida, United States",https://www.linkedin.com/jobs/view/data-scientist-at-bluepearl-specialty-%2B-emergency-pet-hospital-3430646432?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=tVJBH3H5VXp9TmyYTL49Mw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Data Scientist,Entry Level Data Scientist,SynergisticIT,"Miami, FL",https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3415226932?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=4J8RIaDBLM4aYl2lWDiUYg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Data Scientist,Data Scientist III,Moffitt Cancer Center,"Tampa, FL",https://www.linkedin.com/jobs/view/data-scientist-iii-at-moffitt-cancer-center-3485206530?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=i7A%2FEB0oiqjVOsSM2xGsFw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Data Scientist,Data Scientist,OpenStore,"Miami, FL",https://www.linkedin.com/jobs/view/data-scientist-at-openstore-3374296430?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=K9U3VkZmRg3buZDc0uJYgw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Data Scientist,"REMOTE Data Scientist (Python, Modeling, Presenting)",CyberCoders,"Tampa, FL",https://www.linkedin.com/jobs/view/remote-data-scientist-python-modeling-presenting-at-cybercoders-3479269055?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=lB5YsXgC8OceVayHqExyHw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Data Scientist,Data Scientist (TS/SCI),"WWC Global, a Pequot Company","Tampa, FL",https://www.linkedin.com/jobs/view/data-scientist-ts-sci-at-wwc-global-a-pequot-company-3452842224?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=YtGba3KlzA%2F%2FoIsnIndPQw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Data Scientist,Jr. Data Scientist OR Data Analytics,Diverse Lynx,"Jacksonville, FL",https://www.linkedin.com/jobs/view/jr-data-scientist-or-data-analytics-at-diverse-lynx-3484128644?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=%2BIK0iRjXfb7KplFda%2BXnng%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
19,Data Scientist,Data Scientist,Mars Veterinary Health,"Florida, United States",https://www.linkedin.com/jobs/view/data-scientist-at-mars-veterinary-health-3481303281?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=lv%2BqTbFYc8FInNvUVIIH9g%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Data Scientist,Entry Level Data Scientist,SynergisticIT,"Jacksonville, FL",https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3415232304?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=BLn5tv%2BwVdEjzc7szEXWIw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Data Scientist,Entry Level Data Scientist,SynergisticIT,"Jacksonville, FL",https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3415232266?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=szcM5ECUUzwh0lLlsVIjQw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Data Scientist,Data Scientist,Southeast Toyota Finance,"Deerfield Beach, FL",https://www.linkedin.com/jobs/view/data-scientist-at-southeast-toyota-finance-3455923116?refId=gICBoeMyes6QcKPuhX6yxw%3D%3D&trackingId=MhNukSHvtZIay%2FmwOK6r%2Fw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Data Scientist,Data Scientist II,Tampa General Hospital,"Tampa, FL",https://www.linkedin.com/jobs/view/data-scientist-ii-at-tampa-general-hospital-3485699424?refId=UtnLMEuZ4wFyicpB8Pba1w%3D%3D&trackingId=nNcIUhaThF%2Bl6xtelBmkPQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
24,Data Scientist,Data Scientist,Univision,"Miami, FL",https://www.linkedin.com/jobs/view/data-scientist-at-univision-3399796298?refId=UtnLMEuZ4wFyicpB8Pba1w%3D%3D&trackingId=BHKnX8uZQx%2BDnGYcwOlj%2BA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
25,Data Scientist,"REMOTE Data Scientist (Python, Modeling, Presenting)",CyberCoders,"Jacksonville, FL",https://www.linkedin.com/jobs/view/remote-data-scientist-python-modeling-presenting-at-cybercoders-3449895270?refId=UtnLMEuZ4wFyicpB8Pba1w%3D%3D&trackingId=ZXnuxnMstNiNUO8%2BAHfoVg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
