,query,title,company,location,link
0,Developer,Front-End Web Developer,Miami HEAT,"Miami, FL",https://www.linkedin.com/jobs/view/front-end-web-developer-at-miami-heat-3182669791?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=3RSjgq%2BHYi%2F%2BloIxfxrK%2BA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Developer,Jr. Python Developer,Progrexion,"Fort Lauderdale, FL",https://www.linkedin.com/jobs/view/jr-python-developer-at-progrexion-3482498564?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=ICqzuAcfxyqRQFeSpJeeEQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Developer,Jr Front End Developer,"InvestCloud, Inc.","Tampa, FL",https://www.linkedin.com/jobs/view/jr-front-end-developer-at-investcloud-inc-3045947101?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=WsqMxKXT%2BVnh9I11lRuimA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Developer,Developer,Greenshades Software,"Jacksonville, FL",https://www.linkedin.com/jobs/view/developer-at-greenshades-software-3488090064?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=6SBI3wP%2FdhiGrJVn7GgqAA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Developer,C# Software Developer Engineer,"Novel Engineering, Inc.","Melbourne, FL",https://www.linkedin.com/jobs/view/c%23-software-developer-engineer-at-novel-engineering-inc-3473799493?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=fFtXCsVsj%2FZ2n284QqEhAw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Developer,React Developer,ClearlyAgile,"Tampa, FL",https://www.linkedin.com/jobs/view/react-developer-at-clearlyagile-3371204387?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=wtD8FEpVbzhVP1YjRzt%2BhQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Tampa, FL",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473266949?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=FV5AFFzQKKWGGwLwN%2FCQnA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Orlando, FL",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473273038?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=pqnG3rOJT41sCIX70jxyKQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Developer,Java Developer Recent Graduates - Entry Level Positions,COGENT Infotech,"Boca Raton, FL",https://www.linkedin.com/jobs/view/java-developer-recent-graduates-entry-level-positions-at-cogent-infotech-3427636847?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=3ppq1Dcd1s0uSf5i3D4ypg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Developer,React Developer,Digital Alpha Platforms,"Orlando, FL",https://www.linkedin.com/jobs/view/react-developer-at-digital-alpha-platforms-3484764923?refId=re3K7Subi9KgZLBW7m2shQ%3D%3D&trackingId=TbQdwdMOkNzT49%2BwrPX41Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
