,query,title,company,location,link
0,Ios,iOS Engineer,Listella,"Orlando, FL",https://www.linkedin.com/jobs/view/ios-engineer-at-listella-3475442684?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=Q%2BWQ%2B7B3b%2FrhuGe9hyLEKA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Ios,iOS Developer - REMOTE,eDerm Systems,"Boca Raton, FL",https://www.linkedin.com/jobs/view/ios-developer-remote-at-ederm-systems-3469893140?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=KCPc12Vnqi5OLBRPXE5JhQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Ios,iOS Developer,Advanced Knowledge Tech LLC,"Orlando, FL",https://www.linkedin.com/jobs/view/ios-developer-at-advanced-knowledge-tech-llc-3483193759?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=x%2BzWR266u7UpoFKtEsUZ1A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Ios,IOS App Developer,Diverse Lynx,"Miami, FL",https://www.linkedin.com/jobs/view/ios-app-developer-at-diverse-lynx-3484132933?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=fBg%2FrH3n3lSPLvrTYFNW6Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Ios,iOS Developer,Amtec Inc.,"Orlando, FL",https://www.linkedin.com/jobs/view/ios-developer-at-amtec-inc-3459365738?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=faPLOu%2BQikPx1tSK%2BrLNig%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Ios,iOS Developer - ID#AS4,Mindera - Portugal,"Orlando, FL",https://www.linkedin.com/jobs/view/ios-developer-id%23as4-at-mindera-portugal-3468175458?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=Uqusy8zdae%2B2laYVGF34MA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Ios,iOS Developer,Diverse Lynx,"Tampa, FL",https://www.linkedin.com/jobs/view/ios-developer-at-diverse-lynx-3484117496?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=sYJ5%2BcN0304DSYhXT%2FLlLQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Ios,Sr. iOS Developer,Amtec Inc.,"Orlando, FL",https://www.linkedin.com/jobs/view/sr-ios-developer-at-amtec-inc-3475298308?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=HmLxAS8Km1FNXJXUPCoBFw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Ios,iOS Engineer,Jobox.ai,"Miami, FL",https://www.linkedin.com/jobs/view/ios-engineer-at-jobox-ai-3474212934?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=%2Fcnwv0pLEWsTEdz5%2Fm7rkQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Ios,iOS Developer,US Tech Solutions,"St Petersburg, FL",https://www.linkedin.com/jobs/view/ios-developer-at-us-tech-solutions-3482747186?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=fzNOycsmcT7lexIFZsRjsA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Ios,iOS Developer,"Tentek, Inc.","Kissimmee, FL",https://www.linkedin.com/jobs/view/ios-developer-at-tentek-inc-3460325499?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=PJEh%2FhPEtCJUovgxbv2jjQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Ios,iOS Developer,Computer Futures,"Orlando, FL",https://www.linkedin.com/jobs/view/ios-developer-at-computer-futures-3461099790?refId=UaxxG93u0l2ssexGEQnXKg%3D%3D&trackingId=pP1vmozgpnKgDHNVbLQNIA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
