,query,title,company,location,link
0,Java,Java Developer (Intermediate or Advanced),TECKpert,"Tallahassee, FL",https://www.linkedin.com/jobs/view/java-developer-intermediate-or-advanced-at-teckpert-3478551439?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=LHRekviAq3VjKleytsVmZQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Java,Backend Java Software Engineer - Remote,AdTheorent,"Jacksonville, FL",https://www.linkedin.com/jobs/view/backend-java-software-engineer-remote-at-adtheorent-3425036084?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=mGjDEQkrLBm5gNF7qn6p7g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Java,Java Developer Recent Graduates - Entry Level Positions,COGENT Infotech,"Boca Raton, FL",https://www.linkedin.com/jobs/view/java-developer-recent-graduates-entry-level-positions-at-cogent-infotech-3427636847?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=1vDWLrNEDN1IQJeeA6lbMA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Java,Entry Level Java Programer,SynergisticIT,"Orlando, FL",https://www.linkedin.com/jobs/view/entry-level-java-programer-at-synergisticit-3415230715?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=7xl%2Fqe0%2B9k8ZgIK6rNwtHQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Java,Java Developer,SecureNet,"Lake Mary, FL",https://www.linkedin.com/jobs/view/java-developer-at-securenet-3420604622?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=sdWzzmOCxB4tVIXXy3UcmA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Java,Junior Application Java Developer,Citi,"Tampa, FL",https://www.linkedin.com/jobs/view/junior-application-java-developer-at-citi-3457365333?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=GwKj9kKDDx0dE%2FIJSwEQMw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Java,Java Developer - 1849,Advanced Systems Design,"Tallahassee, FL",https://www.linkedin.com/jobs/view/java-developer-1849-at-advanced-systems-design-3477554023?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=rJxU5B4FNiJUjrPzCllfKg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Java,Java Developer,"ActiveSoft, Inc","Jacksonville, FL",https://www.linkedin.com/jobs/view/java-developer-at-activesoft-inc-3426047375?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=bkH4ynbCT0pfeFOrt8Z2VA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Java,Entry level java developer,SynergisticIT,"Orlando, FL",https://www.linkedin.com/jobs/view/entry-level-java-developer-at-synergisticit-3415231223?refId=Xxw4i795NOkhbuqVNHlHhQ%3D%3D&trackingId=AHJs%2BolLIqUan5DhYegs%2Bw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Java,Java Full Stack Developer - (Hybrid Model),Saransh Inc,"Tampa, FL",https://www.linkedin.com/jobs/view/java-full-stack-developer-hybrid-model-at-saransh-inc-3480803658?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=h2SwxMJbe8e3z3VWQorLbg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
10,Java,Java Developer,Diverse Lynx,"Coral Springs, FL",https://www.linkedin.com/jobs/view/java-developer-at-diverse-lynx-3485732911?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=PLV9BJ7TwKXjs%2FPEwzv%2FEQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
11,Java,Java Developer,Diverse Lynx,"Sunrise, FL",https://www.linkedin.com/jobs/view/java-developer-at-diverse-lynx-3485719818?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=O65y4ClR2fxaKyzL%2BHdJSg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
12,Java,Java Developer,Diverse Lynx,"Juno Beach, FL",https://www.linkedin.com/jobs/view/java-developer-at-diverse-lynx-3485757975?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=i5Um2WpS2zxtri12aObLbQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Java,Java developer,Diverse Lynx,"Juno Beach, FL",https://www.linkedin.com/jobs/view/java-developer-at-diverse-lynx-3485726969?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=raZK533txxwvvh6Rh8wfUQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Java,Java Developer,Diverse Lynx,"Juno Beach, FL",https://www.linkedin.com/jobs/view/java-developer-at-diverse-lynx-3485728485?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=UBlDBX0f58nxUAwFYcKExQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
15,Java,Java Developer,Diverse Lynx,"Sunrise, FL",https://www.linkedin.com/jobs/view/java-developer-at-diverse-lynx-3485732643?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=YgXwVmVSSAs6Lrz%2Bwodv%2FQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
16,Java,Entry level java developer,SynergisticIT,"Orlando, FL",https://www.linkedin.com/jobs/view/entry-level-java-developer-at-synergisticit-3415231223?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=8ar588c%2Bx79n1jas1oMAqQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
17,Java,Java Developer,Diverse Lynx,"St Petersburg, FL",https://www.linkedin.com/jobs/view/java-developer-at-diverse-lynx-3484155258?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=KjLTDeypANCb7aYsABoqxg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
18,Java,Java Software Engineer,Moody's Corporation,"Boca Raton, FL",https://www.linkedin.com/jobs/view/java-software-engineer-at-moody-s-corporation-3481944698?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=yUST%2FVm%2FJr1IS7gtjAVzvw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
19,Java,Java Application Development Analyst,TECKpert,"Tallahassee, FL",https://www.linkedin.com/jobs/view/java-application-development-analyst-at-teckpert-3408063673?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=p9lOXPWn9RymyTp1FSc7FQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
20,Java,"Java or Python Software Engineer - Up to $200,000 + Bonus + Package",Hunter Bond,"Tampa, FL",https://www.linkedin.com/jobs/view/java-or-python-software-engineer-up-to-%24200-000-%2B-bonus-%2B-package-at-hunter-bond-3479477499?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=ioL8Wlh9OGjpNPkB4rORng%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
21,Java,Java Software Developer,Pole Star Global,"St Petersburg, FL",https://www.linkedin.com/jobs/view/java-software-developer-at-pole-star-global-3443861612?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=nbP6IhFBZShbTaYttaXX7A%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
22,Java,Java Engineer,Diverse Lynx,"Palm City, FL",https://www.linkedin.com/jobs/view/java-engineer-at-diverse-lynx-3484131988?refId=OqZz2DpkqR%2FiO4CuhkkY6A%3D%3D&trackingId=%2FIWI5p28NyFfQsdomS3qwg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
