,query,title,company,location,link
0,ML,ML Data Engineer,Hertz,"Estero, FL",https://www.linkedin.com/jobs/view/ml-data-engineer-at-hertz-3479995856?refId=RU%2BVj9wmVQ1m7iV8He2crg%3D%3D&trackingId=G4v2Lob0wOASx6A%2BcYW6xA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
1,ML,AI & ML Performance Engineer,SynergisticIT,"Miami, FL",https://www.linkedin.com/jobs/view/ai-ml-performance-engineer-at-synergisticit-3415233013?refId=RU%2BVj9wmVQ1m7iV8He2crg%3D%3D&trackingId=8gZ5n5Rmgta21N8YaCXzKA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
2,ML,AI & ML Performance Engineer,SynergisticIT,"Jacksonville, FL",https://www.linkedin.com/jobs/view/ai-ml-performance-engineer-at-synergisticit-3415230367?refId=RU%2BVj9wmVQ1m7iV8He2crg%3D%3D&trackingId=1%2Fp6%2ByJSg952nuosv7bUMg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
3,ML,AI & ML Performance Engineer,SynergisticIT,"Miami, FL",https://www.linkedin.com/jobs/view/ai-ml-performance-engineer-at-synergisticit-3415233013?refId=5i6mH4s6R6pxLpw%2F9s%2Fygw%3D%3D&trackingId=%2BXPpv%2F2GeVrlPvQv3PpcrA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
4,ML,AI & ML Performance Engineer,SynergisticIT,"Jacksonville, FL",https://www.linkedin.com/jobs/view/ai-ml-performance-engineer-at-synergisticit-3415230367?refId=5i6mH4s6R6pxLpw%2F9s%2Fygw%3D%3D&trackingId=dhAFG6fQlqAo0foq6JyNjg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
5,ML,AIA COMMS ML Engineer SO# 00046749577,Diverse Lynx,"Tampa, FL",https://www.linkedin.com/jobs/view/aia-comms-ml-engineer-so%23-00046749577-at-diverse-lynx-3484113912?refId=5i6mH4s6R6pxLpw%2F9s%2Fygw%3D%3D&trackingId=uliUUw1Iu8GHxtZT1dzEcA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
6,ML,AIA COMMS ML Engineer SO# 46749571,Diverse Lynx,"Tampa, FL",https://www.linkedin.com/jobs/view/aia-comms-ml-engineer-so%23-46749571-at-diverse-lynx-3484113919?refId=5i6mH4s6R6pxLpw%2F9s%2Fygw%3D%3D&trackingId=4L2YRjprABG4R2P8zJaL9Q%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
7,ML,Sr ML Data Engineer,Hertz,"Estero, FL",https://www.linkedin.com/jobs/view/sr-ml-data-engineer-at-hertz-3479996774?refId=5i6mH4s6R6pxLpw%2F9s%2Fygw%3D%3D&trackingId=kgVG21lQ8F7HYSKFHlInLw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
8,ML,AI & ML Architect,CyberCoders,"Orlando, FL",https://www.linkedin.com/jobs/view/ai-ml-architect-at-cybercoders-3388334289?refId=qCrH9rSxrKfFMjCkIcJozQ%3D%3D&trackingId=dUW3Ia%2B9ZQhzsGtTcm5Njg%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
9,ML,Determined AI - ML Developer Advocate / Conseiller en développement ML - Determined AI,Hewlett Packard Enterprise,North Port-Sarasota Area,https://www.linkedin.com/jobs/view/determined-ai-ml-developer-advocate-conseiller-en-d%C3%A9veloppement-ml-determined-ai-at-hewlett-packard-enterprise-3404050370?refId=jm3HW0KlDetmxdIFDf8Pjg%3D%3D&trackingId=IlDJ2FBShRVt3OJEYVT8iw%3D%3D&position=13&pageNum=8&trk=public_jobs_jserp-result_search-card
10,ML,Senior ML Lifecycle Lead - RTX Data Platform (Remote),Raytheon Technologies,"Florida, United States",https://www.linkedin.com/jobs/view/senior-ml-lifecycle-lead-rtx-data-platform-remote-at-raytheon-technologies-3475991211?refId=P%2FpiaFeMOYGW%2BIIfGg3Sqg%3D%3D&trackingId=%2Bw65m8Zoi0j96N4knPf%2Bgw%3D%3D&position=13&pageNum=10&trk=public_jobs_jserp-result_search-card
11,ML,ML Engineer Co-Op with Security Clearance,ClearanceJobs,"Orlando, FL",https://www.linkedin.com/jobs/view/ml-engineer-co-op-with-security-clearance-at-clearancejobs-3471387656?refId=NzkdkErqhtkmWIc8dm%2B8kw%3D%3D&trackingId=vhIEPKnQzbUPxxPdFkxujw%3D%3D&position=5&pageNum=13&trk=public_jobs_jserp-result_search-card
12,ML,ML Engineer Co-OP with Security Clearance,ClearanceJobs,"Orlando, FL",https://www.linkedin.com/jobs/view/ml-engineer-co-op-with-security-clearance-at-clearancejobs-3474391343?refId=NzkdkErqhtkmWIc8dm%2B8kw%3D%3D&trackingId=RzvowMEgMSo%2BaxOtMjOMDQ%3D%3D&position=6&pageNum=13&trk=public_jobs_jserp-result_search-card
