,query,title,company,location,link
0,Python,Jr. Python Developer,Progrexion,"Fort Lauderdale, FL",https://www.linkedin.com/jobs/view/jr-python-developer-at-progrexion-3482498564?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=PJ6FTsnyqyGPkrmbKxZDrg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Python,Entry Level Python Developer,SynergisticIT,"Orlando, FL",https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3475204734?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=b03sfY2xmnDJPplxGz%2FE6Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Python,Python Developer,Emonics LLC,"Tampa, FL",https://www.linkedin.com/jobs/view/python-developer-at-emonics-llc-3420774184?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=hCEkEQK%2Bfjnym2Omfx2pGA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Python,Python Developer,Two Fish Creative,"West Palm Beach, FL",https://www.linkedin.com/jobs/view/python-developer-at-two-fish-creative-3446736930?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=D%2BV9EMm%2BC6CRcOfd8%2FI%2F2g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Python,"Python Developer - ""Technology Company of the Year"" 2022",CodiFi,"Miami, FL",https://www.linkedin.com/jobs/view/python-developer-technology-company-of-the-year-2022-at-codifi-3482618358?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=qN2ZFPProDDIPs31ldUZXQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Python,Python Developer,Induci Inc,"Miami, FL",https://www.linkedin.com/jobs/view/python-developer-at-induci-inc-3021641557?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=gJElb1QqmkpXaFg3t990KA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Python,"Python Developer - ""Technology Company of the Year"" 2022",CodiFi,"Miami, FL",https://www.linkedin.com/jobs/view/python-developer-technology-company-of-the-year-2022-at-codifi-3480445393?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=xSfL8HT23yRYFjeLOk54Tw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Python,Python Developer,Diverse Lynx,"Juno Beach, FL",https://www.linkedin.com/jobs/view/python-developer-at-diverse-lynx-3484114741?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=UOmwdDbE3Y12eGBiucU%2F2g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Python,Python Developer,Diverse Lynx,"Jacksonville, FL",https://www.linkedin.com/jobs/view/python-developer-at-diverse-lynx-3484144019?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=FCYl4p4sNTrc9cjLRORI5Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Python,Python Developer,TechTammina LLC,"Tampa, FL",https://www.linkedin.com/jobs/view/python-developer-at-techtammina-llc-3260160100?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=4Ee8SDs8kilklr9ihjVccQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Python,Python Backend Developer,Storylines at Sea,"Miami, FL",https://www.linkedin.com/jobs/view/python-backend-developer-at-storylines-at-sea-3441866101?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=5r4hdN7BAMfRHyWeEesXWg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Python,Python Developer,Cybernetic Search,"Tampa, FL",https://www.linkedin.com/jobs/view/python-developer-at-cybernetic-search-3484756286?refId=rB12yMQRd%2Buz5PSHT0SpmA%3D%3D&trackingId=%2F9JJ00OISbZIuEXJrVZVAA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Python,Python Developer,"Artemis Consulting, Inc.","Orlando, FL",https://www.linkedin.com/jobs/view/python-developer-at-artemis-consulting-inc-3483714450?refId=VmvlOskD8M%2F2QIes4%2F4CEQ%3D%3D&trackingId=oic1V7cW4J5L27tE3gzNhw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Python,Python Developer,Diverse Lynx,"Jacksonville, FL",https://www.linkedin.com/jobs/view/python-developer-at-diverse-lynx-3484144019?refId=VmvlOskD8M%2F2QIes4%2F4CEQ%3D%3D&trackingId=2GQ72YV9y2YlCwbu9wBxPw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Python,Python Machine Learning Developer,Storylines at Sea,"Miami, FL",https://www.linkedin.com/jobs/view/python-machine-learning-developer-at-storylines-at-sea-3441865244?refId=VmvlOskD8M%2F2QIes4%2F4CEQ%3D%3D&trackingId=VLtzOYCjXekfW5Jx5%2BULdA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
15,Python,Python Developer,Diverse Lynx,"Juno Beach, FL",https://www.linkedin.com/jobs/view/python-developer-at-diverse-lynx-3484114741?refId=VmvlOskD8M%2F2QIes4%2F4CEQ%3D%3D&trackingId=y%2Be0tlFXRVzCp9HaQ%2B6G4g%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
16,Python,"Software Engineer - Python, Power BI",@Orchard LLC,"Tampa, FL",https://www.linkedin.com/jobs/view/software-engineer-python-power-bi-at-%40orchard-llc-3461088370?refId=VmvlOskD8M%2F2QIes4%2F4CEQ%3D%3D&trackingId=sw9cKeZPPa1ccZmO4eqEkA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
17,Python,"REMOTE Data Scientist (Python, Modeling, Presenting)",CyberCoders,"Tampa, FL",https://www.linkedin.com/jobs/view/remote-data-scientist-python-modeling-presenting-at-cybercoders-3479269055?refId=VmvlOskD8M%2F2QIes4%2F4CEQ%3D%3D&trackingId=cctqsGvQEKRNRWDzfN7EZA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
18,Python,Python Developer,SynergisticIT,"Miami, FL",https://www.linkedin.com/jobs/view/python-developer-at-synergisticit-3415227857?refId=1YnyAvtmtYU%2FvZQzSqnT5g%3D%3D&trackingId=Lw3WM9RRy8G1jGtm7bxVDA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
19,Python,"REMOTE Data Scientist (Python, Modeling, Presenting)",CyberCoders,"Orlando, FL",https://www.linkedin.com/jobs/view/remote-data-scientist-python-modeling-presenting-at-cybercoders-3449895311?refId=1YnyAvtmtYU%2FvZQzSqnT5g%3D%3D&trackingId=tPWfnL2hr9ReaZnKtteSqA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
20,Python,Python Machine learning,FinTech LLC,"Tampa, FL",https://www.linkedin.com/jobs/view/python-machine-learning-at-fintech-llc-3274882175?refId=1YnyAvtmtYU%2FvZQzSqnT5g%3D%3D&trackingId=cT5dpE3YDMrKYyPvW8prMQ%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
21,Python,Python Developer,Segrera Associates,"Miami, FL",https://www.linkedin.com/jobs/view/python-developer-at-segrera-associates-3478781376?refId=1YnyAvtmtYU%2FvZQzSqnT5g%3D%3D&trackingId=%2BSgXOR4pP%2Btvfqp3fQfgzQ%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
