,query,title,company,location,link
0,React,React Developer,ClearlyAgile,"Tampa, FL",https://www.linkedin.com/jobs/view/react-developer-at-clearlyagile-3371204387?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=Vnliel1fd14Hjy%2B5%2BQrouA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,React,React Developer,Digital Alpha Platforms,"Orlando, FL",https://www.linkedin.com/jobs/view/react-developer-at-digital-alpha-platforms-3484764923?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=phFm0UhkiiDs7RAuwPrZ%2Fw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,React,React Developer,Diverse Lynx,"North Palm Beach, FL",https://www.linkedin.com/jobs/view/react-developer-at-diverse-lynx-3444391505?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=PAcW7rkFsrQFeP6tKBAzwg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
3,React,React Developer,Digital Waffle,"Florida, United States",https://www.linkedin.com/jobs/view/react-developer-at-digital-waffle-3469093320?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=Wo7g9Hkq%2BH7sqv7WW%2B1bnA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
4,React,React Developer,Digital Waffle,"Florida, United States",https://www.linkedin.com/jobs/view/react-developer-at-digital-waffle-3469873160?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=PHgxIRN1v5526xUzG5bfeA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
5,React,React Developer,CSI Companies,"Jacksonville, FL",https://www.linkedin.com/jobs/view/react-developer-at-csi-companies-3483540105?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=TbdMncqAzArJYqfbpS1%2F%2Fg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
6,React,React JS Developer,Synechron,"Tampa, FL",https://www.linkedin.com/jobs/view/react-js-developer-at-synechron-3482769368?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=GRWeL%2FteDxZgvQnO4qmEKw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
7,React,Front-End React Developer,CURA,"Tampa, FL",https://www.linkedin.com/jobs/view/front-end-react-developer-at-cura-1138213858?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=p%2FJHn41u%2FE3iK1l%2FVQU6UQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
8,React,React Js Developer,Diverse Lynx,"Sunrise, FL",https://www.linkedin.com/jobs/view/react-js-developer-at-diverse-lynx-3485726904?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=t0OKYZJuAkPIh7PWolKOQw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
9,React,REACT FRONTEND DEVELOPER,TechDigital,"Coral Springs, FL",https://www.linkedin.com/jobs/view/react-frontend-developer-at-techdigital-3468597587?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=qGgSZg%2Bhz%2BUQKSHFF8gjMA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
10,React,React Developer,SGS Technologie,"Jacksonville, FL",https://www.linkedin.com/jobs/view/react-developer-at-sgs-technologie-3483571841?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=15S8%2Fq%2BgtpMIKG2DIgoC1g%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
11,React,React JS Developer,Diverse Lynx,"Sunrise, FL",https://www.linkedin.com/jobs/view/react-js-developer-at-diverse-lynx-3485729310?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=ycuiNMTpWDtDV3Jnzms22Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
12,React,React Developer,Diverse Lynx,"Sarasota, FL",https://www.linkedin.com/jobs/view/react-developer-at-diverse-lynx-3485736730?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=VZQssBBEKejKxWPjk2sbIQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
13,React,React Web Developer,"Artemis Consulting, Inc.","Orlando, FL",https://www.linkedin.com/jobs/view/react-web-developer-at-artemis-consulting-inc-3483795010?refId=65suWPbQamNVj7fQoHG13g%3D%3D&trackingId=DZ1lMV9acymK%2ByzSSmp%2Fyw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
14,React,React JS Developer,Diverse Lynx,"Boca Raton, FL",https://www.linkedin.com/jobs/view/react-js-developer-at-diverse-lynx-3484141648?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=XJP%2FG4gps94EbXsRUJ60Zg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
15,React,React Developer,3B Staffing LLC,"Tampa, FL",https://www.linkedin.com/jobs/view/react-developer-at-3b-staffing-llc-3480271678?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=IBCM0PFJpKzLIa%2FtsXu2hQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
16,React,React Developer,iCST,"Lake Mary, FL",https://www.linkedin.com/jobs/view/react-developer-at-icst-3415249355?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=%2F6E72WO7jL0B1RR5dLVNDg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
17,React,React Developer,Synechron,"Tampa, FL",https://www.linkedin.com/jobs/view/react-developer-at-synechron-3477056498?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=60xrwaCeC6nvbQAmgRLHBQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
18,React,React JS Developer,"Continental Technology Solutions,Inc","Tampa, FL",https://www.linkedin.com/jobs/view/react-js-developer-at-continental-technology-solutions-inc-3415214522?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=8Gx0rKOC7qM1Y69FucCbVw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
19,React,Senior React JS/NodeJS Developer,Stellar IT Solutions,"Jacksonville, FL",https://www.linkedin.com/jobs/view/senior-react-js-nodejs-developer-at-stellar-it-solutions-3483993967?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=gnmAFl4dEWvqYe3DsxPWsQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
20,React,React Developer,Robert Half,"Tampa, FL",https://www.linkedin.com/jobs/view/react-developer-at-robert-half-3247386049?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=j8t6CzhbNEzS4%2FRGd%2B9K8g%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
21,React,React Javascript Developer,Solutions Development Center LLC,"Tampa, FL",https://www.linkedin.com/jobs/view/react-javascript-developer-at-solutions-development-center-llc-3481839240?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=0iI%2BmLQ9w5%2FnYBu3X%2FS0XA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
22,React,"React JS Developer-Tampa, FL",Diverse Lynx,"Tampa, FL",https://www.linkedin.com/jobs/view/react-js-developer-tampa-fl-at-diverse-lynx-3485748917?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=JbtiHfPcyry0fwP%2BVzEnag%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
23,React,Senior React JS/NodeJS Developer,Stellar IT Solutions,"Jacksonville, FL",https://www.linkedin.com/jobs/view/senior-react-js-nodejs-developer-at-stellar-it-solutions-3451773405?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=ttGelUZACL%2BWVxlkTtjl9g%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
24,React,React JS Developer,Diverse Lynx,"Jacksonville, FL",https://www.linkedin.com/jobs/view/react-js-developer-at-diverse-lynx-3415251505?refId=aA0ZfGOOuE1lLc%2F8hF55Hw%3D%3D&trackingId=Mm4N%2B%2FVZrQPF0ZFen%2BoG7g%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
