,query,title,company,location,link
0,Software Developer,C# Software Developer Engineer,"Novel Engineering, Inc.","Melbourne, FL",https://www.linkedin.com/jobs/view/c%23-software-developer-engineer-at-novel-engineering-inc-3473799493?refId=3nyKihnQk1dBWBprEQlbLA%3D%3D&trackingId=nb2GwM7GkmA8UwGyoRXkbQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Software Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Tampa, FL",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473266949?refId=3nyKihnQk1dBWBprEQlbLA%3D%3D&trackingId=kpOD3xKCIDJg1ele6hmiZw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Software Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Orlando, FL",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473273038?refId=3nyKihnQk1dBWBprEQlbLA%3D%3D&trackingId=nLARnFNnI1RY15CgZtbqFQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Software Developer,Software Developer -- Entry Level,CGI,"Tampa, FL",https://www.linkedin.com/jobs/view/software-developer-entry-level-at-cgi-3488320010?refId=3nyKihnQk1dBWBprEQlbLA%3D%3D&trackingId=%2FJ1GuxHBcCsgnacbnjDJGw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Software Developer,Software Developer - Entry Level,CGI,"Orange Park, FL",https://www.linkedin.com/jobs/view/software-developer-entry-level-at-cgi-3319862139?refId=3nyKihnQk1dBWBprEQlbLA%3D%3D&trackingId=Ze69O3k3tGHfyWa0sH92wA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Software Developer,Software Developer,Lockheed Martin,"Cape Canaveral, FL",https://www.linkedin.com/jobs/view/software-developer-at-lockheed-martin-3462406843?refId=3nyKihnQk1dBWBprEQlbLA%3D%3D&trackingId=6m7JHLS9Rt2vUR2evD9%2BJA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Software Developer,Software Developer,OneSpaWorld,"Miami, FL",https://www.linkedin.com/jobs/view/software-developer-at-onespaworld-3475331500?refId=cWf3qs7XyKs%2BtzAYaVGwbw%3D%3D&trackingId=yYY%2Fe5tM6ehFJ0MAuoYb2w%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
7,Software Developer,Software Developer -- Entry Level,CGI,"Tampa, FL",https://www.linkedin.com/jobs/view/software-developer-entry-level-at-cgi-3488320010?refId=cWf3qs7XyKs%2BtzAYaVGwbw%3D%3D&trackingId=WynNoubRKA2NQn5yvL6DJw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
8,Software Developer,Software Developer,Alpine Investors,"Fort Lauderdale, FL",https://www.linkedin.com/jobs/view/software-developer-at-alpine-investors-3459467064?refId=cWf3qs7XyKs%2BtzAYaVGwbw%3D%3D&trackingId=24yTEPz5ladEh%2FSzgY2HTA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
9,Software Developer,Software Developer ( remote ),AssistRx,"Orlando, FL",https://www.linkedin.com/jobs/view/software-developer-remote-at-assistrx-3416694373?refId=cWf3qs7XyKs%2BtzAYaVGwbw%3D%3D&trackingId=hiSTlTkCDcA68oqzbUe%2Bug%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
10,Software Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Miami, FL",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473266967?refId=cWf3qs7XyKs%2BtzAYaVGwbw%3D%3D&trackingId=OTSUAd%2F9IHIZUoYRqURIsQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
11,Software Developer,Software Developer ( remote ) ( remote ),AssistRx,"Orlando, FL",https://www.linkedin.com/jobs/view/software-developer-remote-remote-at-assistrx-3417818034?refId=cWf3qs7XyKs%2BtzAYaVGwbw%3D%3D&trackingId=Ruh13TnoKYMc0bFLKwDc2g%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
12,Software Developer,Software Developer,Robert Half,"Oldsmar, FL",https://www.linkedin.com/jobs/view/software-developer-at-robert-half-3476229390?refId=cWf3qs7XyKs%2BtzAYaVGwbw%3D%3D&trackingId=vc3bLGdABkp6mTQ8Omb5Bw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
