,query,title,company,location,link
0,Web,Front-End Web Developer,Miami HEAT,"Miami, FL",https://www.linkedin.com/jobs/view/front-end-web-developer-at-miami-heat-3182669791?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=2clL%2F25RkXAxXx%2B%2Fq07AYA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Web,Web JS Frontend,Storylines at Sea,"Miami, FL",https://www.linkedin.com/jobs/view/web-js-frontend-at-storylines-at-sea-3441862590?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=9yPnhEn3ajt4D1GO0Mr6Ew%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Web,Junior Web Engineer - Technology,"Arena Investors, LP","Jacksonville, FL",https://www.linkedin.com/jobs/view/junior-web-engineer-technology-at-arena-investors-lp-3423917151?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=qYDo0YJN18XGbShQdsWuCg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Web,Web Developer Intern,"People, Technology & Processes, LLC","Tampa, FL",https://www.linkedin.com/jobs/view/web-developer-intern-at-people-technology-processes-llc-3461373197?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=PlxTtOXJ%2ByNouDmWKA%2BofA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Web,Web Developer I,University of Florida,"Gainesville, FL",https://www.linkedin.com/jobs/view/web-developer-i-at-university-of-florida-3483896680?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=%2F8AaQssaG7J%2FJ5AZGmlb9Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Web,Web Designer,TECKpert,"Miami, FL",https://www.linkedin.com/jobs/view/web-designer-at-teckpert-3408067401?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=wCb86epTXrjT5gmXG%2FQp8w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Web,Web Developer,TALENT Software Services,"Coral Springs, FL",https://www.linkedin.com/jobs/view/web-developer-at-talent-software-services-3448410365?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=HcXZxwc1BmxjUvqh9IfpvQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Web,Graphic Designer / Web Design & Marketing,Zgraph,"Daytona Beach, FL",https://www.linkedin.com/jobs/view/graphic-designer-web-design-marketing-at-zgraph-3484966072?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=2UrLjwWs6Us%2F%2B5zQBAtnfQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Web,100% REMOTE Web Developer - MEDIA,CyberCoders,"Miami, FL",https://www.linkedin.com/jobs/view/100%25-remote-web-developer-media-at-cybercoders-3431352499?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=%2Ft6vJS3%2BFTjNh2yoPnbQQQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Web,Web Designer - Mid Level,TECKpert,"Tallahassee, FL",https://www.linkedin.com/jobs/view/web-designer-mid-level-at-teckpert-3408064536?refId=lguNv%2FT15hxnSFu6iRtOuQ%3D%3D&trackingId=iW1lBbb2dkp0jQPMcUkQng%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
