,query,title,company,location,link
0,Android,Android Developer,RethinkFirst,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-at-rethinkfirst-3478619129?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=lJVGM8t1N%2FHQYh89o22JTA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Android,"Android Developer (Remote, Freelance)",Hire Digital,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-remote-freelance-at-hire-digital-3408019832?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=XWMRv5UGFh2aw3SfWmEOCg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Android,Android for a Chef-to-Customer Subscription Platform,BEON.tech,"Brooklyn, NY",https://www.linkedin.com/jobs/view/android-for-a-chef-to-customer-subscription-platform-at-beon-tech-3479916984?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=0%2FzD4zTcOqSL0whad8g%2BJA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Android,Android Engineer,MealPal,"New York, NY",https://www.linkedin.com/jobs/view/android-engineer-at-mealpal-3420489581?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=dGrE2R4L%2F0p4ihtc28X8TA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Android,Android Engineer (remote),Paramount+,"New York, NY",https://www.linkedin.com/jobs/view/android-engineer-remote-at-paramount%2B-3403257814?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=Hs4qcHsspzGxLf5LXouKAw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Android,Kotlin / Android Engineer,WalletConnect,"New York, United States",https://www.linkedin.com/jobs/view/kotlin-android-engineer-at-walletconnect-3486755412?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=2IdBehIPdCnNkBSgiH6o%2Bg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Android,Android Engineer,Paramount+,"New York, NY",https://www.linkedin.com/jobs/view/android-engineer-at-paramount%2B-3477586444?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=iusFUAWjIuB2i6yVq%2FokTA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Android,Android Engineer,Peloton Interactive,"New York, NY",https://www.linkedin.com/jobs/view/android-engineer-at-peloton-interactive-3486680280?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=qn2nb9ER0C2EZj%2BLbBZA7w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Android,Android Engineer,Waave,"New York, NY",https://www.linkedin.com/jobs/view/android-engineer-at-waave-3415586700?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=3D2CvgjOxBmf2k8LffsNZg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Android,Android Developer,Blue Ocean Ventures,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-at-blue-ocean-ventures-3481666247?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=%2Fjo0Lj73Ld40a%2B4FGFfSJQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Android,Senior Android Developer,LEARFIELD,"Syracuse, NY",https://www.linkedin.com/jobs/view/senior-android-developer-at-learfield-3469223066?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=SN2Tq6V256e6vrEo4v%2B7YA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Android,ANDROID DEVELOPER,Believe Resourcing Group,"New York, United States",https://www.linkedin.com/jobs/view/android-developer-at-believe-resourcing-group-3475044234?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=j4GC6FbU%2Bb0AlUx2LmMAPg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Android,Android Developer,Arthur Grand Technologies,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-at-arthur-grand-technologies-3480661426?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=Z49FJ6Jut7EphaN0oEJomw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Android,Android Developer,ClockShark,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-at-clockshark-2825604935?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=S1jtC7xy2gtJml4HjINMnw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Android,Android Developer,Blue Ocean Ventures,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-at-blue-ocean-ventures-3379842819?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=cbCc%2F8DuzhUUuquOV90eCA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Android,Android Developer,Arthur Grand Technologies,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-at-arthur-grand-technologies-3482557505?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=WgSEysbU3YlAiwwXGuS50A%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Android,"Software Engineer III, Android",The New York Public Library,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-iii-android-at-the-new-york-public-library-3469806906?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=UA1vw4HERj69NhnY6yBdkg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Android,Software Engineer - Android,Beam Impact,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-android-at-beam-impact-3411053500?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=2vgMG9AVES6meJTLDfeD7Q%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Android,Android Developer,Motion Recruitment,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-at-motion-recruitment-3306274621?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=4Ayu3S9o0Gmzmj0CzZa1jA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
19,Android,Senior Android Developer,InRhythm,"New York, NY",https://www.linkedin.com/jobs/view/senior-android-developer-at-inrhythm-3467830653?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=y%2BRMsO9lPm7jydbMHxScYw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Android,Senior Android Engineer,TurnTable,"New York, NY",https://www.linkedin.com/jobs/view/senior-android-engineer-at-turntable-3415589482?refId=Aue6PZ2mBB832NCAvY1KUw%3D%3D&trackingId=%2BIdYTdca%2BVeHuI2rez4XCQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
