,query,title,company,location,link
0,Cloud Architect,Cloud Architect,Xec-T Consultancy,"New York, United States",https://www.linkedin.com/jobs/view/cloud-architect-at-xec-t-consultancy-3452701573?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=KACJqbpdMcUtl2abDPzjiw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Cloud Architect,Cloud Architect,hackajob,"New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-at-hackajob-3447229569?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=muPw78SLdT5m5xX0egdP1Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Cloud Architect,Cloud Architect,LTK (formerly rewardStyle & LIKEtoKNOW.it),"New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-at-ltk-formerly-rewardstyle-liketoknow-it-3393077728?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=YGyigzaPSVeLd5btmwjz4Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Cloud Architect,Cloud Architect,hackajob,"New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-at-hackajob-3481328882?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=IRnD7%2BSJv2aBETadCw2qpQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Cloud Architect,Cloud Architect,"Sonos, Inc.","New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-at-sonos-inc-3309063719?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=JhDK90PiL28kODRmO6oihQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Cloud Architect,Azure Cloud Architect,Nagarro,"New York, NY",https://www.linkedin.com/jobs/view/azure-cloud-architect-at-nagarro-3475340130?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=Z6ISSKdI7A4BPxyWGDe1Gw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Cloud Architect,AWS Cloud Architect,Insight Global,"New York, NY",https://www.linkedin.com/jobs/view/aws-cloud-architect-at-insight-global-3467851059?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=IKUf5RM4l2fxeDMiLGrpkQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Cloud Architect,Google Cloud Platform Architect,Experfy,"New York, United States",https://www.linkedin.com/jobs/view/google-cloud-platform-architect-at-experfy-3408125455?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=FhyGlivIMASboitzkoSgog%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Cloud Architect,Cloud Architect -AWS,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-aws-at-diverse-lynx-3485736453?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=coZsbPH8u1jEjMcVBy5a5w%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Cloud Architect,Cloud Architect AWS,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-aws-at-diverse-lynx-3485735898?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=lWo7hAOKnnBzjuz6duwpmA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Cloud Architect,Cloud Solutions Architect,hackajob,"New York, NY",https://www.linkedin.com/jobs/view/cloud-solutions-architect-at-hackajob-3456938357?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=Ipe5I2%2BnkjeprdVH%2BGqPXA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Cloud Architect,Azure Cloud Architect,QED National,"Queens, NY",https://www.linkedin.com/jobs/view/azure-cloud-architect-at-qed-national-3486191121?refId=hCbuD0ALAf1J%2BsHZuBHixg%3D%3D&trackingId=4IcD5fodO6zm1YNLt8n6tA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Cloud Architect,Senior Cloud Architect | AWS Advanced Partner | Start-Up | New York,Selltik Consulting,"New York, NY",https://www.linkedin.com/jobs/view/senior-cloud-architect-aws-advanced-partner-start-up-new-york-at-selltik-consulting-3479297923?refId=TyUXIe6lVuzBVVCt5zygBQ%3D%3D&trackingId=%2FJWpbcLUcvcfbQqFFPWvsg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Cloud Architect,Willis Towers Watson - Cloud Architect - Direct Hire [Remote],Braintrust,"New York, NY",https://www.linkedin.com/jobs/view/willis-towers-watson-cloud-architect-direct-hire-remote-at-braintrust-3486703633?refId=TyUXIe6lVuzBVVCt5zygBQ%3D%3D&trackingId=%2BjFGE%2F%2FOSlwK1I5iL6GKrw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Cloud Architect,Cloud Architect - Blockchain Layer 1 Decentralized Interoperability,CryptoRecruit,"New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-blockchain-layer-1-decentralized-interoperability-at-cryptorecruit-3478840355?refId=TyUXIe6lVuzBVVCt5zygBQ%3D%3D&trackingId=Z3HQMTvrPScsuFNHmdJnUw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
15,Cloud Architect,Cloud Platform Solution Architect,forhyre.com,"New York, NY",https://www.linkedin.com/jobs/view/cloud-platform-solution-architect-at-forhyre-com-3415522882?refId=TyUXIe6lVuzBVVCt5zygBQ%3D%3D&trackingId=q3amYKkk3nBD5wJkhhWgiA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
16,Cloud Architect,Cloud Architect,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/cloud-architect-at-diverse-lynx-3484134940?refId=TyUXIe6lVuzBVVCt5zygBQ%3D%3D&trackingId=YRxVNrei6ZUAPqk3fWlO5w%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
17,Cloud Architect,Cloud Architect,Medidata Solutions,"New York, United States",https://www.linkedin.com/jobs/view/cloud-architect-at-medidata-solutions-3433168018?refId=dmer5z9iWw%2Bjx1Kzpr8pfQ%3D%3D&trackingId=Mgyb%2FXLHaiB1uAnrhSabFQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
18,Cloud Architect,Cloud Architect,New York eHealth Collaborative,"Manhattan, NY",https://www.linkedin.com/jobs/view/cloud-architect-at-new-york-ehealth-collaborative-3452192653?refId=dmer5z9iWw%2Bjx1Kzpr8pfQ%3D%3D&trackingId=EOfKyMJcGB9Pit0Rj5b40w%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
19,Cloud Architect,Cloud Data Architect,albanero,"New York, NY",https://www.linkedin.com/jobs/view/cloud-data-architect-at-albanero-3485793224?refId=dmer5z9iWw%2Bjx1Kzpr8pfQ%3D%3D&trackingId=dtKWtnrkRMtYRAObXjcsGA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
