,query,title,company,location,link
0,Cloud Engineer,Cloud Engineer (Infrastructure),Experfy,"New York, United States",https://www.linkedin.com/jobs/view/cloud-engineer-infrastructure-at-experfy-3414732096?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=pJJM48pYUVp6JCZ4vbz4Sw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Cloud Engineer,Cloud Engineer,"Relevante, Inc.","New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-at-relevante-inc-3473960053?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=4GMBieVR39Hi%2BbQLXRbbDg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Cloud Engineer,Cloud Engineer,Coda Search│Staffing,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-at-coda-search%E2%94%82staffing-3430501626?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=5KptXkLUyx6KT7vEKUON1A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Cloud Engineer,Cloud Engineer,OperationIT,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-at-operationit-3466126813?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=JgP6AUGmifKtgJ0QyFVDig%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Cloud Engineer,AWS Cloud Engineer,Stellent IT,"New York, NY",https://www.linkedin.com/jobs/view/aws-cloud-engineer-at-stellent-it-3480049659?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=KBQvRhYfuCylpMo1p7kPFA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Cloud Engineer,Cloud Engineer,Algo Capital Group,"New York, United States",https://www.linkedin.com/jobs/view/cloud-engineer-at-algo-capital-group-3484753816?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=dUOtPQFdmHVAXVPxHhqpYA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Cloud Engineer,Cloud Engineer (Azure),Fractal,"New York, United States",https://www.linkedin.com/jobs/view/cloud-engineer-azure-at-fractal-3450687548?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=had%2BEUgdkr7Yv2ULCPaYuQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Cloud Engineer,Cloud Engineer,JRM Construction Management,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-at-jrm-construction-management-3434365730?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=MBnGpIZmMh7VZd%2F3xGGUFw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Cloud Engineer,Cloud Engineer,X4 Alpha,"New York, United States",https://www.linkedin.com/jobs/view/cloud-engineer-at-x4-alpha-3480495431?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=zfh6OatBcSiyIptqxGbRkA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Cloud Engineer,Google Cloud Platform Engineer,Experfy,"New York, United States",https://www.linkedin.com/jobs/view/google-cloud-platform-engineer-at-experfy-3420602984?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=LahBkVdeoAozNnJnPQI4FA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Cloud Engineer,Cloud Engineer (Fullstack/Network),Experfy,"New York, United States",https://www.linkedin.com/jobs/view/cloud-engineer-fullstack-network-at-experfy-3416881077?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=fTaYcLLjIN6BPSTeVlCIfQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Cloud Engineer,Cloud Engineer,Phaxis,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-at-phaxis-3474107663?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=U8e0jQsNoqFmLDUbOPDGEQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Cloud Engineer,AWS Cloud Engineer $ 200K +B,Henderson Harbor Group,"New York, NY",https://www.linkedin.com/jobs/view/aws-cloud-engineer-%24-200k-%2Bb-at-henderson-harbor-group-3481924336?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=LJFmBM%2Fe2X2ljJpFzVjD5g%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Cloud Engineer,AWS Cloud Engineer,Eliassen Group,"New York, NY",https://www.linkedin.com/jobs/view/aws-cloud-engineer-at-eliassen-group-3449502987?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=g3CanSreOScy46uSvOO%2FCQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Cloud Engineer,Cloud Engineer,Capital Markets Recruitment,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-at-capital-markets-recruitment-3481556795?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=tFna7FA7Tkbgv3VwBljN1Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Cloud Engineer,Cloud Engineer (AWS) - Contract,Henderson Scott,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-aws-contract-at-henderson-scott-3481586165?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=JzLsrQHX04HD0cbDcqi3HQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Cloud Engineer,Sr Cloud Engineer,I-Giants,"New York, NY",https://www.linkedin.com/jobs/view/sr-cloud-engineer-at-i-giants-3440804270?refId=w2AvwWJ%2F5qjGNvxAt8e%2FFw%3D%3D&trackingId=WL7R9zPBX9h8m%2Ffe3yB0DQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Cloud Engineer,AWS Cloud Engineer,Stellent IT,"New York, NY",https://www.linkedin.com/jobs/view/aws-cloud-engineer-at-stellent-it-3480049659?refId=kYDA%2FgFFDqxipDgf7mlxuQ%3D%3D&trackingId=CK7TayGFtVPMi2SmlSOYVw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
18,Cloud Engineer,Azure Cloud Engineer -- Contract -- MOSTLY REMOTE,Quintessence Computer Corp.,"New York, NY",https://www.linkedin.com/jobs/view/azure-cloud-engineer-contract-mostly-remote-at-quintessence-computer-corp-3469809524?refId=kYDA%2FgFFDqxipDgf7mlxuQ%3D%3D&trackingId=ktTBAKTMo0fOJB5HXgZNhg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
19,Cloud Engineer,Cloud Engineer,C2R Ventures,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-at-c2r-ventures-3485198298?refId=kYDA%2FgFFDqxipDgf7mlxuQ%3D%3D&trackingId=EsXRrlLwm5ZGpWyKJs44Nw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
20,Cloud Engineer,AWS Cloud Engineer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/aws-cloud-engineer-at-diverse-lynx-3485721137?refId=kYDA%2FgFFDqxipDgf7mlxuQ%3D%3D&trackingId=arpj6XlA6lDerfVVW%2FvYsg%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
21,Cloud Engineer,Senior Cloud Engineer (Azure),Fractal,"New York, United States",https://www.linkedin.com/jobs/view/senior-cloud-engineer-azure-at-fractal-3450685621?refId=kYDA%2FgFFDqxipDgf7mlxuQ%3D%3D&trackingId=dGkyHxWdx8i5LUDBTzZENA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
22,Cloud Engineer,Cloud Platform Engineer,InterEx Group,"New York, NY",https://www.linkedin.com/jobs/view/cloud-platform-engineer-at-interex-group-3448252957?refId=kYDA%2FgFFDqxipDgf7mlxuQ%3D%3D&trackingId=B%2BUxBxWeFZymR57KVBK7%2BA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
23,Cloud Engineer,Cloud Engineer - DevOps,Apollo Solutions,"New York, NY",https://www.linkedin.com/jobs/view/cloud-engineer-devops-at-apollo-solutions-3485992969?refId=kYDA%2FgFFDqxipDgf7mlxuQ%3D%3D&trackingId=8xz8Hn3NwtmywToiSuDTJQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
