,query,title,company,location,link
0,Data Analyst,Data Analyst,Simpson Thacher & Bartlett LLP,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-simpson-thacher-bartlett-llp-3431795774?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=g2HNiWiPgvwkxEC4st6TOQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Analyst,Data Analyst,The Custom Group of Companies,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-the-custom-group-of-companies-3453312156?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=rSfKsGNmKeU23ZMdN4k5Vg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Analyst,Data Analyst,Fractal,"New York, United States",https://www.linkedin.com/jobs/view/data-analyst-at-fractal-3467047397?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=9%2BcmrviiEWBw6EnGB0M6Ew%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Analyst,Associate Data Analyst,Morgan Stanley,"New York, NY",https://www.linkedin.com/jobs/view/associate-data-analyst-at-morgan-stanley-3453752125?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=MmIihB%2F9%2BIQ3CqNKVrbevQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Analyst,Data Analyst,Coders Data,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-coders-data-3481682792?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=f52hx7JBUMamLMMKW8DNNw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Analyst,Data Analyst,Artefact,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-artefact-3470769207?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=vMcSRCjPW%2FOmykHR7%2FuOmg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Analyst,Data Analyst (Remote),605,"Syosset, NY",https://www.linkedin.com/jobs/view/data-analyst-remote-at-605-3467689580?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=xYK7UVWd1ElMgF2yCumoMQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Analyst,Data Analyst,At-Bay,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-at-bay-3429674344?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=g%2BnFrzxcdtPGLGIH%2BDY0Ng%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Analyst,"Data Analyst, People Analytics",Harnham,"New York, United States",https://www.linkedin.com/jobs/view/data-analyst-people-analytics-at-harnham-3438451126?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=JuR5MWWhwCSNLdciiPnvrg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Analyst,Data Analyst,"Community Bank, N.A.","Syracuse, NY",https://www.linkedin.com/jobs/view/data-analyst-at-community-bank-n-a-3451699599?refId=86lHContpkfly8iX9wdl7A%3D%3D&trackingId=UnLxSd%2F9ZLKGVxc9vz8Qwg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
