,query,title,company,location,link
0,Data Engineer,Junior Data Engineer,TickPick,"New York, United States",https://www.linkedin.com/jobs/view/junior-data-engineer-at-tickpick-3450038824?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=MGaaj7ZNrfcgL80YVHgPcQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Engineer,Junior Data Engineer,TickPick,"New York, NY",https://www.linkedin.com/jobs/view/junior-data-engineer-at-tickpick-3448491645?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=kmIbWmIkDfT6QrSxooqtwg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Engineer,Junior Data Engineer,Open Road Media,"New York, NY",https://www.linkedin.com/jobs/view/junior-data-engineer-at-open-road-media-3414298804?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=T%2BnsUFDWLAPfZcHUrGtOMA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Engineer,Data Engineer,Adobe,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-at-adobe-3459050990?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=lNMqPjF0Mg%2FcealpY4%2FhBg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Engineer,Junior Data Engineer,TickPick,"New York County, NY",https://www.linkedin.com/jobs/view/junior-data-engineer-at-tickpick-3453941265?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=KqWwtn69VqhIfH5yV22b4g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Engineer,Data Engineer,Atlantic Partners Corporation,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-at-atlantic-partners-corporation-3461310036?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=5SQ4NGTKUzVACK%2FhvQbjgg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Engineer,Data Engineer,Wider Circle,"New York, United States",https://www.linkedin.com/jobs/view/data-engineer-at-wider-circle-3476039184?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=5o0inm%2Fu7RdFdz6%2FMF7xxA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Engineer,Data Engineer,Blue Onion,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-at-blue-onion-3458345413?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=eJsRpwRKypYGdinHENGyNw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Engineer,Data Engineer,LEARFIELD,"Syracuse, NY",https://www.linkedin.com/jobs/view/data-engineer-at-learfield-3470052829?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=Zsu0ov%2Fi4hLfO%2Bc677a%2Fow%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Engineer,Data Engineer,Intelletec,"New York, United States",https://www.linkedin.com/jobs/view/data-engineer-at-intelletec-3461876731?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=zeBJx%2BUTmpfHwXRWpk8tBg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Engineer,Python Data Engineer,TechTA LLC,"New York, NY",https://www.linkedin.com/jobs/view/python-data-engineer-at-techta-llc-3448151455?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=qt5sBQ2EalA4HyQRXf61%2Fg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Engineer,Data engineer,Experfy,"New York, United States",https://www.linkedin.com/jobs/view/data-engineer-at-experfy-3467414890?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=FqXSsLucQOsctT6952Fp6Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Engineer,"Data Engineer, Analytics",Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-analytics-at-meta-3467207033?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=cxbkafORDSEsnDvwkG5YSw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Data Engineer,Data Engineer,BLACKBIRD.AI,"New York, United States",https://www.linkedin.com/jobs/view/data-engineer-at-blackbird-ai-3420606427?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=1k%2BlM0yjqpCQNBuVRiIiXg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Data Engineer,Data Engineer,WireScreen,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-at-wirescreen-3461085680?refId=rJ5TLv52gYVHpUihXms2fA%3D%3D&trackingId=GisWRViPINWYwwmHRdbV3g%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
