,query,title,company,location,link
0,Developer,Jr. Software Developer,nuArch,"New York, NY",https://www.linkedin.com/jobs/view/jr-software-developer-at-nuarch-3475683379?refId=PV%2FEK8UkGa5oIrbS1t5cBw%3D%3D&trackingId=6cR6%2FgT4jJbOQeZJ96nSAg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Developer,Jr python developer,"ActiveSoft, Inc","New York, United States",https://www.linkedin.com/jobs/view/jr-python-developer-at-activesoft-inc-3407955361?refId=PV%2FEK8UkGa5oIrbS1t5cBw%3D%3D&trackingId=B6hh%2ByWyGJCEfBNxHH5cIA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Developer,Software Developer,Infinite Computer Solutions,Buffalo-Niagara Falls Area,https://www.linkedin.com/jobs/view/software-developer-at-infinite-computer-solutions-3475943124?refId=PV%2FEK8UkGa5oIrbS1t5cBw%3D%3D&trackingId=JiANIvQvQqIvAxrVgxKZxA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Developer,Frontend Developer,Once Upon A Time,"New York, United States",https://www.linkedin.com/jobs/view/frontend-developer-at-once-upon-a-time-3403016078?refId=PV%2FEK8UkGa5oIrbS1t5cBw%3D%3D&trackingId=OcFBsOGC37Nay4PNqjJcyg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Developer,React Web Developer (Remote),obé Fitness,"New York, NY",https://www.linkedin.com/jobs/view/react-web-developer-remote-at-ob%C3%A9-fitness-3465356039?refId=PV%2FEK8UkGa5oIrbS1t5cBw%3D%3D&trackingId=umUfYnzFG3SZSZ%2B7w0UgSA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Developer,Web Developer,Mount Sinai Morningside,"New York, NY",https://www.linkedin.com/jobs/view/web-developer-at-mount-sinai-morningside-3474061684?refId=FT61w0H5MqvZkbpZjvqrhQ%3D%3D&trackingId=KYZ62Uf3wfto6dCvweONxg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
6,Developer,Entry level Java Developer,Cloud Resources LLC,"New York, NY",https://www.linkedin.com/jobs/view/entry-level-java-developer-at-cloud-resources-llc-3463002017?refId=FT61w0H5MqvZkbpZjvqrhQ%3D%3D&trackingId=5kfbl126xSs6C5hY9jn0Fw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
7,Developer,Java Developer Recent Graduates - Entry Level Positions,COGENT Infotech,"New York, NY",https://www.linkedin.com/jobs/view/java-developer-recent-graduates-entry-level-positions-at-cogent-infotech-3468597384?refId=FT61w0H5MqvZkbpZjvqrhQ%3D%3D&trackingId=GvrHikBeRzO9RFGRTuRchg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
8,Developer,Entry Level Python Developer,SynergisticIT,"Yonkers, NY",https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3415232118?refId=FT61w0H5MqvZkbpZjvqrhQ%3D%3D&trackingId=vDNYil5atZQUeFIgdkLqBQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
9,Developer,Front-End/Web Developer - JavaScript,Talener,"New York, NY",https://www.linkedin.com/jobs/view/front-end-web-developer-javascript-at-talener-3462413953?refId=FT61w0H5MqvZkbpZjvqrhQ%3D%3D&trackingId=lxzaXhzUd2YI4X%2Bw9TQVrA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
