,query,title,company,location,link
0,Ios,Swift / iOS Frontend Engineer,WalletConnect,"New York, United States",https://www.linkedin.com/jobs/view/swift-ios-frontend-engineer-at-walletconnect-3486580795?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=N9vzb8v%2BJ620tsGgA9%2F3Pg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Ios,iOS Developer (Swift) - Freelance [Remote],Braintrust,"New York, NY",https://www.linkedin.com/jobs/view/ios-developer-swift-freelance-remote-at-braintrust-3483515853?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=QvpXJvLP7ohW%2BH6W6zIh%2Bg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Ios,iOS Engineer,Sundae.fm,"New York, NY",https://www.linkedin.com/jobs/view/ios-engineer-at-sundae-fm-3481998475?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=9pixJxGQNrJ%2BdeBVC9SiVg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Ios,IOS Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/ios-developer-at-diverse-lynx-3484122380?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=Swgh%2BD3DvWG4ZCcM2vFYhA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Ios,Fully Remote iOS role,Motion Recruitment,"New York, NY",https://www.linkedin.com/jobs/view/fully-remote-ios-role-at-motion-recruitment-3475602311?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=8hlX%2FNz2r7vdIk93Qto7hQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Ios,Senior iOS Engineer [Remote],Braintrust,"New York, NY",https://www.linkedin.com/jobs/view/senior-ios-engineer-remote-at-braintrust-3488303507?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=9uKUzrwYjaJ1Y7xUJKRfgw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Ios,Lead iOS Engineer,pager,"Brooklyn, NY",https://www.linkedin.com/jobs/view/lead-ios-engineer-at-pager-3435471618?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=i1Iy99uuszGGccb%2FwEKg5w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Ios,IOS Developer,Avid Placement,"New York, NY",https://www.linkedin.com/jobs/view/ios-developer-at-avid-placement-3478472158?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=lMtSEc2CiBNEiHH0g2o6oA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Ios,Seen - iOS Software Engineer (North/South America Only) - Direct Hire [Remote],Braintrust,"New York, NY",https://www.linkedin.com/jobs/view/seen-ios-software-engineer-north-south-america-only-direct-hire-remote-at-braintrust-3481897923?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=xyfmFyNDcVnSdL%2FeX6r7zg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Ios,Senior iOS Engineer,cloaked,"New York, NY",https://www.linkedin.com/jobs/view/senior-ios-engineer-at-cloaked-3460339968?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=y5eg4wDvNRPA4rQDAaVh6Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Ios,iOS App Developer Intern,InstaHub,"New York, NY",https://www.linkedin.com/jobs/view/ios-app-developer-intern-at-instahub-3285669842?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=G%2FdEapWrkMUDjfOrWR4Rhw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Ios,iOS Developer,Few&Far,"New York, United States",https://www.linkedin.com/jobs/view/ios-developer-at-few-far-3473536113?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=mqiRaLT96gJLGLLCOqA%2FIw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Ios,Software Engineer - iOS,Perchwell,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-ios-at-perchwell-3420487876?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=08TjKvyO6p4VbEi6fTbRFQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Ios,Swift / iOS Frontend Engineer,WalletConnect,"New York, NY",https://www.linkedin.com/jobs/view/swift-ios-frontend-engineer-at-walletconnect-3475990645?refId=89UPR%2F3eVQdvO7IT0D%2BrIA%3D%3D&trackingId=JEQTUaQF5ILvLWrg1XdHIQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
