,query,title,company,location,link
0,Java,Entry level Java Developer,Cloud Resources LLC,"New York, NY",https://www.linkedin.com/jobs/view/entry-level-java-developer-at-cloud-resources-llc-3463002017?refId=waBbEyA8HI5FzrentyBFmA%3D%3D&trackingId=Pa15HwZItJD4CW1QZ2HtVg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Java,Java Developer Recent Graduates - Entry Level Positions,COGENT Infotech,"New York, NY",https://www.linkedin.com/jobs/view/java-developer-recent-graduates-entry-level-positions-at-cogent-infotech-3468597384?refId=waBbEyA8HI5FzrentyBFmA%3D%3D&trackingId=dmnLepoi6QF0uiTl1soIbw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Java,Java Developer,TechTA LLC,"New York, NY",https://www.linkedin.com/jobs/view/java-developer-at-techta-llc-3455916629?refId=waBbEyA8HI5FzrentyBFmA%3D%3D&trackingId=D3KM%2B0Dw9Zgl%2Bjl9Fk38CQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Java,JUNIOR LEVEL JAVA DEVELOPER | HYBRID,eStaffing Inc.,"New York, NY",https://www.linkedin.com/jobs/view/junior-level-java-developer-hybrid-at-estaffing-inc-3408814210?refId=waBbEyA8HI5FzrentyBFmA%3D%3D&trackingId=e89jBD5rQYvuAIJFI%2FN0gQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Java,Backend Java Developer Intern,Eulerity,"New York, NY",https://www.linkedin.com/jobs/view/backend-java-developer-intern-at-eulerity-3471878483?refId=waBbEyA8HI5FzrentyBFmA%3D%3D&trackingId=R4ltjntqMMa71FyRk3dd3A%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Java,"Software Engineer / Senior Software Engineer (Java, SQL, web services) - AMP Commerce Engineering",Apple,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-senior-software-engineer-java-sql-web-services-amp-commerce-engineering-at-apple-3479649851?refId=waBbEyA8HI5FzrentyBFmA%3D%3D&trackingId=itc1rixH5%2FsQ%2FlzWUMz6Dw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Java,Java Backend Developer,Blue Ocean Ventures,"New York, NY",https://www.linkedin.com/jobs/view/java-backend-developer-at-blue-ocean-ventures-3455608746?refId=HUiI8aVyd1PjIylQnui8uw%3D%3D&trackingId=vHF8XbulCoN4AWK%2FNNVv7Q%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
7,Java,Ecommerce Java Developer,"El Toro Interactive, LLC","New York, United States",https://www.linkedin.com/jobs/view/ecommerce-java-developer-at-el-toro-interactive-llc-3462804979?refId=HUiI8aVyd1PjIylQnui8uw%3D%3D&trackingId=a3NOuUHyGWeRhcaLXSFitQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
8,Java,Java Developer,Zortech Solutions,"Buffalo, NY",https://www.linkedin.com/jobs/view/java-developer-at-zortech-solutions-3480050581?refId=HUiI8aVyd1PjIylQnui8uw%3D%3D&trackingId=XRHqm%2B4r%2B2Fjj0mf5Je5eA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
9,Java,Java Developer,Stellent IT,"New York, NY",https://www.linkedin.com/jobs/view/java-developer-at-stellent-it-3486021347?refId=HUiI8aVyd1PjIylQnui8uw%3D%3D&trackingId=1kZse1%2BUMsM%2BpJlTV14Tzg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
