,query,title,company,location,link
0,Javascript,JavaScript Developer - Remote,"The Dignify Solutions, LLC","New York, NY",https://www.linkedin.com/jobs/view/javascript-developer-remote-at-the-dignify-solutions-llc-3462429948?refId=Ued5wV%2BU9k4X6nG9shSkAg%3D%3D&trackingId=28%2Fo42F%2B%2FLfPRaiaD56bpA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Javascript,Full-Stack Javascript Engineer,WalletConnect,"New York, United States",https://www.linkedin.com/jobs/view/full-stack-javascript-engineer-at-walletconnect-3465571035?refId=Ued5wV%2BU9k4X6nG9shSkAg%3D%3D&trackingId=ICd5KAADUEhyNE7oGcc5AQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Javascript,Front-End/Web Developer - JavaScript,Talener,"New York, NY",https://www.linkedin.com/jobs/view/front-end-web-developer-javascript-at-talener-3462413953?refId=Ued5wV%2BU9k4X6nG9shSkAg%3D%3D&trackingId=Db2XwhEwnR0yGLqOojkXLw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Javascript,Javascript Engineer,Popular Pays by Lightricks,"New York, NY",https://www.linkedin.com/jobs/view/javascript-engineer-at-popular-pays-by-lightricks-3487932526?refId=Ued5wV%2BU9k4X6nG9shSkAg%3D%3D&trackingId=kee8TVk5PdLLvKmdk74wbQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Javascript,JavaScript Developer,Falcon Smart IT (FalconSmartIT),"New York, NY",https://www.linkedin.com/jobs/view/javascript-developer-at-falcon-smart-it-falconsmartit-3479437540?refId=OLqQ4iyeYddImRaL0e%2FYMA%3D%3D&trackingId=YurRQMY9LKqSmwM%2Fctt%2BrA%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
5,Javascript,Front-end / JavaScript Engineer - 75%Remote /25% NYC - Contract,Access Global Group,"New York, NY",https://www.linkedin.com/jobs/view/front-end-javascript-engineer-75%25remote-25%25-nyc-contract-at-access-global-group-3483140055?refId=JJnIJMFd1rqJiYk77809LA%3D%3D&trackingId=m%2BPCRJQbtuxs5llh%2BP2dgA%3D%3D&position=3&pageNum=6&trk=public_jobs_jserp-result_search-card
6,Javascript,Software Engineer - Javascript - SPORTS FANS,TDA Creative,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-javascript-sports-fans-at-tda-creative-3450181830?refId=JJnIJMFd1rqJiYk77809LA%3D%3D&trackingId=NI37aY%2BeJ3Bh96NNNKuO6g%3D%3D&position=7&pageNum=6&trk=public_jobs_jserp-result_search-card
7,Javascript,Software Engineer - Javascript - SPORTS FANS,TDA Creative,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-javascript-sports-fans-at-tda-creative-3450181830?refId=YbAOPnN2NXkO3QdUY4YQJQ%3D%3D&trackingId=hJNfTmeK6xUS%2BvaPSZ6OOQ%3D%3D&position=8&pageNum=7&trk=public_jobs_jserp-result_search-card
8,Javascript,Front-end / JavaScript Engineer - 75%Remote /25% NYC - Contract,Access Global Group,"New York, NY",https://www.linkedin.com/jobs/view/front-end-javascript-engineer-75%25remote-25%25-nyc-contract-at-access-global-group-3483140055?refId=3Ms9blTycsl0A7oQTb%2BT6g%3D%3D&trackingId=ykTbS22ek2PD7ZQFFysqPA%3D%3D&position=24&pageNum=10&trk=public_jobs_jserp-result_search-card
9,Javascript,Senior Software Engineer - JavaScript,AppMap,"New York, NY",https://www.linkedin.com/jobs/view/senior-software-engineer-javascript-at-appmap-3333462901?refId=cUP1c0itxe3WYL2du0maEQ%3D%3D&trackingId=OTH%2BpqkVEJuE%2Fy7SeRhI2w%3D%3D&position=17&pageNum=16&trk=public_jobs_jserp-result_search-card
10,Javascript,Senior UI Developer - Javascript,VISTRADA,"New London, NY",https://www.linkedin.com/jobs/view/senior-ui-developer-javascript-at-vistrada-3429801706?refId=NCWCZ1ZylnoRRE8Fd%2FxXrw%3D%3D&trackingId=37hS92uhqdQ0wc3UkKesuw%3D%3D&position=11&pageNum=22&trk=public_jobs_jserp-result_search-card
11,Javascript,"REMOTE Software Developer - HTML, JavaScript, SQL",CyberCoders,"New York, NY",https://www.linkedin.com/jobs/view/remote-software-developer-html-javascript-sql-at-cybercoders-3432267257?refId=0HFf4ia%2BHoXAEtGtMck3Tw%3D%3D&trackingId=MFhPH3qv9bYV72VhnqcJWg%3D%3D&position=15&pageNum=26&trk=public_jobs_jserp-result_search-card
12,Javascript,JavaScript PWA(Progressive Web Applications),Diverse Lynx,"Queens County, NY",https://www.linkedin.com/jobs/view/javascript-pwa-progressive-web-applications-at-diverse-lynx-3485741839?refId=d7DJJztFy7y8x93ZmaPQBQ%3D%3D&trackingId=gajRlDL29wS1bMLpckwt%2Fg%3D%3D&position=17&pageNum=27&trk=public_jobs_jserp-result_search-card
13,Javascript,JavaScript Engineer With Video,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/javascript-engineer-with-video-at-diverse-lynx-3484145717?refId=W3tF7ZzQykjAmQEoGpV5MQ%3D%3D&trackingId=%2Fi5o%2BgHK%2F5uA3J9BSTZluA%3D%3D&position=12&pageNum=36&trk=public_jobs_jserp-result_search-card
14,Javascript,"REMOTE Software Developer - HTML, JavaScript, SQL",CyberCoders,"New York, NY",https://www.linkedin.com/jobs/view/remote-software-developer-html-javascript-sql-at-cybercoders-3432267257?refId=H1G5IVrWxAi%2BTpumbTSFSg%3D%3D&trackingId=FLM53XLOUt5BSDYQ8rZT2w%3D%3D&position=2&pageNum=38&trk=public_jobs_jserp-result_search-card
