,query,title,company,location,link
0,Kotlin,Kotlin / Android Engineer,WalletConnect,"New York, United States",https://www.linkedin.com/jobs/view/kotlin-android-engineer-at-walletconnect-3486755412?refId=SPAkntqlyXaAsrOS3%2FENvg%3D%3D&trackingId=XICRMWx67T9mQi2l%2FHo5%2Bw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Kotlin,Software Engineer - Android/ Kotlin - Remote | WFH,Get It Recruit - Information Technology,"Holtsville, NY",https://www.linkedin.com/jobs/view/software-engineer-android-kotlin-remote-wfh-at-get-it-recruit-information-technology-3454166358?refId=SPAkntqlyXaAsrOS3%2FENvg%3D%3D&trackingId=ocDw34Np34mSvH09jwn2Hg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Kotlin,Android Engineer with Kotlin,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/android-engineer-with-kotlin-at-diverse-lynx-3484149434?refId=SPAkntqlyXaAsrOS3%2FENvg%3D%3D&trackingId=DlVWkkG9oReOYow23GUpyQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Kotlin,"ReactJS Developer - Kotlin, Java",TMS,"New York, NY",https://www.linkedin.com/jobs/view/reactjs-developer-kotlin-java-at-tms-3396132536?refId=SPAkntqlyXaAsrOS3%2FENvg%3D%3D&trackingId=bVqVSpi0Z3pw2t%2FmdnFzEQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Kotlin,Android Developer - (Kotlin and Java / Fully - Remote),CyberCoders,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-kotlin-and-java-fully-remote-at-cybercoders-3471873843?refId=k5FsfbNskZ%2F6NWzkbDhwNg%3D%3D&trackingId=0VPEsiMqCWp2YakIeyhzVA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
5,Kotlin,Mobile Developer with Java Kotlin experience,"MVP Consulting Plus, Inc.","Albany, NY",https://www.linkedin.com/jobs/view/mobile-developer-with-java-kotlin-experience-at-mvp-consulting-plus-inc-3415250487?refId=0N5fDSwnDzv2ENsGbnCZjw%3D%3D&trackingId=zVykhOhCyuYQK7gmag3SRg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
6,Kotlin,Software Engineer - Android/ Kotlin,Zebra Technologies,"Holtsville, NY",https://www.linkedin.com/jobs/view/software-engineer-android-kotlin-at-zebra-technologies-3483116317?refId=iWJB8bri7uxqgK5WG%2FQi4Q%3D%3D&trackingId=fTiP%2FonR%2BsdDrt%2FL%2BIzTew%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
7,Kotlin,Mobile Developer with Java Kotlin experience,"MVP Consulting Plus, Inc.","Albany, NY",https://www.linkedin.com/jobs/view/mobile-developer-with-java-kotlin-experience-at-mvp-consulting-plus-inc-3415250487?refId=HTEujWyKisZcKtpt82xTiQ%3D%3D&trackingId=FITj3I2BSkP2Y4e5reBQ6w%3D%3D&position=2&pageNum=5&trk=public_jobs_jserp-result_search-card
8,Kotlin,Android Developer - (Kotlin and Java / Fully - Remote),CyberCoders,"New York, NY",https://www.linkedin.com/jobs/view/android-developer-kotlin-and-java-fully-remote-at-cybercoders-3471873843?refId=HTEujWyKisZcKtpt82xTiQ%3D%3D&trackingId=qOIE%2FTI%2FF%2BrJEwMaf%2BwN6A%3D%3D&position=6&pageNum=5&trk=public_jobs_jserp-result_search-card
9,Kotlin,Kotlin / Android Engineer,WalletConnect,"New York, United States",https://www.linkedin.com/jobs/view/kotlin-android-engineer-at-walletconnect-3486755412?refId=HTEujWyKisZcKtpt82xTiQ%3D%3D&trackingId=LmvCgi1gkfKAY9p97QOvgA%3D%3D&position=20&pageNum=5&trk=public_jobs_jserp-result_search-card
10,Kotlin,"FE Engineer - React Native, Swift and/or Kotlin",The Judge Group,"New York, NY",https://www.linkedin.com/jobs/view/fe-engineer-react-native-swift-and-or-kotlin-at-the-judge-group-3481049731?refId=9417%2BhS%2FIt%2F8j3%2FRwa4Vlw%3D%3D&trackingId=XObz9RkB8MFCXM0dS6HoEw%3D%3D&position=11&pageNum=7&trk=public_jobs_jserp-result_search-card
11,Kotlin,"FE Engineer - React Native, Swift and/or Kotlin",The Judge Group,"New York, NY",https://www.linkedin.com/jobs/view/fe-engineer-react-native-swift-and-or-kotlin-at-the-judge-group-3481049731?refId=Qz66wRlHGsztvJxvASA0iw%3D%3D&trackingId=nkcxiYhaYXdoGWQNcF%2BwnA%3D%3D&position=17&pageNum=8&trk=public_jobs_jserp-result_search-card
