,query,title,company,location,link
0,Python,Jr python developer,"ActiveSoft, Inc","New York, United States",https://www.linkedin.com/jobs/view/jr-python-developer-at-activesoft-inc-3407955361?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=au9%2F5z30dMxzGXzXqYeyyw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Python,Python Data Engineer,TechTA LLC,"New York, NY",https://www.linkedin.com/jobs/view/python-data-engineer-at-techta-llc-3448151455?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=v3TkmhSU5EzHmxwHU0b78Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Python,Entry Level Python Developer,SynergisticIT,"New York, NY",https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3457061606?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=E74aHp9htC%2F9E1Uj%2FtyEjQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Python,Python Developer,Genpact,"New York, United States",https://www.linkedin.com/jobs/view/python-developer-at-genpact-3484779057?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=J9bSnU%2FdqL1Q6LC%2FgokANQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Python,Entry Level Python Developer,SynergisticIT,"Yonkers, NY",https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3415232118?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=HKO%2F9VefrSOxSGp0xXnhMQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Python,Python Developer,Infosys,"New York, United States",https://www.linkedin.com/jobs/view/python-developer-at-infosys-3468329786?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=vi0iryNohwUUitL9FnjcBg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Python,Python Engineer/Developer - Django - New York,Digital Waffle,"New York, NY",https://www.linkedin.com/jobs/view/python-engineer-developer-django-new-york-at-digital-waffle-3459705326?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=gs71t6KXv7TXW8fYlT1sTA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Python,Python Developer,Digital Waffle,"New York, NY",https://www.linkedin.com/jobs/view/python-developer-at-digital-waffle-3469873150?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=P%2BEu2SK%2Bd16dsEoyLdYDhA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Python,Python Developer,Infinite Computer Solutions,"New York, NY",https://www.linkedin.com/jobs/view/python-developer-at-infinite-computer-solutions-3473256576?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=rc0CV5s1812BS%2B86h2x98g%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Python,Python Developer,Silent Eight,"New York, NY",https://www.linkedin.com/jobs/view/python-developer-at-silent-eight-3459007200?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=pWZ8gxWYYwk5I8H%2B43GRtQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Python,Python Developer,ClifyX,"Bethpage, NY",https://www.linkedin.com/jobs/view/python-developer-at-clifyx-3349155985?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=3jeoxSIwEYdliyF2CwmjXg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Python,Python Developer,Corporate Solutions Tech,"New York, NY",https://www.linkedin.com/jobs/view/python-developer-at-corporate-solutions-tech-3479458549?refId=E7dMssxrfttssTd%2FnT7kzw%3D%3D&trackingId=Q0BxVy6iWm6ZJV2ZiroY2A%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Python,Python Developer,Infinite Computer Solutions,"New York, NY",https://www.linkedin.com/jobs/view/python-developer-at-infinite-computer-solutions-3473256576?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=iCMsP6%2FfqU%2Fq0qDvJBKwoA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Python,Python Developer,Silent Eight,"New York, NY",https://www.linkedin.com/jobs/view/python-developer-at-silent-eight-3459007200?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=R3JoS7ge22bRN4nO0jtfLw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Python,Python Developer,ClifyX,"Bethpage, NY",https://www.linkedin.com/jobs/view/python-developer-at-clifyx-3349155985?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=zSJBhfBFg2W89JCDshIoiQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
15,Python,Python Developer,Infosys,"New York, United States",https://www.linkedin.com/jobs/view/python-developer-at-infosys-3460653143?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=pDIy%2FUcl1WFybenyrbfAbg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
16,Python,Quantitative Developer - Python,Stanford Black Limited,"New York, United States",https://www.linkedin.com/jobs/view/quantitative-developer-python-at-stanford-black-limited-3486190376?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=TagD2vgmyqRzN06w5XYSjw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
17,Python,Python Developer,Capgemini,"New York, United States",https://www.linkedin.com/jobs/view/python-developer-at-capgemini-3467086493?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=EoCEWt56M07h%2FJmxGLO8cw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
18,Python,Python Developer,Genpact,"New York, United States",https://www.linkedin.com/jobs/view/python-developer-at-genpact-3453923704?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=sCU37%2FlcV6Edeb3vWEa6YA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
19,Python,Python Developer,Diverse Lynx,"Brooklyn, NY",https://www.linkedin.com/jobs/view/python-developer-at-diverse-lynx-3484119472?refId=QPWBuvV1K9xk4z%2Bl2atr7Q%3D%3D&trackingId=YMoN4kzt5jXcYCVUQoInHA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
20,Python,Python Developer,Diverse Lynx,"Brooklyn, NY",https://www.linkedin.com/jobs/view/python-developer-at-diverse-lynx-3484119472?refId=pWli4jOizuQlDDakBi86xw%3D%3D&trackingId=2PuXRuHdVh7Ow6B0vzHOWA%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
21,Python,Python with R Scripting,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/python-with-r-scripting-at-diverse-lynx-3484157792?refId=pWli4jOizuQlDDakBi86xw%3D%3D&trackingId=06vGOEC20JIntlXoSKl7gg%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
22,Python,Entry Level Python Developer,SynergisticIT,"New York, NY",https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3457061606?refId=pWli4jOizuQlDDakBi86xw%3D%3D&trackingId=ljRY99gTAJPgQFRTDFHsmg%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
