,query,title,company,location,link
0,React,React Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-developer-at-diverse-lynx-3485745264?refId=pOnTHI3ujxbCmTa%2FUmYpzg%3D%3D&trackingId=Xu2TbchEktTE%2BwC5IifnYw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
1,React,React js Engineer,eTeam,"New York, NY",https://www.linkedin.com/jobs/view/react-js-engineer-at-eteam-3479094992?refId=pOnTHI3ujxbCmTa%2FUmYpzg%3D%3D&trackingId=%2FKuUiqjD%2BGEgJgExzSlk3w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
2,React,React -JavaScript Front-End Engineer,Consultants 2 Go,"New York, NY",https://www.linkedin.com/jobs/view/react-javascript-front-end-engineer-at-consultants-2-go-3410384927?refId=pOnTHI3ujxbCmTa%2FUmYpzg%3D%3D&trackingId=B%2BLnfXu6ZvdzmMPRcM%2B07g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
3,React,React Developer,"LanceSoft, Inc.","New York, NY",https://www.linkedin.com/jobs/view/react-developer-at-lancesoft-inc-3443287260?refId=pOnTHI3ujxbCmTa%2FUmYpzg%3D%3D&trackingId=7iZSvM6QI2f%2FNkpmoIpO7A%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
4,React,React Engineer,Acadaca,"New York, NY",https://www.linkedin.com/jobs/view/react-engineer-at-acadaca-3438407517?refId=pOnTHI3ujxbCmTa%2FUmYpzg%3D%3D&trackingId=%2FIrYdWcCWMIIsWQzwjTazQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
5,React,Front End React Developer,Eliassen Group,"New York, United States",https://www.linkedin.com/jobs/view/front-end-react-developer-at-eliassen-group-3457666431?refId=pOnTHI3ujxbCmTa%2FUmYpzg%3D%3D&trackingId=wvUkfoKJc2Fn%2BPUtBKr40g%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
6,React,React Web Developer,Aegistech,"New York, NY",https://www.linkedin.com/jobs/view/react-web-developer-at-aegistech-3483764425?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=wiwi64S29TwmmP8JzjWHKg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
7,React,React JS Engineer,MillenniumSoft Inc,"New York, United States",https://www.linkedin.com/jobs/view/react-js-engineer-at-millenniumsoft-inc-3427073030?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=oVQJjqtSN0c%2BsrTObRY61w%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
8,React,Front End React Developer,TEKFORTUNE INC,"New York, NY",https://www.linkedin.com/jobs/view/front-end-react-developer-at-tekfortune-inc-3480270827?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=qwcLiA6bLrIqUjNb%2FrCxdw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
9,React,React Developer,Photon,"New York, United States",https://www.linkedin.com/jobs/view/react-developer-at-photon-3457688043?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=sIpIcKS98eQhQRklXneSJw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
10,React,React JS Developer,Diverse Lynx,"New York, United States",https://www.linkedin.com/jobs/view/react-js-developer-at-diverse-lynx-3485692488?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=quLOGA9b2xkopLcsrECCKA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
11,React,React Software Engineer,Perennial Resources International,"New York, NY",https://www.linkedin.com/jobs/view/react-software-engineer-at-perennial-resources-international-3467354600?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=OdmVT1%2F%2BCC1taAKQ11EwAg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
12,React,React Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-developer-at-diverse-lynx-3484134386?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=2lfZRvOmq2QSLK%2F1dWFjew%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
13,React,React Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-developer-at-diverse-lynx-3484139335?refId=6ryWFt9i%2Fou9yiwx%2Bax4WA%3D%3D&trackingId=ZYi2VCfpSOL0jNtmQL2kgw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
14,React,React Software Engineer,Perennial Resources International,"New York, NY",https://www.linkedin.com/jobs/view/react-software-engineer-at-perennial-resources-international-3467354600?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=vcckS7zxoDX%2FUlZZoqKsVQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
15,React,React and UI/Application Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-and-ui-application-developer-at-diverse-lynx-3475388949?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=gX%2BgGjBB6MB6hV%2BxpQQTzg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
16,React,"Software Engineer, React and Node.js - Remote",RubensteinTech,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-react-and-node-js-remote-at-rubensteintech-3407960174?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=5NgFaDOvcdtuLHDRse2rnw%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
17,React,Front End React Developer,Eliassen Group,"New York, United States",https://www.linkedin.com/jobs/view/front-end-react-developer-at-eliassen-group-3457666431?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=aWXhgoQOHTor1rhhvQW0tw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
18,React,React Software engineer,PRI Technology,"New York, United States",https://www.linkedin.com/jobs/view/react-software-engineer-at-pri-technology-3471522661?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=%2BWubsAfapqfOLlsWPqERVg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
19,React,"React Developer-New York, NY/New Jersey, NJ",Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-developer-new-york-ny-new-jersey-nj-at-diverse-lynx-3485739008?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=rtghL8NtqFjlTNIRNgGXBQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
20,React,React and UI/Application developer,Diverse Lynx,"New York, United States",https://www.linkedin.com/jobs/view/react-and-ui-application-developer-at-diverse-lynx-3475391341?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=xQDuzQdyLlJwF7oUpQBMKw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
21,React,React Frond End Developer (we highly encourage recent CS graduate to apply for this role),SA Technologies Inc.,"New York, NY",https://www.linkedin.com/jobs/view/react-frond-end-developer-we-highly-encourage-recent-cs-graduate-to-apply-for-this-role-at-sa-technologies-inc-3484021700?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=NL8O%2B6W54Ex8%2BKlwghHneA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
22,React,React and UI/Application developer,Diverse Lynx,"Queens County, NY",https://www.linkedin.com/jobs/view/react-and-ui-application-developer-at-diverse-lynx-3475394060?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=MUZXjRM2KV%2BdLTpnQDn9bQ%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
23,React,React Full Stack Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-full-stack-developer-at-diverse-lynx-3484128338?refId=tACwftlDxE%2FTUj5lRi1VEw%3D%3D&trackingId=UWxAQLVWzUp3PI2I%2BByJNA%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
24,React,React JS Full Stack Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-js-full-stack-developer-at-diverse-lynx-3484151542?refId=w%2BHyLFpFIWQInMinyFAKEQ%3D%3D&trackingId=x4jhh8mSA%2Bob9R5CBg3Pbw%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
25,React,Web Developer with React,Diverse Lynx,"Brooklyn, NY",https://www.linkedin.com/jobs/view/web-developer-with-react-at-diverse-lynx-3485757814?refId=w%2BHyLFpFIWQInMinyFAKEQ%3D%3D&trackingId=MP0M5nXU7Vrom8xX%2FvlAgQ%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
26,React,FullStack React Developer,"AppLab Systems, Inc","East Syracuse, NY",https://www.linkedin.com/jobs/view/fullstack-react-developer-at-applab-systems-inc-3457698311?refId=w%2BHyLFpFIWQInMinyFAKEQ%3D%3D&trackingId=VBp25vLbP6Mp50w13hEZOg%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
27,React,Web Developer with React,Diverse Lynx,"Brooklyn, NY",https://www.linkedin.com/jobs/view/web-developer-with-react-at-diverse-lynx-3485759682?refId=w%2BHyLFpFIWQInMinyFAKEQ%3D%3D&trackingId=lyv6l6QLzdwQdEvEKKMbhQ%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
28,React,Software Developer - React Native,PathSpot,"New York, NY",https://www.linkedin.com/jobs/view/software-developer-react-native-at-pathspot-3416475885?refId=w%2BHyLFpFIWQInMinyFAKEQ%3D%3D&trackingId=SUt5YBzpNiYeT%2FzsHoicbA%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card
29,React,Senior Front-End Engineer (React and Javascript),AptDeco,"New York, NY",https://www.linkedin.com/jobs/view/senior-front-end-engineer-react-and-javascript-at-aptdeco-3432377466?refId=X84to1E8CS9OdUDfaHU1hw%3D%3D&trackingId=BBfKqZHu4WDRV%2BbQu3UTlA%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card
30,React,Front End Developer - React JS/Node JS Lead,Diverse Lynx,"New York, United States",https://www.linkedin.com/jobs/view/front-end-developer-react-js-node-js-lead-at-diverse-lynx-3475436540?refId=X84to1E8CS9OdUDfaHU1hw%3D%3D&trackingId=Pr%2BZIyPcOBn1py617SR2qQ%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card
31,React,REACT JS / Angular Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/react-js-angular-developer-at-diverse-lynx-3485696887?refId=X84to1E8CS9OdUDfaHU1hw%3D%3D&trackingId=AoAKehE00%2BOB8lURl%2B5p6w%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card
32,React,Sr. React Developer,Majestyk Apps,"New York, NY",https://www.linkedin.com/jobs/view/sr-react-developer-at-majestyk-apps-3046157086?refId=X84to1E8CS9OdUDfaHU1hw%3D%3D&trackingId=qKqIK23PtnOHa1RhpnMn3A%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card
33,React,Hiyoume - React Typescript Full-Stack Engineer (Contractor),hiyoume ™,"New York, NY",https://www.linkedin.com/jobs/view/hiyoume-react-typescript-full-stack-engineer-contractor-at-hiyoume-%E2%84%A2-3298064994?refId=X84to1E8CS9OdUDfaHU1hw%3D%3D&trackingId=K7hosqpOHXuBRFYtQcFw6g%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card
