,query,title,company,location,link
0,Software Developer,Jr. Software Developer,nuArch,"New York, NY",https://www.linkedin.com/jobs/view/jr-software-developer-at-nuarch-3475683379?refId=w4NsyrpJRlM7rcPc%2BmAacQ%3D%3D&trackingId=uSQQbEw1Oq02JEjSsOKu1Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Software Developer,Software Developer,Extremely Heavy,"Larchmont, NY",https://www.linkedin.com/jobs/view/software-developer-at-extremely-heavy-3422145160?refId=oHUrEK0Y7kVHLJfU%2FZN2pw%3D%3D&trackingId=xB2gCmxJrCwL8YBFZVc%2BOg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
2,Software Developer,Software Developer,BDIPlus,"New York, NY",https://www.linkedin.com/jobs/view/software-developer-at-bdiplus-3475420144?refId=oHUrEK0Y7kVHLJfU%2FZN2pw%3D%3D&trackingId=mj%2FozC4YYYgyeVRQzOGb3g%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
3,Software Developer,Software Developer - Entry Level,Huxley,"New York, United States",https://www.linkedin.com/jobs/view/software-developer-entry-level-at-huxley-3405692510?refId=oHUrEK0Y7kVHLJfU%2FZN2pw%3D%3D&trackingId=xT031UkKtwtf2MeIk1GdSQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
4,Software Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"New York, NY",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473271332?refId=Zh4JeYN2%2B0hwF%2B8fAaUshw%3D%3D&trackingId=bmwfZADmteCc0NHLbp9fiA%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
5,Software Developer,Software Developer in Test - Ad Platforms,Apple,"New York, NY",https://www.linkedin.com/jobs/view/software-developer-in-test-ad-platforms-at-apple-3208229016?refId=Zh4JeYN2%2B0hwF%2B8fAaUshw%3D%3D&trackingId=dmTnkBOAdEmn7tjd7ePnWw%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card
6,Software Developer,Software Developer in Test - Ad Platforms,Apple,"New York, NY",https://www.linkedin.com/jobs/view/software-developer-in-test-ad-platforms-at-apple-3181163711?refId=Zh4JeYN2%2B0hwF%2B8fAaUshw%3D%3D&trackingId=iOfAJ%2BdTQY2kxihosbqAdw%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
7,Software Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Yonkers, NY",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473268661?refId=SfyK%2Bi43EYY0TBgUgeOqng%3D%3D&trackingId=Gn2pJghXAJGqzr1mWVjsjw%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
8,Software Developer,Software Developer in Test - Ad Platforms,Apple,"New York, NY",https://www.linkedin.com/jobs/view/software-developer-in-test-ad-platforms-at-apple-3329631045?refId=SfyK%2Bi43EYY0TBgUgeOqng%3D%3D&trackingId=N8NBm00UeUDsWADxv5Dl7w%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card
9,Software Developer,"Software Engineer – High Frequency Algo C++ Developer - $150,000-1,000,000 Salary Range",Saragossa,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-%E2%80%93-high-frequency-algo-c%2B%2B-developer-%24150-000-1-000-000-salary-range-at-saragossa-3404178737?refId=SfyK%2Bi43EYY0TBgUgeOqng%3D%3D&trackingId=owwh2N5fZFiMJgl5ZJZYFw%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card
