,query,title,company,location,link
0,Software Engineer,Junior Software Engineer,Nicoll Curtin,"New York, United States",https://www.linkedin.com/jobs/view/junior-software-engineer-at-nicoll-curtin-3363076692?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=dt7KmHBx0iXPSFSMV98H6w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Software Engineer,Software Engineer - Early Career (2023),Figma,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-early-career-2023-at-figma-3223530120?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=WY2r6RyRri2UWkwR93EbtQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Software Engineer,"Software Engineer, New Graduate",Candid Health,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-new-graduate-at-candid-health-3374639246?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=MxDKvVNpg5OnvoCEgXjpdw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Software Engineer,Software Engineer [NYC],CarbonChain,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-nyc-at-carbonchain-3417982581?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=r55KnkAchfH1P9PuQ8Zzxg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Software Engineer,"Software Engineer, Frontend",Squarespace,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-frontend-at-squarespace-3438153865?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=9syLVKgNX1vuEMiC1zFBzw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Software Engineer,"Software Engineer, Apple Pay",Apple,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-apple-pay-at-apple-3311378948?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=uyB4JGImAlCwYfNVnLBJGw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Software Engineer,Software Engineer,Major League Baseball,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-major-league-baseball-3479864253?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=ZrfHsVWlzSS3Fm%2BuyOfA0Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Software Engineer,Software Engineer,Two Sigma,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-two-sigma-3313214621?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=xT2JDEURNHbi3aWUiX8mZA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Software Engineer,2023 Intern - Software Engineer,Adobe,"New York, NY",https://www.linkedin.com/jobs/view/2023-intern-software-engineer-at-adobe-3348575045?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=%2FlqE63PE4j0wOIs3r6v05A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Software Engineer,Software Engineer Internship | Frontend,Ramp,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-internship-frontend-at-ramp-3477349635?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=yX60v37UD5Du0mnezpvPqQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Software Engineer,Software Engineer,Citi,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-citi-3450773348?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=Li9VoEmYrfxPGVAj%2BieDeA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Software Engineer,Software Engineer (Junior),Huxley,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-junior-at-huxley-3467967514?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=acRwdhMBDmQ02ATvCHQJCg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Software Engineer,Software Engineer NYC,Rokt,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-nyc-at-rokt-3392904018?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=mQkzbWJZRrn6p1ftFUdK2w%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Software Engineer,Software Engineer (all levels),Shiftsmart,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-shiftsmart-3470121900?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=bMAtAGpgMa%2FQuJzdAgl4eQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Software Engineer,Software Engineer,VantAI,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-vantai-3342185296?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=iS3JlHLzutK3PmsqBXld4w%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Software Engineer,Software Engineer,Afficiency,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-at-afficiency-3467693296?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=%2BuEIIve9vO7G7tVud7kHvA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Software Engineer,Software Engineer,POSH,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-posh-3462699010?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=GtKBsU3ghBVt1QW4uTpU7g%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Software Engineer,Software Engineer,Alexandria Technology,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-alexandria-technology-3464488261?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=gd%2F0uSRQ6FcBeac8xK8ZIA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Software Engineer,Software Engineer Internship | Backend,Ramp,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-internship-backend-at-ramp-3477351307?refId=YoqRaZzE43q37vVua0oWVw%3D%3D&trackingId=SUcN541s72I1o6RptOUcEg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
