,query,title,company,location,link
0,Systems Engineer,Systems Engineer,MagnaCare,"Westbury, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-magnacare-3447062271?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=D74ZOj3eD1HVu5XYGV%2FDkQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Systems Engineer,Systems Engineer - Entry Level,Lockheed Martin,"Liverpool, NY",https://www.linkedin.com/jobs/view/systems-engineer-entry-level-at-lockheed-martin-3422708880?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=dBjOFfLyrp%2FxSiurPLCWyg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Systems Engineer,Systems Engineer,AT technology Inc.,"Tonawanda, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-at-technology-inc-3472796847?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=gtjk9DOCRjU59h0NUlFGZA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Systems Engineer,Systems Engineer,GEM Technologies,"New York, United States",https://www.linkedin.com/jobs/view/systems-engineer-at-gem-technologies-3472915594?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=cHUeL%2Byy9S71uj48oImAFA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Systems Engineer,Systems Engineer,Brighton Health Plan Solutions,"Westbury, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-brighton-health-plan-solutions-3442719318?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=wp7Kt1jzctMiFJ0PDXP9pA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Systems Engineer,Systems Engineer,Searchability,"New York, United States",https://www.linkedin.com/jobs/view/systems-engineer-at-searchability-3466008692?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=9tEFKedWoA53SqyKuOJPyA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Systems Engineer,JR SYSTEMS ENGINEER,eMagin Corporation,"Hopewell Junction, NY",https://www.linkedin.com/jobs/view/jr-systems-engineer-at-emagin-corporation-3465777576?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=FMdW6We5sDDXVVl0iy0T0g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Systems Engineer,Windows Systems Engineer (All Levels),Rockstar Games,"New York, NY",https://www.linkedin.com/jobs/view/windows-systems-engineer-all-levels-at-rockstar-games-2791820858?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=ztdHSqB8hthI2B0qEgtu7g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Systems Engineer,Systems Engineer,Advanced Automation Corporation,"Syracuse, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-advanced-automation-corporation-3464635865?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=ktczkBV6z9SJMuLaw2rTGA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Systems Engineer,Systems Engineer,Diligex,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-diligex-3466004354?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=bJTQERi40xDIkgUc%2BakSfQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Systems Engineer,Systems Engineer,Core BTS,"Troy, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-core-bts-3463343252?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=AHuPGOI8HivjfnsQsPVnag%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Systems Engineer,Senior Systems Engineer,GEM Technologies,"New York, United States",https://www.linkedin.com/jobs/view/senior-systems-engineer-at-gem-technologies-3410878574?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=Tfbu7DvWAIjh1iMiCI0%2BdQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Systems Engineer,Aircraft Systems Engineer,JetBlue,"New York, NY",https://www.linkedin.com/jobs/view/aircraft-systems-engineer-at-jetblue-3444003082?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=3yANOR%2BzVVTEg9C14Sp4PA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Systems Engineer,365 Systems Engineer - Hybrid,RethinkFirst,"New York, NY",https://www.linkedin.com/jobs/view/365-systems-engineer-hybrid-at-rethinkfirst-3475353426?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=Yt9lT%2FvbLodeX5EZIs9Keg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Systems Engineer,Systems Support Engineer,The State University of New York,"Stony Brook, NY",https://www.linkedin.com/jobs/view/systems-support-engineer-at-the-state-university-of-new-york-3480308585?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=SeSEgYc0XPeFQn%2Fjz15LzA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Systems Engineer,Systems Engineer I #36,St. John's Episcopal Hospital,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-i-%2336-at-st-john-s-episcopal-hospital-3422812083?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=KP6QJ4URbhCId2HG2PCOWQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Systems Engineer,Systems Engineer,Lockheed Martin,"Liverpool, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-lockheed-martin-3455498239?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=TyWmms5wMtqzyI1D7WVfBQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Systems Engineer,IT Systems Engineer,White Plains Hospital,"White Plains, NY",https://www.linkedin.com/jobs/view/it-systems-engineer-at-white-plains-hospital-3407450995?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=3FfV3bubt7zB4WrcYvnjkQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Systems Engineer,IT Systems Engineer,White Plains Hospital,"White Plains, NY",https://www.linkedin.com/jobs/view/it-systems-engineer-at-white-plains-hospital-3407451982?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=RYuFUlseeJo5KuwrQ0Ki9w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
19,Systems Engineer,Systems Engineer,Actalent,"Liverpool, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-actalent-3488375394?refId=obafO7jwSSwqo1ohsvi%2BEg%3D%3D&trackingId=eSxHCSrDcz8aRErxS%2B1ivg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Systems Engineer,Senior Systems Engineer,GEM Technologies,"New York, United States",https://www.linkedin.com/jobs/view/senior-systems-engineer-at-gem-technologies-3410873931?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=uiG9wVEikVv9BUD4IaQuXg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
21,Systems Engineer,Systems Engineer - Healthcare,Palo Alto Networks,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-healthcare-at-palo-alto-networks-3470067676?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=tOMu1Uqp080wf9jmCL6ajA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
22,Systems Engineer,Systems Engineer,MayStreet (acquired by LSEG),"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-maystreet-acquired-by-lseg-3473801221?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=X7Lzx%2BoXBDOTLMf9IwEFJw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
23,Systems Engineer,Senior Systems Engineer,GliaCell Technologies,"Maryland, NY",https://www.linkedin.com/jobs/view/senior-systems-engineer-at-gliacell-technologies-3408000255?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=TyHVw%2Fkwq8lQsaq8uFRaTA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
24,Systems Engineer,Junior Production Systems Engineer,Company 3,"New York, NY",https://www.linkedin.com/jobs/view/junior-production-systems-engineer-at-company-3-3481997508?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=Ur1VKL6Y2ydV8TOvDSwQhQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
25,Systems Engineer,Systems Engineer,Cloudflare,Buffalo-Niagara Falls Area,https://www.linkedin.com/jobs/view/systems-engineer-at-cloudflare-3462225796?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=%2BjnfTnJDW%2FdGod0II737Vg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
26,Systems Engineer,Systems Engineer II,Deloitte Consulting,"Albany, NY",https://www.linkedin.com/jobs/view/systems-engineer-ii-at-deloitte-consulting-3481608098?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=rpcbJWcWKA55R%2BuxZ%2B%2BC5A%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
27,Systems Engineer,Systems Engineer,Motorola Solutions,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-motorola-solutions-3330126378?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=uv8WVmsK9BfFClrUh%2BgD3A%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
28,Systems Engineer,Systems Engineer Sr,Lockheed Martin,"Liverpool, NY",https://www.linkedin.com/jobs/view/systems-engineer-sr-at-lockheed-martin-3482916975?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=1x3t4IhTL%2B2bEJ8LQAOu%2Bg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
29,Systems Engineer,Systems Engineer III,Deloitte Consulting,"Albany, NY",https://www.linkedin.com/jobs/view/systems-engineer-iii-at-deloitte-consulting-3481607313?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=2X4DnF9U4VU72kuVsrh9KA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
30,Systems Engineer,Systems Engineer,Phaxis,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-phaxis-3322699947?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=NwUoGb6X4N292qliabZ0Wg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
31,Systems Engineer,Systems Engineer,On Cue Hire,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-on-cue-hire-3460340228?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=3%2FGxb3NARFsdcldEKzlHDw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
32,Systems Engineer,L1 Systems Engineer | $60-70k | On site,"IT Accel, Inc.","New York, NY",https://www.linkedin.com/jobs/view/l1-systems-engineer-%2460-70k-on-site-at-it-accel-inc-3407140329?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=p1vY1IirYPnZcOrdv2kleg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
33,Systems Engineer,"Windows Systems Engineer - $200,000 + bonus - Hedge Fund",Hunter Bond,"Manhattan, NY",https://www.linkedin.com/jobs/view/windows-systems-engineer-%24200-000-%2B-bonus-hedge-fund-at-hunter-bond-3483712751?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=h3QGEOCf5qYlTKm2jPEi7A%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
34,Systems Engineer,Systems Engineer Intern,Smart Design,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-intern-at-smart-design-3483912339?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=M5VTn9CAt08c%2FYRxQTdnbQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
35,Systems Engineer,Systems Engineer,Robert Half,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-robert-half-3464869082?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=LN7AGVwBGHrdVmPBQjJz2Q%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
36,Systems Engineer,Trade Systems Engineer,Algo Capital Group,"New York, United States",https://www.linkedin.com/jobs/view/trade-systems-engineer-at-algo-capital-group-3305814646?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=di6R%2FGTTkSq9HAkbJxt1dA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
37,Systems Engineer,Systems Engineer Intern,Lockheed Martin,"Owego, NY",https://www.linkedin.com/jobs/view/systems-engineer-intern-at-lockheed-martin-3444008654?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=GXcpmC7T5hvrvnjcwerppQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
38,Systems Engineer,Systems Engineer I,Universal Instruments Corporation,"Conklin, NY",https://www.linkedin.com/jobs/view/systems-engineer-i-at-universal-instruments-corporation-3480548996?refId=QMhYRorjZXFl3xMkW54iUQ%3D%3D&trackingId=DtPcHAkOWNf7wmAMrfO%2Flw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
39,Systems Engineer,Distributed Systems Engineer (Remote Eligible),Arcesium,"New York, NY",https://www.linkedin.com/jobs/view/distributed-systems-engineer-remote-eligible-at-arcesium-3148384104?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=s6K37v4MyQGGedXj3FShdg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
40,Systems Engineer,Systems Engineer,LiftEngine,"Pearl River, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-liftengine-459654210?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=avgXM4eUyc7FgPVOH7qrhw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
41,Systems Engineer,Security Systems Engineer,"Unlimited Technology, Inc.","Rochester, NY",https://www.linkedin.com/jobs/view/security-systems-engineer-at-unlimited-technology-inc-3421193642?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=%2F8nVXFvjTeBNLENjumnbJQ%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
42,Systems Engineer,Systems Engineer,Vatic Investments,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-vatic-investments-3474489174?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=uVsZ%2FbamzwZcwBFyFJZXyw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
43,Systems Engineer,SYSTEMS ENGINEER,WSP USA,"New York, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-wsp-usa-3465895285?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=9Zsk8dzxm6xDjLvqeSZYGg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
44,Systems Engineer,IT Support Systems Engineer,Tiger Recruitment Ltd,"New York, NY",https://www.linkedin.com/jobs/view/it-support-systems-engineer-at-tiger-recruitment-ltd-3473667854?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=DZoQiaBctHSHXTPPwx0rsw%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
45,Systems Engineer,IT Sr. Systems Engineer,Acme Smoked Fish Corp,"Brooklyn, NY",https://www.linkedin.com/jobs/view/it-sr-systems-engineer-at-acme-smoked-fish-corp-3469812590?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=kZsDVnmGlwtLRrbtFC64Iw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
46,Systems Engineer,Storage Systems Engineer,c1Advantage,"Albany, NY",https://www.linkedin.com/jobs/view/storage-systems-engineer-at-c1advantage-3472127042?refId=rMsTfaE%2BTYwFpJiRzmzOSA%3D%3D&trackingId=VC2zhoX01jPMycJml%2FNmtg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
47,Systems Engineer,Principal Systems Engineer,GliaCell Technologies,"Maryland, NY",https://www.linkedin.com/jobs/view/principal-systems-engineer-at-gliacell-technologies-3407997935?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=1FkJQ6fQxcXxRcZzoWBzvA%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
48,Systems Engineer,"Senior Associate, Senior Systems Engineer",Cohen & Steers,"New York, NY",https://www.linkedin.com/jobs/view/senior-associate-senior-systems-engineer-at-cohen-steers-3480106242?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=IrpRWT3kJ8O%2FafxRxQOljA%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
49,Systems Engineer,InformationTechnology - Systems Engineer 1,Pacer Staffing LLC,"Getzville, NY",https://www.linkedin.com/jobs/view/informationtechnology-systems-engineer-1-at-pacer-staffing-llc-3425812275?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=EQpTUjGF0pkPx%2F57fN0Gvw%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
50,Systems Engineer,Systems Engineer II,Deloitte,"Jericho, NY",https://www.linkedin.com/jobs/view/systems-engineer-ii-at-deloitte-3438962305?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=RopT5%2FmePc61vSZX%2Fg3C2w%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
51,Systems Engineer,Systems Support Engineer,Stony Brook University,"Stony Brook, NY",https://www.linkedin.com/jobs/view/systems-support-engineer-at-stony-brook-university-3470921521?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=4KJXULNzdte6wpxDFv4h4w%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
52,Systems Engineer,Data Systems Engineer - BI,VISTRADA,"Monroe County, NY",https://www.linkedin.com/jobs/view/data-systems-engineer-bi-at-vistrada-3425105981?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=LwWdUWMB2a00TV6oe3FhBQ%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
53,Systems Engineer,"Power Protection Systems Engineer, Advanced Technology and Innovation",Google,"New York, NY",https://www.linkedin.com/jobs/view/power-protection-systems-engineer-advanced-technology-and-innovation-at-google-3300097586?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=4fpjNmMLGpSNSWaoSEOFxQ%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
54,Systems Engineer,Senior Systems Engineer,GEM Technologies,"New York County, NY",https://www.linkedin.com/jobs/view/senior-systems-engineer-at-gem-technologies-3470884732?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=3tg2ml18vlW0ZCDMQWoVzw%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
55,Systems Engineer,Systems Engineer,Sourcepass,"Garden City, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-sourcepass-3480825298?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=4Uufk0g5%2Fr1%2BLVqoXHXitA%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card
56,Systems Engineer,Strategic Systems Engineer,Palo Alto Networks,"New York, NY",https://www.linkedin.com/jobs/view/strategic-systems-engineer-at-palo-alto-networks-3482049554?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=ngBD6L3mPu4P9i%2F7ASvYAg%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
57,Systems Engineer,Control Systems Engineer Manager - Virtual,Amazon,"New York, NY",https://www.linkedin.com/jobs/view/control-systems-engineer-manager-virtual-at-amazon-3473230402?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=SEsxQi4trZIM4fvr7%2Bwxxg%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
58,Systems Engineer,Disaster Recovery Systems Engineer,State University of New York Upstate Medical University,"Syracuse, NY",https://www.linkedin.com/jobs/view/disaster-recovery-systems-engineer-at-state-university-of-new-york-upstate-medical-university-3446696518?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=Gn%2BUbZ7tZaRZF%2FCyNW8HZA%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card
59,Systems Engineer,Systems Engineer - Greece,Fortinet,"Greece, NY",https://www.linkedin.com/jobs/view/systems-engineer-greece-at-fortinet-3476162824?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=gMmz3b%2BVpgkR5dFPv1D4jA%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
60,Systems Engineer,Systems Engineer,CAE,"Binghamton, NY",https://www.linkedin.com/jobs/view/systems-engineer-at-cae-3467844956?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=xsx%2BXHIlqX8EmwaQVcX9dQ%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card
61,Systems Engineer,Real Time Systems Engineer I (Provisional),New York Power Authority,"Massena, NY",https://www.linkedin.com/jobs/view/real-time-systems-engineer-i-provisional-at-new-york-power-authority-3463336260?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=mkS23KPZ3qocAHULm6JZ2w%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card
62,Systems Engineer,Operations Systems Engineer,North Atlantic Industries,"Bohemia, NY",https://www.linkedin.com/jobs/view/operations-systems-engineer-at-north-atlantic-industries-3408107333?refId=P%2Fp3NNRDU7ofaEhgqZ1m6w%3D%3D&trackingId=uFBoy%2Fb7qE2tvviXS2exbQ%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card
