,query,title,company,location,link
0,Trading Engineer,FPGA/ASICS Engineer – Real-time Trading Platform,Acquire Me,"New York, NY",https://www.linkedin.com/jobs/view/fpga-asics-engineer-%E2%80%93-real-time-trading-platform-at-acquire-me-3132927567?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=qT3UVwwYlfWBlxyFqViAjg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Trading Engineer,Trading Engineer,Schonfeld,"New York, NY",https://www.linkedin.com/jobs/view/trading-engineer-at-schonfeld-3309758140?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=R318I40oFPjkyYGVp13AHA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Trading Engineer,Trading Systems Operations Engineer (NY),Phaxis,"New York, NY",https://www.linkedin.com/jobs/view/trading-systems-operations-engineer-ny-at-phaxis-3364469265?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=HtDeVErg%2FYOtmjBxRd3ZyA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Trading Engineer,Brand New Hybrid Work - $10TRILLION Quantitative Trading Firm - Windows Security Engineer Opportunity,Xcede,"New York, United States",https://www.linkedin.com/jobs/view/brand-new-hybrid-work-%2410trillion-quantitative-trading-firm-windows-security-engineer-opportunity-at-xcede-3464908303?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=45uX729oJajxYFi44HGR%2BQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Trading Engineer,Production Support Engineer - High Frequency Trading,Talan,"New York, NY",https://www.linkedin.com/jobs/view/production-support-engineer-high-frequency-trading-at-talan-3483130766?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=ETTE0xHCfTqP5bv88FAHkg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Trading Engineer,Software Engineer - Java - Trading Technology,Acquire Me,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-java-trading-technology-at-acquire-me-3402907902?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=h2tw6b12TfKMCP4%2BN1UFmw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Trading Engineer,"Software Engineer, Tech-Run Trading Firm",Thurn Partners,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-tech-run-trading-firm-at-thurn-partners-3358867858?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=14wFhhSBnfpPXRzEVx1dYw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Trading Engineer,Senior Trading Application Support Engineer - Hedge Fund with Hybrid Working,Saragossa,"New York, NY",https://www.linkedin.com/jobs/view/senior-trading-application-support-engineer-hedge-fund-with-hybrid-working-at-saragossa-3232179344?refId=nkcQ0eKj3Eghf2jboRf0pQ%3D%3D&trackingId=ABlHY%2BWUnqR%2BSQXbNYwdbw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Trading Engineer,Trading Application Solutions Engineer (DOJO 2023) - New York,Broadway Technology,"New York, NY",https://www.linkedin.com/jobs/view/trading-application-solutions-engineer-dojo-2023-new-york-at-broadway-technology-3434328415?refId=wrvLkGfqyLaGILrqgdIxyw%3D%3D&trackingId=5eyNbiYh4mAcV4gQjD3O9Q%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
9,Trading Engineer,Production Support Engineer - High Frequency Trading,Talan,"New York, NY",https://www.linkedin.com/jobs/view/production-support-engineer-high-frequency-trading-at-talan-3483130766?refId=wrvLkGfqyLaGILrqgdIxyw%3D%3D&trackingId=Ctm9WF6bldw0PC51HveztQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
10,Trading Engineer,Junior C++ Engineer - Leading Algo Trading Fund - $450k,Jobs via eFinancialCareers,"New York, NY",https://www.linkedin.com/jobs/view/junior-c%2B%2B-engineer-leading-algo-trading-fund-%24450k-at-jobs-via-efinancialcareers-3484771640?refId=Wd0Rf12M57sB2oicu43axA%3D%3D&trackingId=nnl0xfc9MuMblwxqHKdfWw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
11,Trading Engineer,C++ Software Engineer - Trading Platform - Leading Hedge Fund (PW),MRINetwork,"New York, NY",https://www.linkedin.com/jobs/view/c%2B%2B-software-engineer-trading-platform-leading-hedge-fund-pw-at-mrinetwork-3481341318?refId=Wd0Rf12M57sB2oicu43axA%3D%3D&trackingId=0epSMJeILwHTMcRFUKcSkg%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
12,Trading Engineer,Cost Engineer - Topps Trading Cards,"Fanatics, Inc.","New York, NY",https://www.linkedin.com/jobs/view/cost-engineer-topps-trading-cards-at-fanatics-inc-3435368202?refId=Wd0Rf12M57sB2oicu43axA%3D%3D&trackingId=0bwc4%2Fsx%2FXoTB0hylY9J2w%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
13,Trading Engineer,Windows Engineer - High Frequency Trading,Talan,"New York, NY",https://www.linkedin.com/jobs/view/windows-engineer-high-frequency-trading-at-talan-3475485130?refId=Wd0Rf12M57sB2oicu43axA%3D%3D&trackingId=wCV9F%2BUlDAS343QppwwKlQ%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
14,Trading Engineer,Cost Engineer - Topps Trading Cards,"Fanatics, Inc.","New York, NY",https://www.linkedin.com/jobs/view/cost-engineer-topps-trading-cards-at-fanatics-inc-3435368202?refId=VpkpNLRT3dNqfvVAz9pqrQ%3D%3D&trackingId=ecRhwLWWUYHqeVjQVhrwlA%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
15,Trading Engineer,Sr. Backend Engineer - Crypto Trading Platform - $500k,DURLSTON PARTNERS,"New York, NY",https://www.linkedin.com/jobs/view/sr-backend-engineer-crypto-trading-platform-%24500k-at-durlston-partners-3482759553?refId=VpkpNLRT3dNqfvVAz9pqrQ%3D%3D&trackingId=kicVkkBQrfq5Doi%2FovXiwg%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
16,Trading Engineer,Trading System Engineer – Java + Modern Tech,VISTRADA,"New York, United States",https://www.linkedin.com/jobs/view/trading-system-engineer-%E2%80%93-java-%2B-modern-tech-at-vistrada-3407943142?refId=VpkpNLRT3dNqfvVAz9pqrQ%3D%3D&trackingId=MvLwOaAZMC78Fl35mDoDAw%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
17,Trading Engineer,Windows Engineer - High Frequency Trading,Talan,"New York, NY",https://www.linkedin.com/jobs/view/windows-engineer-high-frequency-trading-at-talan-3475485130?refId=VpkpNLRT3dNqfvVAz9pqrQ%3D%3D&trackingId=4mE8PdLiAZeWdLsCcu44XA%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
18,Trading Engineer,Trading System Engineer – Java + Modern Tech,VISTRADA,"New York, NY",https://www.linkedin.com/jobs/view/trading-system-engineer-%E2%80%93-java-%2B-modern-tech-at-vistrada-3365974235?refId=VpkpNLRT3dNqfvVAz9pqrQ%3D%3D&trackingId=mNrOivFua14crKDntUbKAQ%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card
19,Trading Engineer,Trading System Engineer - Java,VISTRADA,"New York, United States",https://www.linkedin.com/jobs/view/trading-system-engineer-java-at-vistrada-3407937917?refId=LF6Nhf%2FlOPHM%2FqvX51nRMg%3D%3D&trackingId=sLWKSEHKN0ZkZtN6exFqzQ%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card
20,Trading Engineer,Trading System Engineer - Java,VISTRADA,"New York, NY",https://www.linkedin.com/jobs/view/trading-system-engineer-java-at-vistrada-3395369299?refId=LF6Nhf%2FlOPHM%2FqvX51nRMg%3D%3D&trackingId=xYboy6k%2B632L%2FFxIQqECgg%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
21,Trading Engineer,Senior C++ Software Engineer - Quantitative Trading Platform Technology,Schonfeld,"New York, NY",https://www.linkedin.com/jobs/view/senior-c%2B%2B-software-engineer-quantitative-trading-platform-technology-at-schonfeld-3309756604?refId=LF6Nhf%2FlOPHM%2FqvX51nRMg%3D%3D&trackingId=C2t1u4natzjeQMds4A65SA%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card
22,Trading Engineer,Product Costing Engineer - Topps Trading Cards,"Fanatics, Inc.","New York, NY",https://www.linkedin.com/jobs/view/product-costing-engineer-topps-trading-cards-at-fanatics-inc-3454523841?refId=LF6Nhf%2FlOPHM%2FqvX51nRMg%3D%3D&trackingId=PU7RG4zUjx0chNCscmQzXg%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card
23,Trading Engineer,Senior Software Engineer C++ - Algo Trading,Algo Capital Group,"New York, United States",https://www.linkedin.com/jobs/view/senior-software-engineer-c%2B%2B-algo-trading-at-algo-capital-group-3484756498?refId=LF6Nhf%2FlOPHM%2FqvX51nRMg%3D%3D&trackingId=WrWpxA%2Bd30KqE0%2FucFdWKA%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card
