,query,title,company,location,link
0,Web,React Web Developer (Remote),obé Fitness,"New York, NY",https://www.linkedin.com/jobs/view/react-web-developer-remote-at-ob%C3%A9-fitness-3465356039?refId=XWmpzcjMyqRAnafnte1u3Q%3D%3D&trackingId=RbUfVbxbvXK1NBnIZGvBpg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Web,Jr. Web Content Specialist (Remote),Staffingly,"New York, NY",https://www.linkedin.com/jobs/view/jr-web-content-specialist-remote-at-staffingly-3418472638?refId=XWmpzcjMyqRAnafnte1u3Q%3D%3D&trackingId=wuJxFV%2FJI%2B3VhwLsXkjanA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Web,Web designer (remote),IvyPanda,"New York, NY",https://www.linkedin.com/jobs/view/web-designer-remote-at-ivypanda-3478063946?refId=XWmpzcjMyqRAnafnte1u3Q%3D%3D&trackingId=75ZKlTpTQgXNCVpNNkyJbQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Web,Shopify Web Developer,WearLIVELY,"New York, NY",https://www.linkedin.com/jobs/view/shopify-web-developer-at-wearlively-3468164789?refId=XWmpzcjMyqRAnafnte1u3Q%3D%3D&trackingId=Yn0snvUNfQYwQ2NiVmhjsA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Web,Web Developer,Mount Sinai Morningside,"New York, NY",https://www.linkedin.com/jobs/view/web-developer-at-mount-sinai-morningside-3474061684?refId=XWmpzcjMyqRAnafnte1u3Q%3D%3D&trackingId=lCYbj9BDmsBQ8SeCiEBg4g%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Web,Web Graphic Designer,CyberEd.io,"New York, NY",https://www.linkedin.com/jobs/view/web-graphic-designer-at-cybered-io-3456068233?refId=XWmpzcjMyqRAnafnte1u3Q%3D%3D&trackingId=PXNWCD3v8mrKp66CUcp0Tg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Web,Web Designer,Bilt Rewards,"New York, NY",https://www.linkedin.com/jobs/view/web-designer-at-bilt-rewards-3476167294?refId=XWmpzcjMyqRAnafnte1u3Q%3D%3D&trackingId=MmknaN5t6NxrBkRuyN6D%2Fg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Web,Front-End Web Developer,Praxis,"New York, NY",https://www.linkedin.com/jobs/view/front-end-web-developer-at-praxis-3416619183?refId=GaBqzvEbxjYGs7YzEhzRvA%3D%3D&trackingId=S5lzVGVVo%2Fjl6399RoPo%2FQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
8,Web,Web Designer,B12,"New York, NY",https://www.linkedin.com/jobs/view/web-designer-at-b12-3425820921?refId=GaBqzvEbxjYGs7YzEhzRvA%3D%3D&trackingId=zK47Xz2Jgy9qp%2FRb%2F%2FeOog%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
9,Web,Web Developer,RightTalents LLC,"New York, NY",https://www.linkedin.com/jobs/view/web-developer-at-righttalents-llc-3480269868?refId=GaBqzvEbxjYGs7YzEhzRvA%3D%3D&trackingId=yuMC5TU554k8Ra31e%2Fcscg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
10,Web,Web Manager,The New York Academy of Medicine,"New York, NY",https://www.linkedin.com/jobs/view/web-manager-at-the-new-york-academy-of-medicine-3453394533?refId=GaBqzvEbxjYGs7YzEhzRvA%3D%3D&trackingId=Rtuk%2BskZzw8AH6t69fOkag%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
11,Web,Web Developer,Yoop,"New York, NY",https://www.linkedin.com/jobs/view/web-developer-at-yoop-3470617162?refId=GaBqzvEbxjYGs7YzEhzRvA%3D%3D&trackingId=JE6%2BBsoq6Yo%2BoC0YttQM4w%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
12,Web,Web Production Coordinator,Marc Fisher Footwear,"New York, NY",https://www.linkedin.com/jobs/view/web-production-coordinator-at-marc-fisher-footwear-3480809347?refId=GaBqzvEbxjYGs7YzEhzRvA%3D%3D&trackingId=CXOslLMfGjHdcttG90b52w%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Web,100% REMOTE Web Developer - MEDIA,CyberCoders,"New York, NY",https://www.linkedin.com/jobs/view/100%25-remote-web-developer-media-at-cybercoders-3431351536?refId=GaBqzvEbxjYGs7YzEhzRvA%3D%3D&trackingId=KjpZYjWhZnqwhjwA6PJcsA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Web,Web Support,CGI Digital,"Rochester, NY",https://www.linkedin.com/jobs/view/web-support-at-cgi-digital-3473772339?refId=6gv2cR8C4jFHUOaQrqoG2Q%3D%3D&trackingId=Y5%2BMg9eH%2FOe%2Fr68rSIrQMg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
15,Web,WEB APPLICATION DEVELOPER,NYC FISA-OPA,"New York, NY",https://www.linkedin.com/jobs/view/web-application-developer-at-nyc-fisa-opa-3481093159?refId=6gv2cR8C4jFHUOaQrqoG2Q%3D%3D&trackingId=HRpSA7IGBgOSZgNbuH0AnA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
16,Web,Web Developer,Robert Half,"New York, NY",https://www.linkedin.com/jobs/view/web-developer-at-robert-half-3478653169?refId=6gv2cR8C4jFHUOaQrqoG2Q%3D%3D&trackingId=2w6MVsJGW5EvoosrZaqfXg%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
17,Web,Web Developer,Diverse Lynx,"New York, NY",https://www.linkedin.com/jobs/view/web-developer-at-diverse-lynx-3485766294?refId=6gv2cR8C4jFHUOaQrqoG2Q%3D%3D&trackingId=Nkd%2FeStF0sGH8IP6yPi4VQ%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
18,Web,Back End Web Developer Intern,InstaHub,"New York, NY",https://www.linkedin.com/jobs/view/back-end-web-developer-intern-at-instahub-3388759925?refId=6gv2cR8C4jFHUOaQrqoG2Q%3D%3D&trackingId=YheiYt5hYPlonovYyTwCuw%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
19,Web,Web Account Service Coordinator,Marc Fisher Footwear,"New York, NY",https://www.linkedin.com/jobs/view/web-account-service-coordinator-at-marc-fisher-footwear-3456815289?refId=6gv2cR8C4jFHUOaQrqoG2Q%3D%3D&trackingId=JZntOgf1VbRPbt0X5LR9lA%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
20,Web,Web Content Assistant,The Future Perfect,Buffalo-Niagara Falls Area,https://www.linkedin.com/jobs/view/web-content-assistant-at-the-future-perfect-3485313637?refId=%2Bqph168KXqX0q4UW9aVEOg%3D%3D&trackingId=vZy%2BYZ0DAOVbRM75k%2B5K%2FA%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
21,Web,Frontend Engineer - OS Web,Cash App,"New York, NY",https://www.linkedin.com/jobs/view/frontend-engineer-os-web-at-cash-app-3488077139?refId=%2Bqph168KXqX0q4UW9aVEOg%3D%3D&trackingId=FBfQUG3LxYQPe8IWN4df%2Bw%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
22,Web,Full Stack Web Developer,Spatial,"New York, United States",https://www.linkedin.com/jobs/view/full-stack-web-developer-at-spatial-3482117934?refId=%2Bqph168KXqX0q4UW9aVEOg%3D%3D&trackingId=ASYlJuBUYxtJ%2BjqZ34tryg%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
23,Web,Associate Web Analyst,Rockstar Games,"New York, NY",https://www.linkedin.com/jobs/view/associate-web-analyst-at-rockstar-games-3433048158?refId=%2Bqph168KXqX0q4UW9aVEOg%3D%3D&trackingId=CgyJRxxCOjmh5wCUC8IboQ%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card
