,query,title,company,location,link
0,Cloud Architect,Cloud Architect,Wipro Technologies,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-architect-at-wipro-technologies-3462733595?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=Nk3V08wTzmPrbLdmhK1S8A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Cloud Architect,Cloud Architect,Compunnel Inc.,"Durham, NC",https://www.linkedin.com/jobs/view/cloud-architect-at-compunnel-inc-3480369537?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=E7%2F%2BMe49esiiu6WomPVBVA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Cloud Architect,AWS Cloud Architect,Meridian Technologies,"North Carolina, United States",https://www.linkedin.com/jobs/view/aws-cloud-architect-at-meridian-technologies-3463727921?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=sBBv4NprBpOimcTw8Qrsxw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Cloud Architect,Cloud Infrastructure Architect (Remote),Teleflex,"Raleigh, NC",https://www.linkedin.com/jobs/view/cloud-infrastructure-architect-remote-at-teleflex-3296838301?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=%2FVtfguC4kE5dvnL9tu4%2BjA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Cloud Architect,Cloud Architect,Accentuate Staffing,"Raleigh, NC",https://www.linkedin.com/jobs/view/cloud-architect-at-accentuate-staffing-3477553694?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=ZLQUTYuUqHQVg0k3SXN%2BmQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Cloud Architect,Principal Cloud Architect,Blue Cross NC,"Durham, NC",https://www.linkedin.com/jobs/view/principal-cloud-architect-at-blue-cross-nc-3476815671?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=SODuVYlA77pEquyl0vCO%2FQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Cloud Architect,AWS Cloud Architect,Spectrum Reach,"Charlotte, NC",https://www.linkedin.com/jobs/view/aws-cloud-architect-at-spectrum-reach-3464954481?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=RhO32iw5lJTFmsr%2BbpCkwg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Cloud Architect,Senior Cloud Architect,DNI (Delaware Nation Industries),"Fayetteville, NC",https://www.linkedin.com/jobs/view/senior-cloud-architect-at-dni-delaware-nation-industries-3461833707?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=IHzq71Sk9w6fg9zBTT8WFA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Cloud Architect,Cloud Architect,LTK (formerly rewardStyle & LIKEtoKNOW.it),"Raleigh, NC",https://www.linkedin.com/jobs/view/cloud-architect-at-ltk-formerly-rewardstyle-liketoknow-it-3393077730?refId=YUsgNLU%2BjW0W934mhR48Yw%3D%3D&trackingId=LYCHbM5ZDOWgEJYvDprEDw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Cloud Architect,Principal AWS Cloud Architect,AP Professionals,"North Carolina, United States",https://www.linkedin.com/jobs/view/principal-aws-cloud-architect-at-ap-professionals-3466193232?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=69mpZOpbg1qVkWB4JXUZ%2BQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
10,Cloud Architect,Cloud Solutions  Architect,CNP Technologies,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-solutions-architect-at-cnp-technologies-3464944498?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=nK6tX0UDNJQU87t6uGJ2XQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
11,Cloud Architect,Cloud Architect,eTeam,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-architect-at-eteam-3469596431?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=U3OlvpUH%2FOLrYOLFMaasxw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
12,Cloud Architect,Cloud Architect,Abrigo,Raleigh-Durham-Chapel Hill Area,https://www.linkedin.com/jobs/view/cloud-architect-at-abrigo-3403270788?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=2RikoDg5OMzUHWDWF19CJA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Cloud Architect,Cloud Architect (Remote),Koch Industries,"Raleigh, NC",https://www.linkedin.com/jobs/view/cloud-architect-remote-at-koch-industries-3341730893?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=2y00sOOKbNnrAvBEZpf9aA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Cloud Architect,Cloud Success Architect,Red Hat,"Raleigh, NC",https://www.linkedin.com/jobs/view/cloud-success-architect-at-red-hat-3463864650?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=IeNC5VmAxn5vW03qT0wn9A%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
15,Cloud Architect,Azure Cloud Architect,Trinity Technology Solutions LLC,"Raleigh, NC",https://www.linkedin.com/jobs/view/azure-cloud-architect-at-trinity-technology-solutions-llc-3478397053?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=tqkwAk6eSk3LOUDQodvCgA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
16,Cloud Architect,AWS Cloud Architect,Diverse Lynx,"Charlotte, NC",https://www.linkedin.com/jobs/view/aws-cloud-architect-at-diverse-lynx-3485717357?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=j%2FkKfELsCLKE6b%2FZTcsRvA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
17,Cloud Architect,AWS Cloud Architect,Diverse Lynx,"Charlotte, NC",https://www.linkedin.com/jobs/view/aws-cloud-architect-at-diverse-lynx-3485717497?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=kSWYIZNupMhEvNK0i8s3tQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
18,Cloud Architect,Cloud Architect,Cynet Systems,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-architect-at-cynet-systems-3401270013?refId=8n6n%2BqxfEHP1tXs9IMVtRw%3D%3D&trackingId=fnu%2Bt2c6ZI5D9ALGyd0RAw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
