,query,title,company,location,link
0,Cloud Engineer,Cloud Engineer,Lorven Technologies Inc.,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-engineer-at-lorven-technologies-inc-3482743931?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=sOtummLrF7TAjbhKTREMeA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Cloud Engineer,Cloud Engineer,Lorven Technologies Inc.,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-engineer-at-lorven-technologies-inc-3479464667?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=1Ica%2BDMNRmrP%2Bl%2B5t40icg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Cloud Engineer,Cloud Engineer,Capgemini,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-engineer-at-capgemini-3461833822?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=8BrXwt5y%2Fdbn54fLKMo5sw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Cloud Engineer,Cloud Engineer,Capgemini,"Charlotte, NC",https://www.linkedin.com/jobs/view/cloud-engineer-at-capgemini-3449532082?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=Q3iYF7uvTX33JD6bUmECZw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Cloud Engineer,Cloud Engineer,Eliassen Group,"Durham, NC",https://www.linkedin.com/jobs/view/cloud-engineer-at-eliassen-group-3469814268?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=ckjLI2TdOow7hIh8moTJuA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Cloud Engineer,Cloud Engineer,Revolution Technologies,Raleigh-Durham-Chapel Hill Area,https://www.linkedin.com/jobs/view/cloud-engineer-at-revolution-technologies-3473798294?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=qotxTTjwG9oghBUHjxpS4w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Cloud Engineer,Azure Cloud Engineer,Neudesic,"Charlotte, NC",https://www.linkedin.com/jobs/view/azure-cloud-engineer-at-neudesic-3422101871?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=a8d7STvMRQNtuRCJ8PtV4A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Cloud Engineer,Cloud Engineer,Compunnel Inc.,"Durham, NC",https://www.linkedin.com/jobs/view/cloud-engineer-at-compunnel-inc-3445690973?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=rAKoA8nwKjbPr%2BLXtvH1hQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Cloud Engineer,CLOUD DATABASE ENGINEER 1016,"Certec, Inc.","Durham, NC",https://www.linkedin.com/jobs/view/cloud-database-engineer-1016-at-certec-inc-3485990693?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=YjY0qpCG5xBCquFg6i4Kfw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Cloud Engineer,Sr. AWS Cloud Engineer,Kellton,"Charlotte, NC",https://www.linkedin.com/jobs/view/sr-aws-cloud-engineer-%C2%A0-at-kellton-3480802582?refId=DWh9r7KcRq%2FCgwaycd8OaQ%3D%3D&trackingId=cfL4aAP5BHoaVzgpdQpGxQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
