,query,title,company,location,link
0,Data Analyst,Data Analyst - (Remote - US),Mediavine,"Charlotte, NC",https://www.linkedin.com/jobs/view/data-analyst-remote-us-at-mediavine-3463854227?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=jNjSqOVkUhk2kuEpHKs4nQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Analyst,Data Analyst,Pfizer,"Rocky Mount, NC",https://www.linkedin.com/jobs/view/data-analyst-at-pfizer-3468534874?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=LUI0DNFneENL3azUZGP4yw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Analyst,Data Analyst,Apex Systems,"Charlotte, NC",https://www.linkedin.com/jobs/view/data-analyst-at-apex-systems-3467070627?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=IklnlTP6scAIlZxcmLnVIg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Analyst,Data Analyst,Brooksource,"Charlotte, NC",https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3447506886?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=A30CJ5mAaKEAm1DyDns%2Bcg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Analyst,Junior Data Analyst,Experis,"Morrisville, NC",https://www.linkedin.com/jobs/view/junior-data-analyst-at-experis-3480666996?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=kb6eqKnmtgpJvO3%2BHC%2BuWA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Analyst,Associate Data Analyst,Brooksource,"Charlotte, NC",https://www.linkedin.com/jobs/view/associate-data-analyst-at-brooksource-3464947817?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=1YqHKYEcjMzrrLOc5WvSIQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Analyst,Associate Data Analyst,Brooksource,"Charlotte, NC",https://www.linkedin.com/jobs/view/associate-data-analyst-at-brooksource-3467845335?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=RO%2BVvv%2FRd1G5cVpememlsg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Analyst,Data Analyst,Scion Staffing,"Goldsboro, NC",https://www.linkedin.com/jobs/view/data-analyst-at-scion-staffing-3465446024?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=szoWAf7PAascUnfXBHXllQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Analyst,Data Analyst,RVO Health,"Charlotte, NC",https://www.linkedin.com/jobs/view/data-analyst-at-rvo-health-3477428880?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=9u7mKUUPVjPjju3O2c%2Fu0g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Analyst,Junior Data Analyst,SynergisticIT,"Charlotte, NC",https://www.linkedin.com/jobs/view/junior-data-analyst-at-synergisticit-3415232177?refId=U02KWvUdSrJt6OzCV2jeZg%3D%3D&trackingId=jm%2Bl9%2BI4k9Avy8tDI3dJiA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
