,query,title,company,location,link
0,Data Engineer,Data Engineer,Quinsite,"Chapel Hill, NC",https://www.linkedin.com/jobs/view/data-engineer-at-quinsite-3477056805?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=a0babPaFqsf%2BxsBaeU1cRQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Engineer,Data Engineer,Capgemini,"North Carolina, United States",https://www.linkedin.com/jobs/view/data-engineer-at-capgemini-3455119658?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=AkZz37BSXE7MCc5%2FTl5cOQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Engineer,Data Engineer,HTC Global Services,"North Carolina, United States",https://www.linkedin.com/jobs/view/data-engineer-at-htc-global-services-3443300793?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=Q%2BfjUYoNC3zQ3TccxuovWg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Engineer,Data Engineer,"Double Line, Inc.","Charlotte, NC",https://www.linkedin.com/jobs/view/data-engineer-at-double-line-inc-3407972708?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=g5GJ7Sy1Nc5IhSePRF4TUQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Engineer,Data Engineer,"Double Line, Inc.","Raleigh, NC",https://www.linkedin.com/jobs/view/data-engineer-at-double-line-inc-3377613100?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=WIREjAj1IpU3V0p9G1cTiw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Engineer,"Data Engineer, Jr.",Altamira Technologies Corporation,"Fort Bragg, NC",https://www.linkedin.com/jobs/view/data-engineer-jr-at-altamira-technologies-corporation-3467899530?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=bhl5Ii5OG50idw%2FSlxb1bw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Engineer,"Data Engineer, Jr.",Altamira Technologies Corporation,"Fort Bragg, NC",https://www.linkedin.com/jobs/view/data-engineer-jr-at-altamira-technologies-corporation-3467899529?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=Aj%2FrQDrbKFnWJ48yD%2BJp5Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Engineer,Data Engineer,Adroit Software Inc.,"Durham, NC",https://www.linkedin.com/jobs/view/data-engineer-at-adroit-software-inc-3479857862?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=zdoK2RCBqoz%2Fo49R0HSXHA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Engineer,Data Engineer,Blue Cross NC,"Durham, NC",https://www.linkedin.com/jobs/view/data-engineer-at-blue-cross-nc-3470060886?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=paQjjROUd%2BsmeUbAURLCRA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Engineer,Data Engineer,Compunnel Inc.,"Durham, NC",https://www.linkedin.com/jobs/view/data-engineer-at-compunnel-inc-3488090467?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=Cbo6HERR22BnuXsr7Mxv4A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Engineer,Data Engineer,Cisco,"Raleigh, NC",https://www.linkedin.com/jobs/view/data-engineer-at-cisco-3429434171?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=%2Bm6OjAu46IEAlwGCp0v5nQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Engineer,Senior Data Engineer II,Credit Karma,"Charlotte, NC",https://www.linkedin.com/jobs/view/senior-data-engineer-ii-at-credit-karma-3453694519?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=Z4kirstrgcY9UHNN%2F7XZTg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Engineer,Data Engineer,"ImagineSoftware (Technology Partners, LLC)","Charlotte, NC",https://www.linkedin.com/jobs/view/data-engineer-at-imaginesoftware-technology-partners-llc-3424970711?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=TFt7hUlymYBNW4FBs87Kig%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Data Engineer,Data Engineer,Cloudflare,"Raleigh, NC",https://www.linkedin.com/jobs/view/data-engineer-at-cloudflare-3363122936?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=633zrDkOmZ0Vt1Dh%2BZqzMg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Data Engineer,Data Engineer,Lenovo,"Morrisville, NC",https://www.linkedin.com/jobs/view/data-engineer-at-lenovo-3482532074?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=ERcKs6w4lO4dPLPh8uyzkw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Data Engineer,Senior Data Engineer,"Double Line, Inc.","Charlotte, NC",https://www.linkedin.com/jobs/view/senior-data-engineer-at-double-line-inc-3467620960?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=Hn4UxF%2Bvw5QRdC1vcC7LbQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Data Engineer,Data Engineer,Crowdtap,"Wilmington, NC",https://www.linkedin.com/jobs/view/data-engineer-at-crowdtap-3379836581?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=50ap3PRXeXK2C5zRU1NWGQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Data Engineer,Senior Data Engineer,"Double Line, Inc.","Raleigh, NC",https://www.linkedin.com/jobs/view/senior-data-engineer-at-double-line-inc-3467627039?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=GGE%2BCGz4eV29D3d0xv3UNg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Data Engineer,"Data Engineer, Analytics",Meta,"Durham, NC",https://www.linkedin.com/jobs/view/data-engineer-analytics-at-meta-3467205152?refId=tPNvwhhOaLC%2FqgVNzClESQ%3D%3D&trackingId=fxN4ZOB00P2ma5zzHRqUEg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
