,query,title,company,location,link
0,Data Scientist,Data Scientist,McKinney,"Durham, NC",https://www.linkedin.com/jobs/view/data-scientist-at-mckinney-3406401912?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=F3wpXnMITtY2iao0jlJ2ZQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Scientist,Data Scientist,The Fresh Market,Greensboro--Winston-Salem--High Point Area,https://www.linkedin.com/jobs/view/data-scientist-at-the-fresh-market-3475918857?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=PjZN0Txy%2FvL2kRn3Tyf5lg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Scientist,Data Scientist,Grammarly,"North Carolina, United States",https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384158239?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=Dimyxx22cXRXWg4Oq5hhow%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Scientist,"Data Scientist, Jr.",Altamira Technologies Corporation,"Camp Lejeune, NC",https://www.linkedin.com/jobs/view/data-scientist-jr-at-altamira-technologies-corporation-3467897595?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=%2B5Lf7e5V2imxexh3Z927EA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Scientist,Data Scientist,"ImagineSoftware (Technology Partners, LLC)","Charlotte, NC",https://www.linkedin.com/jobs/view/data-scientist-at-imaginesoftware-technology-partners-llc-3473715501?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=tcrw%2Fc7w3PQgCmYGa4wHvA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Scientist,Data Scientist,The Fresh Market,"Greensboro, NC",https://www.linkedin.com/jobs/view/data-scientist-at-the-fresh-market-3462512380?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=N4xtdB6UMTXJzyXnREvKEw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Scientist,Data Scientist,Lockheed Martin,"Fayetteville, NC",https://www.linkedin.com/jobs/view/data-scientist-at-lockheed-martin-3482896170?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=QMnVkBcVcIfz0L%2BQbGDByQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Scientist,Data Scientist,Lockheed Martin,"Fort Bragg, NC",https://www.linkedin.com/jobs/view/data-scientist-at-lockheed-martin-3482891723?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=s5XYWlSUj9xHk%2BGBhpsTtA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Scientist,Data Scientist,Diverse Lynx,"Raleigh, NC",https://www.linkedin.com/jobs/view/data-scientist-at-diverse-lynx-3485757994?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=mCD7XVaEHW91I%2BJuHPsRcg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Scientist,Data Scientist – Deep Learning,Burtch Works,"Triangle, NC",https://www.linkedin.com/jobs/view/data-scientist-%E2%80%93-deep-learning-at-burtch-works-3443325919?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=t8NtX%2FVe2CqnKCnk9pgIlw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Scientist,"REMOTE Data Scientist (Python, Modeling, Presenting)",CyberCoders,"Raleigh, NC",https://www.linkedin.com/jobs/view/remote-data-scientist-python-modeling-presenting-at-cybercoders-3474486469?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=RrZB%2FcMT10YCx%2BL6En2dbw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Scientist,Data Scientist,Mastech Digital,"Cary, NC",https://www.linkedin.com/jobs/view/data-scientist-at-mastech-digital-3447039004?refId=WmHAyK3d0%2Fg6aauDtzPnDA%3D%3D&trackingId=NYEq5RkGXR%2BwkmijG68cxQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
