,query,title,company,location,link
0,Developer,Full Stack Developer,Pulivarthi Group (PG),"Charlotte, NC",https://www.linkedin.com/jobs/view/full-stack-developer-at-pulivarthi-group-pg-3482729837?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=4XSPWGM7onaAMrSjLzUdng%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Developer,React JS Developer,Synechron,"Charlotte, NC",https://www.linkedin.com/jobs/view/react-js-developer-at-synechron-3462718769?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=tGufDDuWn1hT%2FA6eI8hiNQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Developer,React JS Developer,eTeam,"Charlotte, NC",https://www.linkedin.com/jobs/view/react-js-developer-at-eteam-3412198213?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=oifCuMJYzAjhV6X6q53B8g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Winston-Salem, NC",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473273036?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=EHurjj32sIgf%2FlZBlD4x9w%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Developer,Basketball Software Developer / Data Engineer,Charlotte Hornets,"Charlotte, NC",https://www.linkedin.com/jobs/view/basketball-software-developer-data-engineer-at-charlotte-hornets-3447532580?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=K1ouw%2BaIvdjvD%2BW2Z%2FEEFQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Developer,Backend Developer,Diverse Lynx,"Charlotte, NC",https://www.linkedin.com/jobs/view/backend-developer-at-diverse-lynx-3485700191?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=v12m4vFJa8SGmzj6UPi%2BlQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Developer,React Developer,Synechron,"Charlotte, NC",https://www.linkedin.com/jobs/view/react-developer-at-synechron-3473318282?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=MtsKKCtdJaD6QlmLUoW7hA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Developer,Fullstack Developer,Diverse Lynx,"North Carolina, United States",https://www.linkedin.com/jobs/view/fullstack-developer-at-diverse-lynx-3484124677?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=G8GJHD6YE2wMsbrXi4t5tg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Developer,ReactJs developer,HCLTech,"Cary, NC",https://www.linkedin.com/jobs/view/reactjs-developer-at-hcltech-3485200940?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=Go%2BsmR3ukUIVkzpcQWswjQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Developer,Full Stack Software Developer,Novetta,"Fort Bragg, NC",https://www.linkedin.com/jobs/view/full-stack-software-developer-at-novetta-3483773947?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=1%2BGrQq1jY3RxakiwM%2FE7rg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Developer,.NET Full Stack Developer,"Infovisa, Inc.","Cornelius, NC",https://www.linkedin.com/jobs/view/net-full-stack-developer-at-infovisa-inc-3446000237?refId=bb09IWEQFUyJNtFNn81hXA%3D%3D&trackingId=5i9XOWTICmoi%2Fum9VsIrHw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Raleigh, NC",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473268644?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=5P5k%2Fkhg%2FcEOiuk0IaBYsg%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
12,Developer,Junior Software Developer,Elevation Church,"Matthews, NC",https://www.linkedin.com/jobs/view/junior-software-developer-at-elevation-church-3422226620?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=1CGY4m1CGefz9ko%2FjtgZFQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
13,Developer,Java Developer Recent Graduates - Entry Level Positions,COGENT Infotech,"Charlotte, NC",https://www.linkedin.com/jobs/view/java-developer-recent-graduates-entry-level-positions-at-cogent-infotech-3427641319?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=k31nEuX5MOymEKR7883t5g%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
14,Developer,Software Developer,MSC Industrial Supply Co.,"Carolina, NC",https://www.linkedin.com/jobs/view/software-developer-at-msc-industrial-supply-co-3481817117?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=vETx7D9%2FE7WGljPANUWcvg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
15,Developer,Junior Java Developer,Expedite Technology Solutions LLC,"Charlotte, NC",https://www.linkedin.com/jobs/view/junior-java-developer-at-expedite-technology-solutions-llc-3415275437?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=7eUgXl%2BJH5lAGVg1lSDKAg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
16,Developer,Software Developer - Entry Level,CGI,"Charlotte, NC",https://www.linkedin.com/jobs/view/software-developer-entry-level-at-cgi-3383349694?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=gQBpGd2hi5Amkla1y1gT6g%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
17,Developer,.NET Developer - Remote | WFH,Get It Recruit - Information Technology,"Charlotte, NC",https://www.linkedin.com/jobs/view/net-developer-remote-wfh-at-get-it-recruit-information-technology-3480607911?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=6DPA%2BNl33u4AcOVm7GDXYQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
18,Developer,Junior Developer,Apex Systems,"Charlotte, NC",https://www.linkedin.com/jobs/view/junior-developer-at-apex-systems-3477504070?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=HrIfWh%2BVgob6PDMHggCJJA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
19,Developer,Junior Software Developer,HCLTech,"Cary, NC",https://www.linkedin.com/jobs/view/junior-software-developer-at-hcltech-3432507046?refId=F2ysNU1HvVPoEaKYEYNvmg%3D%3D&trackingId=kXQmKQjU4V1G%2BrRCoXVkLA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
20,Developer,Full Stack Developer,Pulivarthi Group (PG),"Charlotte, NC",https://www.linkedin.com/jobs/view/full-stack-developer-at-pulivarthi-group-pg-3482729837?refId=CQcRUQ7Z5JhmwIguFbfxfA%3D%3D&trackingId=VKjRBET9iTDXm5pVAXB1gw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
21,Developer,Jr. DevOps Developer,"Infovisa, Inc.","Cornelius, NC",https://www.linkedin.com/jobs/view/jr-devops-developer-at-infovisa-inc-3480764748?refId=CQcRUQ7Z5JhmwIguFbfxfA%3D%3D&trackingId=1PhN7v3r%2B1y4HDJgWjTLPQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
22,Developer,Software Developer – Entry Level,CGI,"Durham, NC",https://www.linkedin.com/jobs/view/software-developer-%E2%80%93-entry-level-at-cgi-3435352178?refId=CQcRUQ7Z5JhmwIguFbfxfA%3D%3D&trackingId=HU8LD%2FOqlEZQzBfi9gqHfw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
