,query,title,company,location,link
0,Ios,IOS Developer....,Diverse Lynx,"Charlotte, NC",https://www.linkedin.com/jobs/view/ios-developer-at-diverse-lynx-3484127299?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=9hutvGAxzdJRU%2Blxh%2Fbq%2BA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Ios,IOS Developer,SYSMIND,"Charlotte, NC",https://www.linkedin.com/jobs/view/ios-developer-at-sysmind-3485976742?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=NjKaFE9S6okhJI5lx1y9EQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Ios,iOS Developer,Innova Solutions,"Charlotte, NC",https://www.linkedin.com/jobs/view/ios-developer-at-innova-solutions-3466187156?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=Wj0mKVziihr%2BQWGx%2FD%2B7tA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Ios,iOS Developer,"Infinity, Stamford Technology Solutions","Charlotte, NC",https://www.linkedin.com/jobs/view/ios-developer-at-infinity-stamford-technology-solutions-3484758208?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=7QX9iDtDum8kBy8y8vybJA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Ios,iOS Developer,Emonics LLC,"Charlotte, NC",https://www.linkedin.com/jobs/view/ios-developer-at-emonics-llc-3484761918?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=x1q9KnIn2q8g%2Ft1q2ZZT6Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Ios,IOS Developer.,Diverse Lynx,"Dallas, NC",https://www.linkedin.com/jobs/view/ios-developer-at-diverse-lynx-3475416608?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=I%2F1cSjy7aCha5z4N%2BrTIJg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Ios,iOS Developer,Diverse Lynx,"Morrisville, NC",https://www.linkedin.com/jobs/view/ios-developer-at-diverse-lynx-3485711449?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=q8VH830wY7o9Ez%2FsxIlGkA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Ios,iOS,Diverse Lynx,"Charlotte, NC",https://www.linkedin.com/jobs/view/ios-at-diverse-lynx-3485764371?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=NmNHLtiOxLRjxw37lTAcMA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Ios,iOS Software Engineer,Brooksource,"Charlotte, NC",https://www.linkedin.com/jobs/view/ios-software-engineer-at-brooksource-3466361278?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=hRy8inxrjoGcPCpMTN4vLA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Ios,iOS Developer,Expedite Technology Solutions LLC,"Charlotte, NC",https://www.linkedin.com/jobs/view/ios-developer-at-expedite-technology-solutions-llc-3415275532?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=xuUjYSBWr%2BXK9GDWkkk5kw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Ios,Sr. iOS Developer,Optomi,"Charlotte, NC",https://www.linkedin.com/jobs/view/sr-ios-developer-at-optomi-3480252379?refId=woVG4JAvD3gbphROXHHjtw%3D%3D&trackingId=nFCJ5d1bnXRL8PZQKzQt6A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
