,query,title,company,location,link
0,Java,Java Engineer,Compunnel Inc.,"Durham, NC",https://www.linkedin.com/jobs/view/java-engineer-at-compunnel-inc-3488305746?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=7%2B2AfBd1NLF2o%2B6SBFXx0g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Java,BACKEND JAVA DEVELOPER WITH AWS 1014,"Certec, Inc.","Durham, NC",https://www.linkedin.com/jobs/view/backend-java-developer-with-aws-1014-at-certec-inc-3485987937?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=TIXqc7y63wGziRJoI7X8Ww%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Java,Java Developer,Deutsche Bank,"Cary, NC",https://www.linkedin.com/jobs/view/java-developer-at-deutsche-bank-3482501986?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=O5DP3L5NDGSaj8Ox0b0CmA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Java,Java / J2ee (Junior developer),Diverse Lynx,"Charlotte, NC",https://www.linkedin.com/jobs/view/java-j2ee-junior-developer-at-diverse-lynx-3485741095?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=2RBHvHyuxd8AMrq5ZWLM%2FQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Java,Java Spring Boot Microservices Developer,Lorven Technologies Inc.,"Charlotte, NC",https://www.linkedin.com/jobs/view/java-spring-boot-microservices-developer-at-lorven-technologies-inc-3479825706?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=nA3twbtsj9fn25%2BIDp9WVw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Java,Java Developer,Adroit Software Inc.,"Durham, NC",https://www.linkedin.com/jobs/view/java-developer-at-adroit-software-inc-3479847067?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=H0Lezdn%2B4VQH2krgi4DHBQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Java,Java Developer Recent Graduates - Entry Level Positions,COGENT Infotech,"Charlotte, NC",https://www.linkedin.com/jobs/view/java-developer-recent-graduates-entry-level-positions-at-cogent-infotech-3427641319?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=DGACxhRuyfPRxMDBr9%2F6vg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Java,Java Software Engineer,Capgemini,"Durham, NC",https://www.linkedin.com/jobs/view/java-software-engineer-at-capgemini-3480256659?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=%2FqI1YkzuE%2BCZ%2FrqA6O0iXw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Java,Junior Java Developer,Expedite Technology Solutions LLC,"Charlotte, NC",https://www.linkedin.com/jobs/view/junior-java-developer-at-expedite-technology-solutions-llc-3415275437?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=KrOaQPjF4SfKcWqnI4lSRg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Java,Java Developer,WB Solutions LLC,"Durham, NC",https://www.linkedin.com/jobs/view/java-developer-at-wb-solutions-llc-3480269645?refId=SYHf7VeEMZE7pXaMxapB0Q%3D%3D&trackingId=bBUxm49YOPPgwd%2F7wookMQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
