,query,title,company,location,link
0,ML,AI & ML Platform Engineer/Manager,Apolis,"Charlotte, NC",https://www.linkedin.com/jobs/view/ai-ml-platform-engineer-manager-at-apolis-3415265664?refId=qKzdk0flUDeLLTMzPXJHdQ%3D%3D&trackingId=TbopIpgzujwy%2F4%2BM1No5Dw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
1,ML,Data Scientist / ML Engineer (Hybrid),Tandym Group,"Charlotte, NC",https://www.linkedin.com/jobs/view/data-scientist-ml-engineer-hybrid-at-tandym-group-3476270100?refId=qKzdk0flUDeLLTMzPXJHdQ%3D%3D&trackingId=a5Qi5lT9NoXanuesNrtYgw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
2,ML,ML Engineer - Watson Orders,IBM,"Raleigh, NC",https://www.linkedin.com/jobs/view/ml-engineer-watson-orders-at-ibm-3460318605?refId=lS0tGRyGIJoMI0ZbYv8%2Fow%3D%3D&trackingId=3fSI98QewnxArB656zz%2BMA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
3,ML,"Director, ML Solutions Architect",Fidelity Investments,"Durham, NC",https://www.linkedin.com/jobs/view/director-ml-solutions-architect-at-fidelity-investments-3478417768?refId=MwHQqUsjb7KCP8%2BC00%2FoIQ%3D%3D&trackingId=NrrEA2MYmowxFqB81WHN2w%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
4,ML,Senior Data Scientist (Forecasting and ML Ops),The Clorox Company,"Durham, NC",https://www.linkedin.com/jobs/view/senior-data-scientist-forecasting-and-ml-ops-at-the-clorox-company-3483987238?refId=a3sgSfASmf1mSkxxe2czaw%3D%3D&trackingId=0xE6WkpWnmYlIZbsKHAY%2BA%3D%3D&position=12&pageNum=5&trk=public_jobs_jserp-result_search-card
5,ML,Lead Quantitative Analytics Specialist - AI ML CoE,Wells Fargo,"Charlotte, NC",https://www.linkedin.com/jobs/view/lead-quantitative-analytics-specialist-ai-ml-coe-at-wells-fargo-3475612560?refId=kCkNp0OnQjyfw2b9MuNH1A%3D%3D&trackingId=3sLUp3RrtOWWWTMq6b1ByQ%3D%3D&position=9&pageNum=8&trk=public_jobs_jserp-result_search-card
6,ML,Senior ML Engineer - Watson Orders,IBM,"Raleigh, NC",https://www.linkedin.com/jobs/view/senior-ml-engineer-watson-orders-at-ibm-3458280122?refId=kCkNp0OnQjyfw2b9MuNH1A%3D%3D&trackingId=usdwcWwek7OccmlB2q3Pvw%3D%3D&position=19&pageNum=8&trk=public_jobs_jserp-result_search-card
7,ML,"Supervisor, Levi's ML Store, Raleigh NC",Levi Strauss & Co.,"Raleigh, NC",https://www.linkedin.com/jobs/view/supervisor-levi-s-ml-store-raleigh-nc-at-levi-strauss-co-3468725857?refId=ultG7gl86WIJeMNfnux4Zg%3D%3D&trackingId=Ja2QzfMtZHr%2BiU%2FIQLNrYw%3D%3D&position=3&pageNum=15&trk=public_jobs_jserp-result_search-card
8,ML,"Director, Software Engineering- Azure (Full Stack/ Java / ML Ops)",Fidelity Investments,"Durham, NC",https://www.linkedin.com/jobs/view/director-software-engineering-azure-full-stack-java-ml-ops-at-fidelity-investments-3442697277?refId=cb%2FZal%2B8UUrq6MzgxOyI2A%3D%3D&trackingId=iB7yxDxnxslsEFUYCAHOtQ%3D%3D&position=3&pageNum=17&trk=public_jobs_jserp-result_search-card
9,ML,"Sales Associate, Levi's ML Store Raleigh NC",Levi Strauss & Co.,"Raleigh, NC",https://www.linkedin.com/jobs/view/sales-associate-levi-s-ml-store-raleigh-nc-at-levi-strauss-co-3294117531?refId=cb%2FZal%2B8UUrq6MzgxOyI2A%3D%3D&trackingId=khjeaYvsbGd3aYNEEqv2Ug%3D%3D&position=24&pageNum=17&trk=public_jobs_jserp-result_search-card
10,ML,Part Time Assistant Manager (2670 Ml King Jr. Blvd. - Store 0970),Tuesday Morning,"New Bern, NC",https://www.linkedin.com/jobs/view/part-time-assistant-manager-2670-ml-king-jr-blvd-store-0970-at-tuesday-morning-2957775798?refId=cb%2FZal%2B8UUrq6MzgxOyI2A%3D%3D&trackingId=hfmkceWHMBfXuupkyEHWuw%3D%3D&position=25&pageNum=17&trk=public_jobs_jserp-result_search-card
