,query,title,company,location,link
0,Software Developer,Software Developer,SAS,"Cary, NC",https://www.linkedin.com/jobs/view/software-developer-at-sas-3456072001?refId=s4ldMwuIUAbhfMBx5rKXBA%3D%3D&trackingId=lMROWiC9UTn4kP3U7g%2BZRg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Software Developer,Software Developer,ECRS (ECR Software Corporation),"Boone, NC",https://www.linkedin.com/jobs/view/software-developer-at-ecrs-ecr-software-corporation-3482065103?refId=s4ldMwuIUAbhfMBx5rKXBA%3D%3D&trackingId=NCXT6cjkqtKQZS4XOMXseg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Software Developer,Software Developer Intern (Hybrid),"BAE Systems, Inc.","Durham, NC",https://www.linkedin.com/jobs/view/software-developer-intern-hybrid-at-bae-systems-inc-3462687645?refId=s4ldMwuIUAbhfMBx5rKXBA%3D%3D&trackingId=0NVdj98%2BP5Ihu%2BMyo2kmrQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Software Developer,Software Developer (Numbers & CX),Bandwidth Inc.,"Raleigh, NC",https://www.linkedin.com/jobs/view/software-developer-numbers-cx-at-bandwidth-inc-3440965017?refId=s4ldMwuIUAbhfMBx5rKXBA%3D%3D&trackingId=gIkvqg%2FYemA%2F5ya6X2zx3A%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Software Developer,Junior Software Developer,Corvid Technologies,"Mooresville, NC",https://www.linkedin.com/jobs/view/junior-software-developer-at-corvid-technologies-3473843887?refId=BxM00vhsdfUZ7L54jArCvA%3D%3D&trackingId=iJ0mh9U03cKWyOVXz5%2Bp1w%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
5,Software Developer,Dev10 Entry Level Software Developer - Nationwide,Dev10,"Greensboro, NC",https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3473273053?refId=BxM00vhsdfUZ7L54jArCvA%3D%3D&trackingId=HEXi7ZFPQ3a5zkUiJKXzjw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
6,Software Developer,Junior Software Developer,Elevation Church,"Matthews, NC",https://www.linkedin.com/jobs/view/junior-software-developer-at-elevation-church-3422226620?refId=BxM00vhsdfUZ7L54jArCvA%3D%3D&trackingId=b8sts3ovsiG%2BQ4W0LfJYwQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
7,Software Developer,Software Developer,JMP,"Cary, NC",https://www.linkedin.com/jobs/view/software-developer-at-jmp-3462562234?refId=YKBovdlJ86Hnrlh9htPYIw%3D%3D&trackingId=oQeLF5o91%2BYkYGnVjUzTwQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
8,Software Developer,Software Developer – Entry Level,CGI,"Durham, NC",https://www.linkedin.com/jobs/view/software-developer-%E2%80%93-entry-level-at-cgi-3435352178?refId=YKBovdlJ86Hnrlh9htPYIw%3D%3D&trackingId=ssQDgYU%2BVEhKHeTUOYJDqw%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
9,Software Developer,Software Developer - Entry Level,CGI,"Charlotte, NC",https://www.linkedin.com/jobs/view/software-developer-entry-level-at-cgi-3383349694?refId=YKBovdlJ86Hnrlh9htPYIw%3D%3D&trackingId=GugoMIjv3SEnbfRrL%2BTg1g%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
