,query,title,company,location,link
0,Software Engineer,"Software Engineer, New Grad",IXL Learning,"Raleigh, NC",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-ixl-learning-3428087337?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=T6v%2FJWtynPDUP9vyvAuFBA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Software Engineer,"Software Engineer, Apple Pay",Apple,"Raleigh, NC",https://www.linkedin.com/jobs/view/software-engineer-apple-pay-at-apple-3242204504?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=Y%2FDfPPExjdPd1BGB35ZuhA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Software Engineer,Software Engineer (Back End),AddShoppers,"Charlotte, NC",https://www.linkedin.com/jobs/view/software-engineer-back-end-at-addshoppers-3445520860?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=Ulx9ujQLMsLmumpDMnqcsA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Software Engineer,Associate Software Engineer,"Lowe's Companies, Inc.","Charlotte, NC",https://www.linkedin.com/jobs/view/associate-software-engineer-at-lowe-s-companies-inc-3461592695?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=7QWJ9pNzUYxdd2C3gMX%2BSw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Software Engineer,Jr. Software Engineer (Request ID: 30661-1),InfiCare Inc,"Raleigh, NC",https://www.linkedin.com/jobs/view/jr-software-engineer-request-id-30661-1-at-inficare-inc-3382417595?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=tMt4jZbwGSedCDbV5RX%2BnA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Software Engineer,"Software Engineer, Fullstack",Ndustrial,"Raleigh, NC",https://www.linkedin.com/jobs/view/software-engineer-fullstack-at-ndustrial-3412262639?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=2ZhLAXzrWkTad3RobZDpgA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Software Engineer,Software Engineer,"Double Line, Inc.","Charlotte, NC",https://www.linkedin.com/jobs/view/software-engineer-at-double-line-inc-3464949129?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=3TPDGYWX8%2BkOvABjEw497A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Software Engineer,Software Engineer Intern,ENFOS,"Durham, NC",https://www.linkedin.com/jobs/view/software-engineer-intern-at-enfos-3425914020?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=xqGomAViLtYsYbY16PdUjw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Software Engineer,"Software Engineer, Infrastructure (University Graduate)",SingleStore,"Raleigh, NC",https://www.linkedin.com/jobs/view/software-engineer-infrastructure-university-graduate-at-singlestore-3389198909?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=gvh7MEM0smkYip2RAqOj1Q%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Software Engineer,Software Engineer,"Lowe's Companies, Inc.","Charlotte, NC",https://www.linkedin.com/jobs/view/software-engineer-at-lowe-s-companies-inc-3461591847?refId=o%2BByAC7A%2FXVk8r70uprKBw%3D%3D&trackingId=zyFSJirS%2Flu12yuPiVM2BA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
