,query,title,company,location,link
0,Systems Engineer,Systems Engineer,SPECTRAFORCE,"Advance, NC",https://www.linkedin.com/jobs/view/systems-engineer-at-spectraforce-3485254243?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=DlNS5Qdw9CiNKb4n%2FzE0RQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Systems Engineer,Control Systems Engineer,Trutegra,"Charlotte, NC",https://www.linkedin.com/jobs/view/control-systems-engineer-at-trutegra-3308533278?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=SugDktPfRueBKJi7pJ52eQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Systems Engineer,Infrastructure Systems Engineer,Diverse Lynx,"Charlotte, NC",https://www.linkedin.com/jobs/view/infrastructure-systems-engineer-at-diverse-lynx-3485684996?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=fY8KQ2okj2uJw%2Ffwv4NfDg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Systems Engineer,Systems Engineer,Diverse Lynx,"Mooresville, NC",https://www.linkedin.com/jobs/view/systems-engineer-at-diverse-lynx-3485713743?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=WyKkBJeqLgSSGJCmMiLiDw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Systems Engineer,Systems Engineer IBM iSeries (AS400),Ashley Furniture Industries,"North Carolina, United States",https://www.linkedin.com/jobs/view/systems-engineer-ibm-iseries-as400-at-ashley-furniture-industries-3438913502?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=aMAiq8LUc2Z7nRD9THE7HQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Systems Engineer,Systems Engineer - TrackSYS,Flexware Innovation,"Durham, NC",https://www.linkedin.com/jobs/view/systems-engineer-tracksys-at-flexware-innovation-3475015849?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=C%2BdGtQwzdb07UfxrTdK4pg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Systems Engineer,Systems Engineer - E-Mobility,Schneider Electric,"Raleigh, NC",https://www.linkedin.com/jobs/view/systems-engineer-e-mobility-at-schneider-electric-3471226907?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=XFRUIpgtdSO6fm2lS%2B844g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Systems Engineer,Process Systems Engineer - PMO,Novo Nordisk,"Clayton, NC",https://www.linkedin.com/jobs/view/process-systems-engineer-pmo-at-novo-nordisk-3477344459?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=L4slYyzrwDsrg8nX4Rgrvg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Systems Engineer,Systems Operation Engineer,FlexGen,"Durham, NC",https://www.linkedin.com/jobs/view/systems-operation-engineer-at-flexgen-3406412165?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=tClzCdxok7a4E7cLaNdcaw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Systems Engineer,Systems Engineer III,First Citizens Bank,"Raleigh, NC",https://www.linkedin.com/jobs/view/systems-engineer-iii-at-first-citizens-bank-3462823354?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=6zAkNGc%2FAvBezt3uyyI8lw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Systems Engineer,Systems Engineer Manager - Navy/USMC,Palo Alto Networks,"Charlotte, NC",https://www.linkedin.com/jobs/view/systems-engineer-manager-navy-usmc-at-palo-alto-networks-3443493368?refId=yazffeoBaROpHGh%2F8M%2Fa2A%3D%3D&trackingId=Xw4u1JJJSJWybCRsnPo8JQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Systems Engineer,ERP Systems Engineer - 100% Remote,Wake County,"Raleigh, NC",https://www.linkedin.com/jobs/view/erp-systems-engineer-100%25-remote-at-wake-county-3464645140?refId=RnGR3nn%2Fyokq%2BDzzh%2FlqmQ%3D%3D&trackingId=z8pTmLB868jqbGaPjNZ%2FbQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
